objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
Na07YeXXR5,MOOSPMPSParser,1684558920,2.34,2.34,2.58,3.34,3.34,2.86,2.97,3.9,3.9,3.03,572.72,167.73,847143.19,21.42,20.41,1.64,20.59,20.62,0.46,0.27,20.63,0.53,23.9,46.3,18.378,42,e00fce68a145996ae3d821b8,2023-05-20 05:02:02.098000+00:00,2023-05-20T05:02:02.400Z,2023-05-20T05:02:02.400Z
jVdvNcKLa0,MOOSPMPSParser,1684559221,0.74,0.74,1.9,1.67,1.67,2.26,2.46,2.53,2.53,2.56,489.68,133.17,7856.37,22.64,14.89,2.38,15.17,15.21,1.21,0.53,15.21,0.55,24.8,44.6,32.4,42,e00fce68f8f5a1da595c7249,2023-05-20 05:07:02.418000+00:00,2023-05-20T05:07:02.637Z,2023-05-20T05:07:02.637Z
KQHeUjicip,MOOSPMPSParser,1684559520,2.18,2.18,2.34,3.04,3.04,2.66,2.81,3.73,3.73,2.89,543.46,157.56,847300.06,19.25,18.39,1.47,18.62,18.65,0.75,0.46,18.66,0.57,23.6,46.2,19.545,42,e00fce68a145996ae3d821b8,2023-05-20 05:12:02.176000+00:00,2023-05-20T05:12:02.376Z,2023-05-20T05:12:02.376Z
2CyGSItdmW,MOOSPMPSParser,1684559821,0.52,0.52,1.61,1.29,1.29,1.9,2.05,1.87,1.87,2.13,452.75,120.06,7974.76,18.73,12.64,1.81,12.86,12.89,0.87,0.38,12.89,0.56,24.5,45.3,32.536,42,e00fce68f8f5a1da595c7249,2023-05-20 05:17:02.325000+00:00,2023-05-20T05:17:02.536Z,2023-05-20T05:17:02.536Z
0OLn0GRKz5,MOOSPMPSParser,1684560120,2.0,2.0,1.98,2.8,2.8,2.09,2.09,3.24,3.24,2.09,495.74,146.58,847442.56,17.33,15.75,1.45,15.79,15.8,0.36,0.26,15.8,0.49,23.3,46.6,22.052,42,e00fce68a145996ae3d821b8,2023-05-20 05:22:02.275000+00:00,2023-05-20T05:22:02.484Z,2023-05-20T05:22:02.484Z
RLgJHv5QCD,MOOSPMPSParser,1684560421,0.61,0.61,1.64,1.38,1.38,1.81,1.87,1.97,1.97,1.9,458.1,121.9,8088.43,19.42,12.95,2.04,13.05,13.07,0.84,0.43,13.07,0.51,24.2,45.5,31.576,42,e00fce68f8f5a1da595c7249,2023-05-20 05:27:02.436000+00:00,2023-05-20T05:27:02.595Z,2023-05-20T05:27:02.595Z
CKDUdwzOwa,MOOSPMPSParser,1684560720,2.16,2.16,1.9,2.93,2.93,2.01,2.01,3.33,3.33,2.01,525.09,153.54,847588.44,18.03,15.13,0.97,15.17,15.17,0.5,0.29,15.18,0.49,23.0,47.1,21.657,42,e00fce68a145996ae3d821b8,2023-05-20 05:32:02.086000+00:00,2023-05-20T05:32:02.267Z,2023-05-20T05:32:02.267Z
MCqWFvPtQt,MOOSPMPSParser,1684561021,0.48,0.48,1.6,1.41,1.41,1.78,1.86,1.84,1.84,1.89,460.74,120.66,8213.51,18.5,12.61,2.16,12.73,12.75,0.69,0.2,12.75,0.52,24.1,45.2,31.803,42,e00fce68f8f5a1da595c7249,2023-05-20 05:37:02.498000+00:00,2023-05-20T05:37:02.701Z,2023-05-20T05:37:02.701Z
3OxUEHzmH3,MOOSPMPSParser,1684561320,2.09,2.09,2.17,2.82,2.82,2.37,2.44,3.16,3.16,2.48,500.71,147.47,847736.69,18.53,17.15,1.06,17.28,17.29,0.39,0.1,17.3,0.52,22.8,47.8,21.25,42,e00fce68a145996ae3d821b8,2023-05-20 05:42:02.153000+00:00,2023-05-20T05:42:02.384Z,2023-05-20T05:42:02.384Z
5AbEgCrOZq,MOOSPMPSParser,1684561621,0.35,0.35,1.66,1.11,1.11,1.87,1.96,1.49,1.49,2.01,404.54,110.03,8329.54,19.75,13.1,1.93,13.25,13.27,0.55,0.14,13.27,0.52,23.9,44.8,31.631,42,e00fce68f8f5a1da595c7249,2023-05-20 05:47:02.407000+00:00,2023-05-20T05:47:02.593Z,2023-05-20T05:47:02.593Z
QbYN5FFGCF,MOOSPMPSParser,1684561920,2.12,2.12,2.26,3.06,3.06,2.47,2.54,3.49,3.49,2.57,521.54,153.75,847892.12,18.72,17.86,1.45,17.99,18.0,0.61,0.25,18.01,0.53,22.5,48.4,20.885,42,e00fce68a145996ae3d821b8,2023-05-20 05:52:02.081000+00:00,2023-05-20T05:52:02.292Z,2023-05-20T05:52:02.292Z
cA4w0vFPCI,MOOSPMPSParser,1684562221,0.52,0.52,1.9,1.39,1.39,2.21,2.36,1.86,1.86,2.44,432.38,115.82,8444.79,19.66,14.94,1.97,15.17,15.2,0.65,0.29,15.21,0.54,23.7,45.4,31.771,42,e00fce68f8f5a1da595c7249,2023-05-20 05:57:17.770000+00:00,2023-05-20T05:57:17.948Z,2023-05-20T05:57:17.948Z
