objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
9SKjuXXQSh,MOOSPMPSParser,1657605600,6.52,6.52,3.71,7.74,0.8,3.92,3.92,8.3,0.86,3.92,1268.55,367.96,9507.31,32.39,29.54,1.32,29.62,29.63,0.56,0.36,29.63,0.43,21.9,58.1,20.38,42,e00fce6856818e5885f65487,2022-07-12 06:00:01.341000+00:00,2022-07-12T06:00:01.647Z,2022-07-12T06:00:01.647Z
KzzsT6Hqps,MOOSPMPSParser,1657606141,5.61,5.61,3.52,7.66,0.84,3.72,3.72,8.18,0.95,3.72,1357.47,362.1,9175.69,47.77,28.02,2.58,28.09,28.1,0.75,0.37,28.1,0.47,21.1,61.5,11.613,42,e00fce6835b6173deb1a1f49,2022-07-12 06:09:02.109000+00:00,2022-07-12T06:09:02.334Z,2022-07-12T06:09:02.334Z
JVtu56Bq6Y,MOOSPMPSParser,1657606200,7.04,7.04,3.78,8.38,0.85,3.99,3.99,8.87,0.86,3.99,1372.28,394.87,9780.66,33.6,30.05,1.43,30.13,30.14,0.51,0.17,30.14,0.45,21.6,59.2,17.986,42,e00fce6856818e5885f65487,2022-07-12 06:10:01.420000+00:00,2022-07-12T06:10:01.797Z,2022-07-12T06:10:01.797Z
UsVSqCwHUF,MOOSPMPSParser,1657606741,5.55,5.55,3.89,7.47,0.79,4.12,4.12,8.42,0.83,4.12,1353.12,362.21,9428.86,50.78,31.0,2.73,31.08,31.09,1.2,0.63,31.1,0.46,20.6,63.5,8.788,42,e00fce6835b6173deb1a1f49,2022-07-12 06:19:02.158000+00:00,2022-07-12T06:19:02.382Z,2022-07-12T06:19:02.382Z
4EIGrjTI0n,MOOSPMPSParser,1657606800,6.88,6.88,3.86,8.19,0.72,4.08,4.08,8.81,0.76,4.08,1341.33,388.84,10055.36,34.46,30.71,1.53,30.79,30.8,0.69,0.31,30.8,0.47,21.2,61.0,14.948,42,e00fce6856818e5885f65487,2022-07-12 06:20:01.341000+00:00,2022-07-12T06:20:01.552Z,2022-07-12T06:20:01.552Z
oSIf1OEckI,MOOSPMPSParser,1657607341,5.6,5.6,3.53,7.56,0.84,3.73,3.73,8.04,0.87,3.73,1379.02,364.82,9699.88,45.83,28.1,2.7,28.17,28.18,0.64,0.26,28.19,0.48,20.6,63.3,7.964,42,e00fce6835b6173deb1a1f49,2022-07-12 06:29:02.124000+00:00,2022-07-12T06:29:02.382Z,2022-07-12T06:29:02.382Z
y5DpOQFXmr,MOOSPMPSParser,1657607400,7.17,7.17,4.13,8.67,0.89,4.36,4.36,9.21,0.96,4.36,1377.62,399.07,10331.69,37.42,32.86,1.8,32.94,32.95,0.67,0.41,32.96,0.47,21.1,61.4,14.322,42,e00fce6856818e5885f65487,2022-07-12 06:30:01.318000+00:00,2022-07-12T06:30:01.606Z,2022-07-12T06:30:01.606Z
MUCNKvet90,MOOSPMPSParser,1657607941,6.07,6.07,4.27,8.06,0.7,4.51,4.51,8.58,0.77,4.51,1413.66,379.6,9971.21,48.92,33.96,2.93,34.05,34.06,0.72,0.25,34.06,0.49,20.2,63.1,6.501,42,e00fce6835b6173deb1a1f49,2022-07-12 06:39:02.162000+00:00,2022-07-12T06:39:02.477Z,2022-07-12T06:39:02.477Z
sXifoscJIO,MOOSPMPSParser,1657608000,7.2,7.2,4.2,8.61,0.79,4.44,4.44,9.28,0.82,4.44,1385.32,401.51,10618.36,37.32,33.45,1.49,33.53,33.54,0.72,0.45,33.55,0.46,20.9,61.0,13.761,42,e00fce6856818e5885f65487,2022-07-12 06:40:01.338000+00:00,2022-07-12T06:40:01.573Z,2022-07-12T06:40:01.573Z
En9hShSeVW,MOOSPMPSParser,1657608541,5.65,5.65,4.12,7.96,0.94,4.36,4.36,8.57,1.01,4.36,1383.65,368.96,10258.32,51.1,32.81,3.29,32.89,32.9,0.8,0.49,32.91,0.49,20.0,62.9,7.217,42,e00fce6835b6173deb1a1f49,2022-07-12 06:49:02.153000+00:00,2022-07-12T06:49:02.349Z,2022-07-12T06:49:02.349Z
jI9dkk1Yr8,MOOSPMPSParser,1657608600,7.34,7.34,4.38,8.83,0.76,4.63,4.63,9.66,0.92,4.63,1401.34,405.48,10915.08,41.52,34.85,2.03,34.93,34.94,0.82,0.52,34.95,0.47,20.7,60.5,14.353,42,e00fce6856818e5885f65487,2022-07-12 06:50:01.316000+00:00,2022-07-12T06:50:01.505Z,2022-07-12T06:50:01.505Z
XbFXFhc8WY,MOOSPMPSParser,1657609141,5.46,5.46,3.74,7.9,0.81,3.96,3.96,8.45,0.87,3.96,1336.57,357.3,10529.99,54.51,29.8,3.45,29.87,29.88,0.82,0.22,29.89,0.47,19.9,62.9,8.502,42,e00fce6835b6173deb1a1f49,2022-07-12 06:59:02.110000+00:00,2022-07-12T06:59:02.292Z,2022-07-12T06:59:02.292Z
