objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
9qsF1lkkME,MOOSPMPSParser,1661796061,5.1,5.1,3.32,7.27,0.71,3.51,3.51,7.65,0.81,3.51,1118.93,324.14,773.91,38.14,26.43,3.12,26.5,26.5,0.46,0.21,26.51,0.43,30.5,30.9,46.432,43,e00fce6856818e5885f65487,2022-08-29 18:01:02.869000+00:00,2022-08-29T18:01:03.075Z,2022-08-29T18:01:03.075Z
R8PG0ZIGWo,MOOSPMPSParser,1661796360,3.2,3.2,3.17,5.01,0.46,3.35,3.35,5.32,0.47,3.35,1090.88,288.76,123614.7,42.79,25.2,2.18,25.26,25.27,0.42,0.17,25.28,0.46,28.5,34.6,33.158,42,e00fce6835b6173deb1a1f49,2022-08-29 18:05:58.277000+00:00,2022-08-29T18:05:58.511Z,2022-08-29T18:05:58.511Z
6hw2KD12VI,MOOSPMPSParser,1661796420,4.15,4.15,3.03,6.37,0.65,3.2,3.2,7.17,0.7,3.2,913.37,252.1,132292.69,43.5,24.07,3.88,24.14,24.15,1.31,0.25,24.16,0.42,29.1,33.2,45.245,42,e00fce68f8f5a1da595c7249,2022-08-29 18:06:57.106000+00:00,2022-08-29T18:06:57.287Z,2022-08-29T18:06:57.287Z
mqTr5S8109,MOOSPMPSParser,1661796661,4.8,4.8,3.53,6.47,0.75,3.73,3.73,6.88,0.76,3.73,1037.06,297.5,1001.4,32.94,28.06,2.27,28.13,28.14,0.55,0.29,28.15,0.42,30.7,30.4,51.552,43,e00fce6856818e5885f65487,2022-08-29 18:11:02.916000+00:00,2022-08-29T18:11:03.113Z,2022-08-29T18:11:03.113Z
Sr4z3zQG4B,MOOSPMPSParser,1661796960,3.31,3.31,3.14,4.89,0.42,3.32,3.32,5.23,0.46,3.32,1110.77,293.2,123839.07,42.54,25.03,1.23,25.09,25.1,0.35,0.14,25.1,0.45,28.5,34.8,34.925,42,e00fce6835b6173deb1a1f49,2022-08-29 18:15:58.351000+00:00,2022-08-29T18:15:58.571Z,2022-08-29T18:15:58.571Z
iO5eGCFlJw,MOOSPMPSParser,1661797020,4.09,4.09,3.15,6.21,0.64,3.33,3.33,6.73,0.74,3.33,916.34,253.4,132501.72,42.53,25.02,2.52,25.1,25.11,0.78,0.34,25.11,0.44,28.6,34.6,48.034,42,e00fce68f8f5a1da595c7249,2022-08-29 18:16:57.094000+00:00,2022-08-29T18:16:57.344Z,2022-08-29T18:16:57.344Z
W9CbuvjAYs,MOOSPMPSParser,1661797261,4.92,4.92,3.23,7.02,0.62,3.41,3.41,7.25,0.62,3.41,1047.2,302.55,1222.89,36.24,25.68,2.72,25.74,25.75,0.27,0.1,25.76,0.42,31.1,30.6,52.114,43,e00fce6856818e5885f65487,2022-08-29 18:21:02.860000+00:00,2022-08-29T18:21:03.054Z,2022-08-29T18:21:03.054Z
rViM5VbrNq,MOOSPMPSParser,1661797560,3.46,3.46,3.2,5.17,0.51,3.38,3.38,5.5,0.54,3.38,1118.32,299.53,124065.38,38.95,25.46,2.33,25.52,25.53,0.49,0.08,25.53,0.46,28.4,34.3,35.218,42,e00fce6835b6173deb1a1f49,2022-08-29 18:25:58.271000+00:00,2022-08-29T18:25:58.526Z,2022-08-29T18:25:58.526Z
oyfWjZCJ9T,MOOSPMPSParser,1661797620,4.05,4.05,2.82,6.46,0.59,2.98,2.98,6.87,0.68,2.98,908.62,252.91,132709.48,42.29,22.4,4.27,22.47,22.48,0.69,0.09,22.48,0.41,28.6,33.4,49.284,42,e00fce68f8f5a1da595c7249,2022-08-29 18:26:57.574000+00:00,2022-08-29T18:26:57.795Z,2022-08-29T18:26:57.795Z
K1sa41h49H,MOOSPMPSParser,1661797861,4.66,4.66,3.39,6.38,0.69,3.58,3.58,6.52,0.72,3.58,1001.13,288.63,1437.9,32.72,26.97,2.41,27.04,27.05,0.17,0.0,27.05,0.43,31.6,29.4,55.042,43,e00fce6856818e5885f65487,2022-08-29 18:31:02.846000+00:00,2022-08-29T18:31:03.017Z,2022-08-29T18:31:03.017Z
bzvby3WFdD,MOOSPMPSParser,1661798160,3.18,3.18,3.28,4.55,0.43,3.47,3.47,4.99,0.46,3.47,1084.55,284.22,124277.03,35.84,26.14,1.75,26.21,26.22,0.59,0.25,26.22,0.43,29.2,33.8,35.571,42,e00fce6835b6173deb1a1f49,2022-08-29 18:35:58.304000+00:00,2022-08-29T18:35:58.472Z,2022-08-29T18:35:58.472Z
zXJo8dt0CV,MOOSPMPSParser,1661798220,3.96,3.96,3.06,6.28,0.5,3.24,3.24,6.8,0.54,3.24,913.97,252.86,132917.95,43.52,24.34,3.64,24.42,24.42,0.87,0.18,24.43,0.4,29.5,34.3,49.439,42,e00fce68f8f5a1da595c7249,2022-08-29 18:36:57.103000+00:00,2022-08-29T18:36:57.290Z,2022-08-29T18:36:57.290Z
FIxWUewYbK,MOOSPMPSParser,1661798461,4.63,4.63,3.31,6.25,0.52,3.5,3.5,6.77,0.52,3.5,995.55,287.12,1664.06,28.95,26.37,2.83,26.43,26.44,0.68,0.44,26.45,0.4,31.9,30.1,55.901,43,e00fce6856818e5885f65487,2022-08-29 18:41:02.877000+00:00,2022-08-29T18:41:03.082Z,2022-08-29T18:41:03.082Z
8GRCnT0Gsb,MOOSPMPSParser,1661798760,3.04,3.04,3.12,4.43,0.43,3.29,3.29,4.66,0.43,3.29,1045.35,278.49,124488.01,36.9,24.8,1.59,24.87,24.87,0.35,0.19,24.88,0.43,28.7,32.6,36.807,42,e00fce6835b6173deb1a1f49,2022-08-29 18:45:58.271000+00:00,2022-08-29T18:45:58.530Z,2022-08-29T18:45:58.530Z
h7hHTEv5rw,MOOSPMPSParser,1661798820,3.64,3.64,2.6,5.67,0.55,2.75,2.75,6.29,0.58,2.75,877.89,239.99,133109.67,40.76,20.69,3.5,20.75,20.76,1.06,0.16,20.76,0.42,29.1,33.2,50.765,42,e00fce68f8f5a1da595c7249,2022-08-29 18:46:57.079000+00:00,2022-08-29T18:46:57.339Z,2022-08-29T18:46:57.339Z
AoYVrg5Vnb,MOOSPMPSParser,1661799061,4.67,4.67,3.26,6.54,0.6,3.45,3.45,6.68,0.65,3.45,1013.43,292.11,1871.97,32.2,25.96,2.37,26.03,26.03,0.16,0.07,26.04,0.41,32.0,28.9,48.625,43,e00fce6856818e5885f65487,2022-08-29 18:51:03.053000+00:00,2022-08-29T18:51:03.245Z,2022-08-29T18:51:03.245Z
RPAQRyZwaG,MOOSPMPSParser,1661799360,3.32,3.32,3.35,5.1,0.52,3.54,3.54,5.53,0.58,3.54,1118.54,298.54,124707.62,45.31,26.66,1.66,26.72,26.73,0.56,0.29,26.74,0.43,29.3,35.5,34.804,42,e00fce6835b6173deb1a1f49,2022-08-29 18:55:58.206000+00:00,2022-08-29T18:55:58.434Z,2022-08-29T18:55:58.434Z
uvYFtLNXdt,MOOSPMPSParser,1661799420,3.47,3.47,2.97,5.84,0.55,3.14,3.14,6.46,0.66,3.14,938.51,259.0,133315.64,44.15,23.59,4.2,23.66,23.67,1.01,0.14,23.68,0.45,29.7,32.4,48.415,42,e00fce68f8f5a1da595c7249,2022-08-29 18:56:57.096000+00:00,2022-08-29T18:56:57.289Z,2022-08-29T18:56:57.289Z
