objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
FgJAHKcx2k,MOOSPMPSParser,1665612181,2.55,2.55,1.97,3.96,0.44,2.08,2.08,4.23,0.46,2.08,659.46,186.92,4284.61,22.97,15.69,2.56,15.73,15.74,0.29,0.29,15.74,0.48,22.4,26.0,36.175,43,e00fce6856818e5885f65487,2022-10-12 22:03:02.398000+00:00,2022-10-12T22:03:02.660Z,2022-10-12T22:03:02.660Z
9Aqt6DJHw7,MOOSPMPSParser,1665612300,20.93,20.19,22.66,37.61,3.68,24.0,24.04,45.05,4.77,24.05,3799.19,1093.79,1229671.75,283.97,180.24,34.75,180.84,180.9,6.04,1.81,180.95,0.49,32.6,27.2,61.638,42,e00fce68f8f5a1da595c7249,2022-10-12 22:05:03.300000+00:00,2022-10-12T22:05:03.489Z,2022-10-12T22:05:03.489Z
jIxPPEH4T0,MOOSPMPSParser,1665612420,22.06,20.92,0.0,38.16,3.49,0.0,0.0,40.45,4.14,0.0,4507.35,1235.63,0.0,288.35,0.0,28.09,0.0,0.0,3.2,1.21,0.0,0.0,0.0,0.0,50.149,42,e00fce6835b6173deb1a1f49,2022-10-12 22:07:03.020000+00:00,2022-10-12T22:07:03.232Z,2022-10-12T22:07:03.232Z
3CYh3r7tmS,MOOSPMPSParser,1665612781,2.51,2.51,2.2,3.79,0.4,2.32,2.32,4.14,0.43,2.32,656.87,187.47,4434.15,22.19,17.48,1.76,17.52,17.53,0.39,0.3,17.53,0.45,23.0,25.1,35.911,43,e00fce6856818e5885f65487,2022-10-12 22:13:02.313000+00:00,2022-10-12T22:13:02.512Z,2022-10-12T22:13:02.512Z
C5D9mmo9LF,MOOSPMPSParser,1665612900,20.5,19.87,21.36,37.27,3.25,22.59,22.59,44.76,3.99,22.59,3800.98,1088.2,1231177.12,288.7,169.99,32.73,170.51,170.57,6.42,1.75,170.6,0.48,32.9,26.7,59.291,42,e00fce68f8f5a1da595c7249,2022-10-12 22:15:03.136000+00:00,2022-10-12T22:15:03.352Z,2022-10-12T22:15:03.352Z
YhPu0QB936,MOOSPMPSParser,1665613020,21.53,20.64,0.0,36.8,3.41,0.0,0.0,39.15,3.84,0.0,4397.0,1198.73,0.0,275.48,0.0,25.83,0.0,0.0,3.22,1.32,0.0,0.0,0.0,0.0,49.836,42,e00fce6835b6173deb1a1f49,2022-10-12 22:17:02.864000+00:00,2022-10-12T22:17:03.063Z,2022-10-12T22:17:03.063Z
qWpjFmou5A,MOOSPMPSParser,1665613381,2.78,2.78,2.18,4.1,0.28,2.31,2.31,4.53,0.29,2.31,661.07,191.51,4575.69,22.81,17.37,2.69,17.41,17.42,0.42,0.25,17.42,0.47,22.5,25.1,35.926,43,e00fce6856818e5885f65487,2022-10-12 22:23:02.281000+00:00,2022-10-12T22:23:02.492Z,2022-10-12T22:23:02.492Z
QsfBM5Esaw,MOOSPMPSParser,1665613500,19.3,19.06,19.48,35.55,2.99,20.6,20.6,43.06,3.71,20.6,3567.1,1028.27,1232595.5,276.77,154.98,33.32,155.45,155.5,6.41,1.68,155.53,0.48,32.9,26.8,59.287,42,e00fce68f8f5a1da595c7249,2022-10-12 22:25:03.230000+00:00,2022-10-12T22:25:03.423Z,2022-10-12T22:25:03.423Z
woMWwoCzmy,MOOSPMPSParser,1665613620,19.68,19.33,0.0,33.05,3.02,0.0,0.0,35.19,3.38,0.0,4064.94,1111.55,0.0,247.43,0.0,22.03,0.0,0.0,2.69,1.12,0.0,0.0,0.0,0.0,52.328,42,e00fce6835b6173deb1a1f49,2022-10-12 22:27:02.821000+00:00,2022-10-12T22:27:03.001Z,2022-10-12T22:27:03.001Z
hPEWZz0BF4,MOOSPMPSParser,1665613981,2.59,2.59,1.95,3.82,0.39,2.07,2.07,4.09,0.45,2.07,639.46,183.15,4713.94,22.65,15.56,1.93,15.6,15.6,0.35,0.35,15.61,0.47,21.4,29.3,36.0,43,e00fce6856818e5885f65487,2022-10-12 22:33:02.360000+00:00,2022-10-12T22:33:02.578Z,2022-10-12T22:33:02.578Z
