objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
LXHMLEw7EG,MOOSPMPSParser,1661436240,3.5,3.5,2.86,5.3,0.54,3.02,3.02,6.08,0.65,3.02,989.41,265.26,19118.37,43.01,22.76,3.39,22.82,22.82,1.03,0.43,22.83,0.47,16.7,67.6,17.733,42,e00fce6835b6173deb1a1f49,2022-08-25 14:04:00.993000+00:00,2022-08-25T14:04:01.194Z,2022-08-25T14:04:01.194Z
zoR6nd93M0,MOOSPMPSParser,1661436420,3.4,3.4,3.11,6.01,0.62,3.29,3.29,6.79,0.67,3.29,810.43,229.49,34988.56,41.02,24.76,5.37,24.83,24.84,1.36,0.26,24.85,0.44,16.7,67.9,22.364,42,e00fce68f8f5a1da595c7249,2022-08-25 14:06:59.401000+00:00,2022-08-25T14:06:59.601Z,2022-08-25T14:06:59.601Z
GcyhoWQX5w,MOOSPMPSParser,1661436540,4.34,4.34,2.79,6.14,0.6,2.95,2.96,6.74,0.72,2.96,960.67,279.1,18419.0,33.3,22.22,2.72,22.28,22.28,0.88,0.24,22.29,0.49,17.6,63.4,30.661,43,e00fce6856818e5885f65487,2022-08-25 14:09:01.275000+00:00,2022-08-25T14:09:01.470Z,2022-08-25T14:09:01.470Z
V9brRMytIl,MOOSPMPSParser,1661436840,3.38,3.38,3.41,5.04,0.47,3.61,3.61,5.49,0.5,3.61,982.62,258.42,19334.86,37.66,27.17,2.42,27.24,27.25,0.51,0.21,27.25,0.49,17.3,65.5,17.337,42,e00fce6835b6173deb1a1f49,2022-08-25 14:14:01.086000+00:00,2022-08-25T14:14:01.320Z,2022-08-25T14:14:01.320Z
K0F5iLCIu1,MOOSPMPSParser,1661437020,3.41,3.41,2.98,5.91,0.55,3.15,3.15,6.8,0.61,3.15,815.78,228.68,35191.73,42.05,23.71,5.11,23.78,23.79,1.37,0.52,23.79,0.47,17.2,65.7,21.785,42,e00fce68f8f5a1da595c7249,2022-08-25 14:16:59.432000+00:00,2022-08-25T14:16:59.607Z,2022-08-25T14:16:59.607Z
h8djuTwnvN,MOOSPMPSParser,1661437140,4.45,4.45,3.29,6.4,0.6,3.48,3.48,6.93,0.65,3.48,992.04,287.22,18644.62,35.06,26.17,3.0,26.23,26.24,0.74,0.52,26.25,0.45,18.1,61.5,29.453,43,e00fce6856818e5885f65487,2022-08-25 14:19:01.580000+00:00,2022-08-25T14:19:01.790Z,2022-08-25T14:19:01.790Z
FsDRejE9w5,MOOSPMPSParser,1661437440,3.4,3.4,3.06,5.2,0.44,3.24,3.24,5.72,0.45,3.24,987.79,264.29,19551.02,40.91,24.4,2.64,24.46,24.46,0.73,0.22,24.47,0.48,17.7,63.4,17.593,42,e00fce6835b6173deb1a1f49,2022-08-25 14:24:00.989000+00:00,2022-08-25T14:24:01.175Z,2022-08-25T14:24:01.175Z
8V1GfbX0xM,MOOSPMPSParser,1661437620,3.3,3.3,2.95,5.63,0.59,3.12,3.12,6.82,0.65,3.12,776.58,217.77,35382.73,42.67,23.44,4.77,23.51,23.52,1.72,0.78,23.53,0.44,17.7,63.6,22.822,42,e00fce68f8f5a1da595c7249,2022-08-25 14:26:59.496000+00:00,2022-08-25T14:26:59.668Z,2022-08-25T14:26:59.668Z
XHEXBRMVlj,MOOSPMPSParser,1661437740,4.17,4.17,3.03,5.75,0.55,3.2,3.2,6.08,0.58,3.2,891.85,259.15,18851.69,28.82,24.13,2.16,24.19,24.19,0.42,0.26,24.2,0.44,18.6,59.9,31.709,43,e00fce6856818e5885f65487,2022-08-25 14:29:01.289000+00:00,2022-08-25T14:29:01.686Z,2022-08-25T14:29:01.686Z
bFivyIHmAV,MOOSPMPSParser,1661438040,2.6,2.6,2.84,3.94,0.27,3.0,3.0,4.35,0.35,3.0,884.11,231.13,19750.01,33.77,22.58,1.65,22.64,22.64,0.53,0.14,22.65,0.46,18.2,59.0,19.083,42,e00fce6835b6173deb1a1f49,2022-08-25 14:34:00.988000+00:00,2022-08-25T14:34:01.179Z,2022-08-25T14:34:01.179Z
