objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
ivq0JiTlr3,MOOSPMPSParser,1661414581,2.55,2.55,2.59,4.03,0.38,2.74,2.74,4.34,0.47,2.74,821.55,217.5,11899.83,30.53,20.62,2.3,20.68,20.68,0.45,0.29,20.69,0.45,18.3,58.8,26.406,42,e00fce6835b6173deb1a1f49,2022-08-25 08:03:02.108000+00:00,2022-08-25T08:03:02.322Z,2022-08-25T08:03:02.322Z
p9F6KlETfK,MOOSPMPSParser,1661414761,2.79,2.79,2.91,4.88,0.52,3.08,3.08,5.61,0.63,3.08,677.55,194.51,28166.44,34.94,23.16,4.14,23.23,23.24,1.21,0.29,23.24,0.47,18.1,60.4,35.612,42,e00fce68f8f5a1da595c7249,2022-08-25 08:06:00.522000+00:00,2022-08-25T08:06:00.698Z,2022-08-25T08:06:00.698Z
vKFsViaYze,MOOSPMPSParser,1661414761,3.45,3.45,2.69,4.45,0.43,2.85,2.85,5.03,0.49,2.85,742.4,215.98,31367.93,23.51,21.44,1.67,21.5,21.5,0.74,0.43,21.51,0.45,18.2,59.4,27.488,42,e00fce68a145996ae3d821b8,2022-08-25 08:06:00.767000+00:00,2022-08-25T08:06:00.951Z,2022-08-25T08:06:00.951Z
X8JhimeMsW,MOOSPMPSParser,1661414881,3.2,3.2,2.49,4.76,0.5,2.64,2.64,5.36,0.5,2.64,753.24,219.63,11225.27,26.23,19.85,2.95,19.9,19.9,0.82,0.41,19.91,0.45,18.8,57.8,43.799,43,e00fce6856818e5885f65487,2022-08-25 08:08:02.201000+00:00,2022-08-25T08:08:02.406Z,2022-08-25T08:08:02.406Z
4idUl4cuUI,MOOSPMPSParser,1661415181,2.23,2.23,2.5,3.43,0.35,2.65,2.65,4.01,0.39,2.65,747.14,200.89,12075.47,28.9,19.92,2.08,19.97,19.98,0.77,0.32,19.98,0.45,18.5,59.8,25.935,42,e00fce6835b6173deb1a1f49,2022-08-25 08:13:02.176000+00:00,2022-08-25T08:13:02.374Z,2022-08-25T08:13:02.374Z
9oxeU4csMV,MOOSPMPSParser,1661415361,2.75,2.75,2.35,4.84,0.51,2.48,2.48,5.48,0.53,2.48,672.74,189.63,28345.88,36.25,18.67,3.52,18.73,18.73,0.93,0.39,18.74,0.43,18.4,59.9,35.054,42,e00fce68f8f5a1da595c7249,2022-08-25 08:16:01.007000+00:00,2022-08-25T08:16:01.243Z,2022-08-25T08:16:01.243Z
5OYCjqthN1,MOOSPMPSParser,1661415361,3.34,3.34,2.16,4.16,0.39,2.28,2.28,4.58,0.4,2.28,729.56,211.96,31539.91,21.25,17.18,0.96,17.23,17.23,0.39,0.27,17.24,0.46,18.6,58.1,27.441,42,e00fce68a145996ae3d821b8,2022-08-25 08:16:01.344000+00:00,2022-08-25T08:16:01.519Z,2022-08-25T08:16:01.519Z
kPVWkVIzOS,MOOSPMPSParser,1661415481,3.2,3.2,2.36,4.69,0.36,2.5,2.5,5.15,0.45,2.5,731.4,212.38,11396.61,25.87,18.8,2.78,18.84,18.85,0.53,0.35,18.85,0.45,19.0,56.0,40.854,43,e00fce6856818e5885f65487,2022-08-25 08:18:02.304000+00:00,2022-08-25T08:18:02.489Z,2022-08-25T08:18:02.489Z
qHp8LJTT3Z,MOOSPMPSParser,1661415781,1.97,1.97,2.24,3.19,0.29,2.37,2.37,3.57,0.31,2.37,745.61,195.81,12234.19,25.44,17.87,1.77,17.91,17.92,0.41,0.2,17.92,0.45,18.5,58.8,26.573,42,e00fce6835b6173deb1a1f49,2022-08-25 08:23:02.028000+00:00,2022-08-25T08:23:02.213Z,2022-08-25T08:23:02.213Z
iq49dNgFC3,MOOSPMPSParser,1661415961,2.97,2.97,2.42,3.7,0.32,2.56,2.56,4.1,0.32,2.56,664.11,193.01,31704.84,17.84,19.27,0.93,19.32,19.32,0.47,0.34,19.33,0.47,18.6,56.2,28.478,42,e00fce68a145996ae3d821b8,2022-08-25 08:26:00.823000+00:00,2022-08-25T08:26:01.020Z,2022-08-25T08:26:01.020Z
