objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
CcwL3vm2JX,MOOSPMPSParser,1683885721,7.33,7.33,5.16,9.4,9.4,5.46,5.46,10.84,10.84,5.46,1227.74,360.05,502082.84,48.35,41.1,3.16,41.2,41.21,1.18,0.53,41.22,0.49,13.6,73.0,11.064,42,e00fce68a145996ae3d821b8,2023-05-12 10:02:00.072000+00:00,2023-05-12T10:02:00.252Z,2023-05-12T10:02:00.252Z
ci8Xm9toHt,MOOSPMPSParser,1683885721,4.84,4.84,4.68,7.65,7.65,4.98,5.0,8.4,8.4,5.02,1288.56,343.23,16789.02,58.34,37.19,4.37,37.32,37.33,1.08,0.64,37.34,0.51,13.5,76.4,20.285,42,e00fce68f8f5a1da595c7249,2023-05-12 10:02:02.279000+00:00,2023-05-12T10:02:02.475Z,2023-05-12T10:02:02.475Z
PfL8OJSy66,MOOSPMPSParser,1683886321,6.85,6.85,4.47,9.02,9.02,4.73,4.73,10.04,10.04,4.73,1177.95,342.61,502417.78,47.14,35.6,2.52,35.69,35.7,1.02,0.54,35.71,0.48,13.6,72.1,11.564,42,e00fce68a145996ae3d821b8,2023-05-12 10:12:00.012000+00:00,2023-05-12T10:12:00.193Z,2023-05-12T10:12:00.193Z
MRmeGe1sIt,MOOSPMPSParser,1683886321,5.66,5.66,4.52,8.66,8.66,4.78,4.78,9.42,9.42,4.78,1359.83,369.01,17112.11,64.97,36.01,4.77,36.1,36.11,0.92,0.52,36.11,0.48,13.4,76.8,19.412,42,e00fce68f8f5a1da595c7249,2023-05-12 10:12:02.242000+00:00,2023-05-12T10:12:02.436Z,2023-05-12T10:12:02.436Z
tOKDyZDBxH,MOOSPMPSParser,1683886921,5.54,5.54,3.99,7.72,7.72,4.22,4.22,8.87,8.87,4.22,1019.38,300.19,502740.53,39.54,31.79,2.41,31.88,31.88,1.25,0.74,31.89,0.49,13.8,70.5,13.94,42,e00fce68a145996ae3d821b8,2023-05-12 10:21:59.856000+00:00,2023-05-12T10:22:00.035Z,2023-05-12T10:22:00.035Z
jftMlwPb1g,MOOSPMPSParser,1683886921,5.08,5.08,4.28,7.84,7.84,4.53,4.53,8.54,8.54,4.53,1289.74,347.7,17425.51,61.61,34.1,3.62,34.19,34.2,1.07,0.3,34.2,0.48,13.3,76.9,19.534,42,e00fce68f8f5a1da595c7249,2023-05-12 10:22:02.482000+00:00,2023-05-12T10:22:02.691Z,2023-05-12T10:22:02.691Z
lM3LvrbCfE,MOOSPMPSParser,1683887521,4.44,4.44,4.37,6.27,6.27,4.62,4.62,7.15,7.15,4.62,881.24,259.19,503025.97,33.27,34.78,1.94,34.87,34.88,0.57,0.28,34.89,0.45,14.4,68.6,15.603,42,e00fce68a145996ae3d821b8,2023-05-12 10:31:59.838000+00:00,2023-05-12T10:32:00.070Z,2023-05-12T10:32:00.070Z
mXoYLealr3,MOOSPMPSParser,1683887521,4.93,4.93,4.35,7.69,7.69,4.6,4.6,8.09,8.09,4.6,1232.99,334.5,17729.71,60.72,34.64,3.02,34.72,34.73,0.62,0.21,34.74,0.47,13.2,77.1,19.719,42,e00fce68f8f5a1da595c7249,2023-05-12 10:32:02.340000+00:00,2023-05-12T10:32:02.553Z,2023-05-12T10:32:02.553Z
BV4Fof2EEk,MOOSPMPSParser,1683888121,4.2,4.2,4.52,6.14,6.14,4.78,4.78,7.35,7.35,4.78,860.2,251.27,503312.78,35.22,35.97,2.52,36.06,36.07,0.95,0.68,36.07,0.46,14.6,67.8,16.618,42,e00fce68a145996ae3d821b8,2023-05-12 10:42:00.003000+00:00,2023-05-12T10:42:00.193Z,2023-05-12T10:42:00.193Z
eHT9ie8xHq,MOOSPMPSParser,1683888180,4.89,4.89,4.72,7.64,7.64,4.99,4.99,8.45,8.45,4.99,1254.93,334.19,18080.61,62.78,37.56,3.47,37.65,37.66,0.99,0.54,37.67,0.48,13.3,76.6,19.025,42,e00fce68f8f5a1da595c7249,2023-05-12 10:43:01.434000+00:00,2023-05-12T10:43:01.677Z,2023-05-12T10:43:01.677Z
NAliJ1eNlP,MOOSPMPSParser,1683888721,4.7,4.7,4.49,6.99,6.99,4.76,4.76,7.6,7.6,4.76,948.9,274.32,503616.47,36.5,35.75,1.73,35.85,35.86,0.48,0.22,35.87,0.5,14.3,68.9,15.535,42,e00fce68a145996ae3d821b8,2023-05-12 10:52:00.007000+00:00,2023-05-12T10:52:00.226Z,2023-05-12T10:52:00.226Z
XlsH4sJgie,MOOSPMPSParser,1683888780,4.78,4.78,4.81,7.54,7.54,5.09,5.09,8.34,8.34,5.09,1238.69,334.28,18408.13,60.72,38.3,4.26,38.39,38.4,0.97,0.51,38.41,0.47,13.3,76.2,19.075,42,e00fce68f8f5a1da595c7249,2023-05-12 10:53:01.226000+00:00,2023-05-12T10:53:01.435Z,2023-05-12T10:53:01.435Z
