objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
mr4Ak9TR3y,MOOSPMPSParser,1661738520,1.97,1.97,1.81,2.99,0.29,1.91,1.91,3.19,0.29,1.91,535.32,152.89,4259.49,16.76,14.4,1.71,14.44,14.45,0.26,0.09,14.45,0.45,26.9,30.3,42.203,43,e00fce6856818e5885f65487,2022-08-29 02:02:01.822000+00:00,2022-08-29T02:02:02.023Z,2022-08-29T02:02:02.023Z
wW8QEi3oqV,MOOSPMPSParser,1661738581,1.21,1.21,1.42,1.86,0.15,1.5,1.5,2.06,0.17,1.5,580.09,150.43,101810.66,17.95,11.27,0.8,11.3,11.3,0.27,0.04,11.31,0.48,26.2,32.1,32.405,42,e00fce6835b6173deb1a1f49,2022-08-29 02:03:00.946000+00:00,2022-08-29T02:03:01.154Z,2022-08-29T02:03:01.154Z
MViAARYSwD,MOOSPMPSParser,1661738700,1.33,1.33,1.58,2.49,0.27,1.67,1.67,2.8,0.28,1.67,461.22,123.73,111936.23,20.73,12.59,2.05,12.63,12.63,0.46,0.27,12.63,0.49,26.0,32.6,45.847,42,e00fce68f8f5a1da595c7249,2022-08-29 02:04:58.385000+00:00,2022-08-29T02:04:58.588Z,2022-08-29T02:04:58.588Z
gHzaGIGVWF,MOOSPMPSParser,1661739120,1.65,1.65,1.15,2.27,0.21,1.22,1.22,2.48,0.24,1.22,470.62,130.7,4347.46,13.76,9.18,1.2,9.21,9.21,0.25,0.08,9.21,0.44,26.6,30.8,48.495,43,e00fce6856818e5885f65487,2022-08-29 02:12:01.813000+00:00,2022-08-29T02:12:01.997Z,2022-08-29T02:12:01.997Z
VG3TJNUXMa,MOOSPMPSParser,1661739181,0.85,0.85,1.18,1.43,0.11,1.25,1.25,1.8,0.15,1.25,507.85,133.63,101905.87,16.15,9.43,1.03,9.45,9.45,0.52,0.26,9.46,0.46,26.0,32.5,32.271,42,e00fce6835b6173deb1a1f49,2022-08-29 02:13:00.430000+00:00,2022-08-29T02:13:00.650Z,2022-08-29T02:13:00.650Z
hRgw3KvJai,MOOSPMPSParser,1661739300,1.13,1.13,1.28,2.1,0.25,1.36,1.36,2.31,0.25,1.36,431.98,114.41,112021.37,18.2,10.21,1.33,10.24,10.24,0.34,0.09,10.24,0.46,25.8,33.0,45.517,42,e00fce68f8f5a1da595c7249,2022-08-29 02:14:58.362000+00:00,2022-08-29T02:14:58.559Z,2022-08-29T02:14:58.559Z
EsXPUjiAaA,MOOSPMPSParser,1661739720,1.79,1.79,1.52,2.7,0.23,1.6,1.6,2.79,0.23,1.6,501.23,142.38,4444.92,14.74,12.06,1.87,12.09,12.09,0.16,0.0,12.1,0.44,26.4,30.8,49.334,43,e00fce6856818e5885f65487,2022-08-29 02:22:01.799000+00:00,2022-08-29T02:22:02.052Z,2022-08-29T02:22:02.052Z
go66iQBjiG,MOOSPMPSParser,1661739781,1.19,1.19,1.91,1.75,0.2,2.01,2.01,2.09,0.2,2.01,585.5,149.11,102000.05,16.73,15.17,1.11,15.21,15.21,0.43,0.31,15.21,0.48,25.8,32.4,32.571,42,e00fce6835b6173deb1a1f49,2022-08-29 02:23:00.430000+00:00,2022-08-29T02:23:00.626Z,2022-08-29T02:23:00.626Z
CFGejiclIO,MOOSPMPSParser,1661739900,1.38,1.38,1.41,2.67,0.24,1.49,1.49,2.79,0.24,1.49,476.32,127.19,112118.55,21.25,11.23,2.55,11.27,11.27,0.17,0.09,11.27,0.47,25.7,32.7,45.418,42,e00fce68f8f5a1da595c7249,2022-08-29 02:24:58.377000+00:00,2022-08-29T02:24:58.564Z,2022-08-29T02:24:58.564Z
9qwxFlmx53,MOOSPMPSParser,1661740320,2.35,2.35,1.64,3.38,0.25,1.73,1.73,3.67,0.25,1.73,609.42,173.62,4567.17,18.2,13.03,1.78,13.06,13.07,0.35,0.19,13.07,0.45,26.2,31.0,48.469,43,e00fce6856818e5885f65487,2022-08-29 02:32:01.719000+00:00,2022-08-29T02:32:01.945Z,2022-08-29T02:32:01.945Z
UhhlqIy5an,MOOSPMPSParser,1661740381,1.63,1.63,1.97,2.6,0.23,2.08,2.08,2.81,0.28,2.08,697.11,180.9,102131.25,21.58,15.68,1.71,15.72,15.72,0.26,0.18,15.72,0.49,25.8,32.5,31.493,42,e00fce6835b6173deb1a1f49,2022-08-29 02:33:00.446000+00:00,2022-08-29T02:33:00.653Z,2022-08-29T02:33:00.653Z
