objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
VNXk7iSFy1,MOOSPMPSParser,1686664920,3.57,3.57,3.53,4.73,4.73,3.73,3.73,5.26,5.26,3.73,757.13,221.61,1949095.62,27.85,28.11,1.4,28.19,28.19,0.56,0.3,28.2,0.46,17.1,72.1,13.677,42,e00fce68a145996ae3d821b8,2023-06-13 14:01:59.652000+00:00,2023-06-13T14:01:59.865Z,2023-06-13T14:01:59.865Z
QJPBcpDepg,MOOSPMPSParser,1686665520,3.82,3.82,3.9,5.04,5.04,4.12,4.12,5.89,5.89,4.12,789.65,231.68,1949342.0,31.44,31.02,1.9,31.1,31.11,0.97,0.46,31.12,0.47,17.4,71.8,13.687,42,e00fce68a145996ae3d821b8,2023-06-13 14:11:59.672000+00:00,2023-06-13T14:12:00.017Z,2023-06-13T14:12:00.017Z
mRmcR1aG4l,MOOSPMPSParser,1686666120,3.98,3.98,3.92,5.42,5.42,4.15,4.15,6.1,6.1,4.15,817.82,241.06,1949613.38,32.6,31.23,2.08,31.31,31.32,0.67,0.5,31.33,0.49,17.8,69.6,14.416,42,e00fce68a145996ae3d821b8,2023-06-13 14:21:59.764000+00:00,2023-06-13T14:21:59.957Z,2023-06-13T14:21:59.957Z
KivY7616gj,MOOSPMPSParser,1686666720,3.81,3.81,3.55,5.15,5.15,3.76,3.76,5.6,5.6,3.76,797.72,233.6,1949855.12,32.14,28.28,1.45,28.35,28.36,0.51,0.25,28.37,0.48,18.1,68.5,15.95,42,e00fce68a145996ae3d821b8,2023-06-13 14:31:59.604000+00:00,2023-06-13T14:31:59.909Z,2023-06-13T14:31:59.909Z
wKRhEQmP4V,MOOSPMPSParser,1686667320,3.6,3.6,3.78,4.85,4.85,3.99,3.99,5.34,5.34,3.99,756.15,222.65,1950096.75,29.38,30.07,1.45,30.15,30.16,0.61,0.53,30.16,0.49,18.3,67.6,17.341,42,e00fce68a145996ae3d821b8,2023-06-13 14:41:59.811000+00:00,2023-06-13T14:42:00.105Z,2023-06-13T14:42:00.105Z
a6PHSa1NhN,MOOSPMPSParser,1686667920,4.03,4.03,4.21,5.43,5.43,4.45,4.45,6.05,6.05,4.45,835.44,243.94,1950354.12,32.35,33.53,1.52,33.61,33.62,0.81,0.42,33.63,0.49,18.9,66.7,17.352,42,e00fce68a145996ae3d821b8,2023-06-13 14:51:59.621000+00:00,2023-06-13T14:51:59.998Z,2023-06-13T14:51:59.998Z
