objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
awyML2XXBA,MOOSPMPSParser,1658246460,3.2,3.2,2.59,4.77,0.49,2.74,2.74,5.64,0.53,2.74,710.98,221.35,327.59,30.96,20.59,2.5,20.65,20.65,1.19,0.59,20.66,0.47,0.0,0.0,-125.0,43,e00fce68a145996ae3d821b8,2022-07-19 16:01:02.597000+00:00,2022-07-19T16:01:02.808Z,2022-07-19T16:01:02.808Z
VeZReL5rKT,MOOSPMPSParser,1658246821,3.31,3.31,2.83,5.26,0.57,3.33,3.61,6.56,0.84,3.75,788.68,219.45,38023.9,36.1,22.14,4.21,22.57,22.64,1.91,0.87,22.66,0.57,27.6,46.5,24.851,42,e00fce68f8f5a1da595c7249,2022-07-19 16:07:00.757000+00:00,2022-07-19T16:07:00.994Z,2022-07-19T16:07:00.994Z
EWfqSMF4wH,MOOSPMPSParser,1658246881,4.77,4.77,3.8,5.79,0.65,4.02,4.02,6.15,0.66,4.02,1033.77,291.94,15689.57,26.2,30.25,1.58,30.32,30.33,0.39,0.22,30.34,0.49,27.9,46.4,17.287,42,e00fce6856818e5885f65487,2022-07-19 16:08:02.058000+00:00,2022-07-19T16:08:02.257Z,2022-07-19T16:08:02.257Z
rdOP4DIFeG,MOOSPMPSParser,1658246940,3.43,3.43,3.01,4.94,0.57,3.39,3.57,6.02,0.68,3.65,1021.84,265.53,105530.65,33.4,23.69,3.58,23.96,24.0,1.41,0.61,24.01,0.52,27.8,48.7,13.878,42,e00fce6835b6173deb1a1f49,2022-07-19 16:09:00.509000+00:00,2022-07-19T16:09:00.786Z,2022-07-19T16:09:00.786Z
LWFogc1vke,MOOSPMPSParser,1658247061,3.71,3.71,2.57,5.89,0.68,2.94,3.13,6.74,0.68,3.22,826.26,255.21,513.4,40.57,20.19,3.08,20.47,20.51,1.32,0.53,20.52,0.53,0.0,0.0,-125.0,43,e00fce68a145996ae3d821b8,2022-07-19 16:11:02.660000+00:00,2022-07-19T16:11:02.849Z,2022-07-19T16:11:02.849Z
t4hM3CvFeS,MOOSPMPSParser,1658247421,3.81,3.81,2.72,6.07,0.66,3.12,3.32,7.38,0.71,3.42,883.51,245.14,38211.34,41.64,21.39,4.35,21.71,21.77,1.95,0.96,21.79,0.53,27.7,48.5,20.602,42,e00fce68f8f5a1da595c7249,2022-07-19 16:17:00.797000+00:00,2022-07-19T16:17:00.978Z,2022-07-19T16:17:00.978Z
Xf3kr7cEt5,MOOSPMPSParser,1658247481,5.32,5.32,3.35,6.45,0.64,3.54,3.54,6.93,0.65,3.54,1149.96,325.25,15910.0,29.12,26.67,1.46,26.74,26.74,0.46,0.21,26.75,0.49,27.5,48.0,14.648,42,e00fce6856818e5885f65487,2022-07-19 16:18:02.051000+00:00,2022-07-19T16:18:02.251Z,2022-07-19T16:18:02.251Z
EurEwGIYdZ,MOOSPMPSParser,1658247540,4.03,4.03,2.72,5.64,0.49,3.03,3.15,6.3,0.55,3.22,1115.03,294.56,105727.23,36.79,21.44,2.86,21.65,21.68,0.93,0.32,21.68,0.51,28.1,47.4,12.011,42,e00fce6835b6173deb1a1f49,2022-07-19 16:19:00.524000+00:00,2022-07-19T16:19:00.715Z,2022-07-19T16:19:00.715Z
HDxg4RIfqk,MOOSPMPSParser,1658247661,4.2,4.2,3.06,6.13,0.54,3.32,3.39,7.2,0.57,3.42,882.54,270.99,712.98,39.96,24.27,2.92,24.41,24.43,1.63,0.78,24.44,0.48,0.0,0.0,-125.0,43,e00fce68a145996ae3d821b8,2022-07-19 16:21:02.604000+00:00,2022-07-19T16:21:02.849Z,2022-07-19T16:21:02.849Z
3dP5dcFNVd,MOOSPMPSParser,1658248021,4.15,4.15,3.65,6.78,0.81,4.16,4.39,8.22,0.97,4.53,947.06,262.4,38418.47,42.74,28.66,6.68,29.07,29.13,2.35,0.58,29.16,0.54,28.3,52.1,13.879,42,e00fce68f8f5a1da595c7249,2022-07-19 16:27:00.773000+00:00,2022-07-19T16:27:01.024Z,2022-07-19T16:27:01.024Z
