objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
byCUskDmNx,MOOSPMPSParser,1667462821,6.31,6.31,4.3,8.68,0.75,4.55,4.55,9.95,0.84,4.55,1172.18,335.48,13361.59,35.52,34.22,4.12,34.31,34.32,1.33,0.85,34.32,0.49,3.9,55.0,9.752,43,e00fce6856818e5885f65487,2022-11-03 08:07:01.564000+00:00,2022-11-03T08:07:01.768Z,2022-11-03T08:07:01.768Z
xIe7HIENpr,MOOSPMPSParser,1667463421,5.18,5.18,3.44,7.54,0.6,3.64,3.64,8.47,0.64,3.64,1033.36,292.91,13632.37,31.38,27.39,4.0,27.46,27.46,0.94,0.63,27.47,0.48,4.0,56.2,10.639,43,e00fce6856818e5885f65487,2022-11-03 08:17:01.581000+00:00,2022-11-03T08:17:01.781Z,2022-11-03T08:17:01.781Z
luTiQszyCu,MOOSPMPSParser,1667464021,4.49,4.49,2.59,6.85,0.31,2.75,2.75,7.46,0.31,2.75,922.3,266.36,13873.43,29.16,20.64,3.59,20.7,20.71,0.67,0.42,20.71,0.51,3.6,52.6,9.817,43,e00fce6856818e5885f65487,2022-11-03 08:27:01.808000+00:00,2022-11-03T08:27:02.028Z,2022-11-03T08:27:02.028Z
2nZvNCxJqW,MOOSPMPSParser,1667464621,3.68,3.68,3.16,5.96,0.69,3.35,3.36,6.67,0.74,3.36,827.42,236.2,14089.61,27.89,25.12,3.77,25.2,25.2,0.67,0.34,25.21,0.49,3.8,53.4,8.177,43,e00fce6856818e5885f65487,2022-11-03 08:37:01.580000+00:00,2022-11-03T08:37:01.766Z,2022-11-03T08:37:01.766Z
fFdfTYI1Gg,MOOSPMPSParser,1667465221,4.14,4.14,3.65,7.26,0.75,3.9,3.93,7.9,0.86,3.95,907.28,259.33,14336.41,34.39,28.99,4.09,29.1,29.12,0.58,0.39,29.12,0.52,3.5,56.9,7.552,43,e00fce6856818e5885f65487,2022-11-03 08:47:01.557000+00:00,2022-11-03T08:47:01.756Z,2022-11-03T08:47:01.756Z
M94us03vxR,MOOSPMPSParser,1667465821,4.48,4.48,3.47,6.9,0.62,3.69,3.71,7.69,0.65,3.72,908.25,260.46,14586.54,31.0,27.6,3.96,27.69,27.7,0.93,0.42,27.71,0.51,2.9,57.3,8.894,43,e00fce6856818e5885f65487,2022-11-03 08:57:01.501000+00:00,2022-11-03T08:57:01.705Z,2022-11-03T08:57:01.705Z
