objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
DmFzzsZHVU,MOOSPMPSParser,1674241501,2.42,2.42,1.98,3.73,0.33,2.09,2.09,3.95,0.34,2.09,579.3,164.44,2077.56,26.15,15.73,1.1,15.77,15.78,55.29,327.23,15.78,0.44,5.5,34.5,34.548,43,e00fce6856818e5885f65487,2023-01-20 19:05:02.523000+00:00,2023-01-20T19:05:02.712Z,2023-01-20T19:05:02.712Z
sSyAyLh9Ep,MOOSPMPSParser,1674242101,2.55,2.55,2.07,3.85,0.38,2.19,2.19,3.99,0.38,2.19,598.34,169.82,2220.09,23.41,16.46,1.19,16.5,16.5,56.4,328.21,16.5,0.46,5.7,35.4,31.375,43,e00fce6856818e5885f65487,2023-01-20 19:15:02.528000+00:00,2023-01-20T19:15:02.736Z,2023-01-20T19:15:02.736Z
go8FmPSvrO,MOOSPMPSParser,1674242701,3.23,3.23,1.94,4.9,0.59,2.05,2.05,5.13,0.59,2.05,691.99,198.29,2365.09,29.82,15.43,1.56,15.47,15.47,60.32,323.96,15.48,0.44,6.3,33.5,33.905,43,e00fce6856818e5885f65487,2023-01-20 19:25:02.523000+00:00,2023-01-20T19:25:02.762Z,2023-01-20T19:25:02.762Z
P3g1fpMxR8,MOOSPMPSParser,1674243301,3.79,3.79,2.58,5.86,0.71,2.72,2.72,6.22,0.76,2.72,797.37,226.68,2528.41,35.85,20.5,1.65,20.55,20.56,63.95,316.17,20.56,0.43,6.4,34.8,34.901,43,e00fce6856818e5885f65487,2023-01-20 19:35:02.528000+00:00,2023-01-20T19:35:02.793Z,2023-01-20T19:35:02.793Z
LHExlATEvu,MOOSPMPSParser,1674243901,5.33,5.33,2.89,7.87,0.85,3.06,3.06,8.1,0.85,3.06,999.55,283.37,2730.54,42.33,23.03,1.98,23.09,23.1,64.26,314.52,23.1,0.43,6.5,33.9,33.874,43,e00fce6856818e5885f65487,2023-01-20 19:45:02.524000+00:00,2023-01-20T19:45:02.753Z,2023-01-20T19:45:02.753Z
sGfesgTeHg,MOOSPMPSParser,1674244501,5.5,5.5,2.84,8.26,1.21,3.0,3.0,8.61,1.28,3.0,1025.46,295.12,2929.5,44.96,22.58,2.21,22.64,22.65,65.81,312.02,22.65,0.43,6.4,34.1,33.886,43,e00fce6856818e5885f65487,2023-01-20 19:55:02.528000+00:00,2023-01-20T19:55:02.740Z,2023-01-20T19:55:02.740Z
