objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
w3MRCWLhaZ,MOOSPMPSParser,1665118980,19.85,19.55,18.1,32.54,2.96,19.46,19.73,35.7,3.41,19.86,3535.27,1054.81,33565.49,194.09,143.7,21.61,144.39,144.47,3.99,2.33,144.51,0.52,13.2,66.5,22.867,43,e00fce6856818e5885f65487,2022-10-07 05:03:02.153000+00:00,2022-10-07T05:03:02.361Z,2022-10-07T05:03:02.361Z
bQfZwG5Vue,MOOSPMPSParser,1665119340,9.51,9.51,6.19,15.39,1.69,6.84,7.08,18.9,2.15,7.22,1890.7,528.69,613630.19,94.9,48.86,15.98,49.33,49.41,5.33,1.32,49.43,0.51,26.1,46.1,13.637,42,e00fce68f8f5a1da595c7249,2022-10-07 05:09:01.791000+00:00,2022-10-07T05:09:01.994Z,2022-10-07T05:09:01.994Z
6BHzOxq9qr,MOOSPMPSParser,1665119340,10.1,10.1,0.0,14.87,1.44,0.0,0.0,17.03,1.69,0.0,2262.81,600.22,0.0,92.11,0.0,10.89,0.0,0.0,2.85,1.81,0.0,0.0,0.0,0.0,11.162,42,e00fce6835b6173deb1a1f49,2022-10-07 05:09:02.894000+00:00,2022-10-07T05:09:03.183Z,2022-10-07T05:09:03.183Z
SnTsdiMVJB,MOOSPMPSParser,1665119581,19.8,19.52,16.22,32.09,3.21,17.29,17.41,35.29,3.6,17.47,3535.9,1049.33,34764.67,194.47,128.95,20.6,129.42,129.48,4.02,2.13,129.51,0.5,13.0,66.5,21.678,43,e00fce6856818e5885f65487,2022-10-07 05:13:02.165000+00:00,2022-10-07T05:13:02.414Z,2022-10-07T05:13:02.414Z
Idc66d5txW,MOOSPMPSParser,1665119940,9.34,9.34,6.16,15.18,1.42,7.06,7.5,18.29,1.75,7.74,1816.82,510.24,614043.38,91.96,48.38,14.89,49.11,49.24,4.6,1.69,49.27,0.53,25.9,46.3,13.776,42,e00fce68f8f5a1da595c7249,2022-10-07 05:19:01.924000+00:00,2022-10-07T05:19:02.090Z,2022-10-07T05:19:02.090Z
8NrSnoGBln,MOOSPMPSParser,1665119940,10.06,10.06,0.0,14.22,1.37,0.0,0.0,15.74,1.54,0.0,2230.64,583.35,0.0,87.58,0.0,8.27,0.0,0.0,1.93,1.21,0.0,0.0,0.0,0.0,10.454,42,e00fce6835b6173deb1a1f49,2022-10-07 05:19:02.638000+00:00,2022-10-07T05:19:02.821Z,2022-10-07T05:19:02.821Z
DQnIOKEEXe,MOOSPMPSParser,1665120181,20.22,19.83,18.05,32.68,3.13,19.44,19.74,35.72,3.41,19.89,3578.11,1067.45,36003.55,195.55,143.25,20.45,143.97,144.07,3.8,1.96,144.1,0.51,12.9,69.6,23.342,43,e00fce6856818e5885f65487,2022-10-07 05:23:02.124000+00:00,2022-10-07T05:23:02.327Z,2022-10-07T05:23:02.327Z
SW4ZwA63Np,MOOSPMPSParser,1665120540,8.77,8.77,5.71,14.56,1.17,6.22,6.37,18.09,1.56,6.44,1760.64,491.34,614431.94,88.88,45.24,16.14,45.57,45.62,5.28,1.8,45.64,0.51,25.7,46.2,15.129,42,e00fce68f8f5a1da595c7249,2022-10-07 05:29:02.008000+00:00,2022-10-07T05:29:02.188Z,2022-10-07T05:29:02.188Z
NXV2THeLv5,MOOSPMPSParser,1665120540,9.52,9.52,0.0,12.61,1.09,0.0,0.0,14.57,1.23,0.0,2079.05,555.72,0.0,76.76,0.0,6.02,0.0,0.0,2.76,1.13,0.0,0.0,0.0,0.0,12.352,42,e00fce6835b6173deb1a1f49,2022-10-07 05:29:03.174000+00:00,2022-10-07T05:29:03.409Z,2022-10-07T05:29:03.409Z
SZdYRl3uK9,MOOSPMPSParser,1665120781,20.95,20.28,19.05,33.86,3.23,20.35,20.51,36.95,3.7,20.6,3719.23,1101.57,37294.13,202.16,151.4,22.34,151.99,152.06,3.82,1.44,152.09,0.5,13.0,67.7,20.8,43,e00fce6856818e5885f65487,2022-10-07 05:33:02.141000+00:00,2022-10-07T05:33:02.338Z,2022-10-07T05:33:02.338Z
