objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
eD9P57Jghw,MOOSPMPSParser,1657404301,0.23,0.23,0.78,0.68,0.09,0.83,0.83,0.92,0.09,0.83,407.55,112.2,599.23,9.1,6.23,0.59,6.24,6.24,0.27,0.27,6.24,0.41,43.2,10.5,-125,43,e00fce68a145996ae3d821b8,2022-07-09 22:05:02.851000+00:00,2022-07-09T22:05:03.082Z,2022-07-09T22:05:03.082Z
vjJRBnkM4s,MOOSPMPSParser,1657404901,0.57,0.57,0.66,1.03,0.09,0.7,0.7,1.11,0.09,0.7,454.9,126.87,652.29,10.56,5.29,0.26,5.3,5.3,0.09,0.09,5.3,0.42,44.1,9.9,-125,43,e00fce68a145996ae3d821b8,2022-07-09 22:15:03.352000+00:00,2022-07-09T22:15:03.534Z,2022-07-09T22:15:03.534Z
ARG5BWBePd,MOOSPMPSParser,1657405501,0.54,0.54,0.94,0.91,0.07,0.99,0.99,1.05,0.07,0.99,452.18,123.83,702.17,7.96,7.45,0.47,7.47,7.47,0.17,0.17,7.47,0.4,44.4,10.8,-125,43,e00fce68a145996ae3d821b8,2022-07-09 22:25:02.868000+00:00,2022-07-09T22:25:03.100Z,2022-07-09T22:25:03.100Z
L5xWJOTPRY,MOOSPMPSParser,1657406101,0.49,0.49,0.8,0.86,0.05,0.85,0.85,1.12,0.14,0.85,441.14,122.28,755.33,9.46,6.39,0.8,6.41,6.41,0.36,0.18,6.41,0.41,43.7,11.3,-125,43,e00fce68a145996ae3d821b8,2022-07-09 22:35:02.835000+00:00,2022-07-09T22:35:03.046Z,2022-07-09T22:35:03.046Z
mKcRRjGRmz,MOOSPMPSParser,1657406701,0.73,0.73,0.71,1.16,0.16,0.75,0.75,1.26,0.16,0.75,479.15,133.01,809.36,10.26,5.66,0.55,5.67,5.67,0.17,0.08,5.67,0.41,43.5,10.5,-125,43,e00fce68a145996ae3d821b8,2022-07-09 22:45:02.850000+00:00,2022-07-09T22:45:03.079Z,2022-07-09T22:45:03.079Z
JaSnXS86rY,MOOSPMPSParser,1657407301,0.77,0.77,0.67,1.11,0.07,0.71,0.71,1.18,0.07,0.71,474.65,131.2,856.88,8.99,5.31,0.51,5.32,5.32,0.09,0.09,5.32,0.4,43.0,12.1,-125,43,e00fce68a145996ae3d821b8,2022-07-09 22:55:02.835000+00:00,2022-07-09T22:55:03.037Z,2022-07-09T22:55:03.037Z
