objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
w4oTjyDJfX,MOOSPMPSParser,1661410921,2.66,2.66,2.83,4.02,0.43,2.99,2.99,4.43,0.48,2.99,846.29,225.27,10775.8,30.15,22.53,2.31,22.59,22.6,0.56,0.14,22.6,0.47,19.3,55.5,28.454,42,e00fce6835b6173deb1a1f49,2022-08-25 07:02:02.160000+00:00,2022-08-25T07:02:02.383Z,2022-08-25T07:02:02.383Z
UTlRoGsado,MOOSPMPSParser,1661411101,3.07,3.07,2.5,4.83,0.45,2.64,2.64,5.9,0.55,2.64,719.2,202.54,27057.7,33.34,19.87,3.8,19.93,19.94,1.8,0.31,19.94,0.44,19.0,55.9,38.39,42,e00fce68f8f5a1da595c7249,2022-08-25 07:05:00.600000+00:00,2022-08-25T07:05:00.787Z,2022-08-25T07:05:00.787Z
tVukSvO66J,MOOSPMPSParser,1661411101,3.74,3.74,2.86,4.72,0.53,3.02,3.02,5.23,0.55,3.02,782.16,228.82,30208.62,23.35,22.75,1.35,22.8,22.81,0.48,0.38,22.81,0.46,19.2,54.4,29.643,42,e00fce68a145996ae3d821b8,2022-08-25 07:05:00.899000+00:00,2022-08-25T07:05:01.106Z,2022-08-25T07:05:01.106Z
Cx1cVa0TG7,MOOSPMPSParser,1661411221,3.7,3.7,2.67,4.96,0.46,2.82,2.82,5.53,0.46,2.82,800.72,231.13,10085.14,25.13,21.25,2.25,21.31,21.31,0.69,0.53,21.32,0.45,19.7,52.5,46.297,43,e00fce6856818e5885f65487,2022-08-25 07:07:02.205000+00:00,2022-08-25T07:07:02.451Z,2022-08-25T07:07:02.451Z
1oB7w4ZAJw,MOOSPMPSParser,1661411521,2.3,2.3,2.46,3.63,0.35,2.6,2.6,4.11,0.43,2.6,784.15,209.24,10955.13,28.57,19.61,1.54,19.66,19.66,0.55,0.46,19.67,0.45,19.1,55.5,27.474,42,e00fce6835b6173deb1a1f49,2022-08-25 07:12:02.109000+00:00,2022-08-25T07:12:02.326Z,2022-08-25T07:12:02.326Z
LiemNZctMV,MOOSPMPSParser,1661411701,2.79,2.79,2.63,4.98,0.53,2.78,2.78,5.96,0.57,2.78,691.7,196.92,27238.47,37.53,20.92,4.11,20.99,20.99,1.46,0.69,21.0,0.41,18.8,56.0,37.58,42,e00fce68f8f5a1da595c7249,2022-08-25 07:15:00.622000+00:00,2022-08-25T07:15:00.855Z,2022-08-25T07:15:00.855Z
yqHgcRyytf,MOOSPMPSParser,1661411701,3.68,3.68,2.89,4.57,0.39,3.05,3.05,5.04,0.44,3.05,771.53,224.19,30393.16,22.67,22.99,1.2,23.05,23.05,0.47,0.31,23.06,0.48,19.0,54.7,28.936,42,e00fce68a145996ae3d821b8,2022-08-25 07:15:00.848000+00:00,2022-08-25T07:15:01.131Z,2022-08-25T07:15:01.131Z
HGGpuQnOJj,MOOSPMPSParser,1661411821,3.44,3.44,2.67,4.87,0.61,2.82,2.82,5.11,0.71,2.82,772.6,223.56,10263.94,24.94,21.26,2.61,21.32,21.32,0.17,0.09,21.33,0.44,19.6,52.9,45.265,43,e00fce6856818e5885f65487,2022-08-25 07:17:02.301000+00:00,2022-08-25T07:17:02.503Z,2022-08-25T07:17:02.503Z
u683jEUvAp,MOOSPMPSParser,1661412121,2.23,2.23,2.6,3.69,0.34,2.75,2.75,4.26,0.4,2.75,777.35,205.8,11135.0,32.25,20.69,2.52,20.74,20.75,0.74,0.17,20.75,0.46,18.8,55.8,27.249,42,e00fce6835b6173deb1a1f49,2022-08-25 07:22:02.130000+00:00,2022-08-25T07:22:02.342Z,2022-08-25T07:22:02.342Z
B3yI03pgrZ,MOOSPMPSParser,1661412301,2.88,2.88,2.81,4.83,0.5,2.97,2.97,5.41,0.57,2.97,706.39,195.49,27419.24,32.88,22.32,3.52,22.39,22.4,0.92,0.36,22.4,0.44,18.6,57.6,36.704,42,e00fce68f8f5a1da595c7249,2022-08-25 07:25:00.525000+00:00,2022-08-25T07:25:00.733Z,2022-08-25T07:25:00.733Z
dhhFnOvCBG,MOOSPMPSParser,1661412301,3.6,3.6,2.89,4.67,0.4,3.05,3.05,5.14,0.4,3.05,757.26,220.79,30584.37,24.95,22.99,1.41,23.04,23.05,0.52,0.51,23.06,0.47,18.8,56.0,28.56,42,e00fce68a145996ae3d821b8,2022-08-25 07:25:00.949000+00:00,2022-08-25T07:25:01.148Z,2022-08-25T07:25:01.148Z
160IvpRrkG,MOOSPMPSParser,1661412421,3.4,3.4,2.82,4.97,0.43,2.98,2.98,5.69,0.52,2.98,764.92,222.53,10455.76,27.94,22.41,3.15,22.47,22.47,1.02,0.64,22.48,0.46,19.4,53.5,44.708,43,e00fce6856818e5885f65487,2022-08-25 07:27:02.200000+00:00,2022-08-25T07:27:02.417Z,2022-08-25T07:27:02.417Z
rcC6Bn0zTl,MOOSPMPSParser,1661412721,2.41,2.41,2.39,3.92,0.38,2.53,2.53,4.23,0.41,2.53,808.2,213.27,11327.65,32.4,19.05,2.08,19.09,19.1,0.47,0.09,19.1,0.46,18.8,56.7,27.232,42,e00fce6835b6173deb1a1f49,2022-08-25 07:32:02.123000+00:00,2022-08-25T07:32:02.376Z,2022-08-25T07:32:02.376Z
oekjf9NsW6,MOOSPMPSParser,1661412901,2.9,2.9,2.57,5.24,0.46,2.72,2.72,6.02,0.57,2.72,726.91,203.35,27606.26,38.31,20.43,5.0,20.49,20.5,1.12,0.35,20.5,0.44,18.6,58.1,37.465,42,e00fce68f8f5a1da595c7249,2022-08-25 07:35:00.542000+00:00,2022-08-25T07:35:00.726Z,2022-08-25T07:35:00.726Z
mb1nFw1gW5,MOOSPMPSParser,1661412901,3.57,3.57,2.79,4.37,0.46,2.95,2.96,4.78,0.5,2.96,757.21,220.79,30775.19,22.05,22.22,1.22,22.28,22.29,0.39,0.17,22.29,0.5,18.8,56.8,29.012,42,e00fce68a145996ae3d821b8,2022-08-25 07:35:00.848000+00:00,2022-08-25T07:35:01.125Z,2022-08-25T07:35:01.125Z
VhjePfDDVG,MOOSPMPSParser,1661413021,3.39,3.39,2.45,4.79,0.41,2.59,2.59,5.37,0.41,2.59,760.49,219.56,10646.22,26.18,19.5,2.71,19.55,19.56,0.82,0.43,19.56,0.45,19.3,54.2,45.26,43,e00fce6856818e5885f65487,2022-08-25 07:37:02.270000+00:00,2022-08-25T07:37:02.504Z,2022-08-25T07:37:02.504Z
4bzuljEoAH,MOOSPMPSParser,1661413321,2.44,2.44,3.13,3.83,0.31,3.31,3.31,4.43,0.54,3.31,811.39,214.05,11515.76,32.47,24.93,2.39,25.0,25.0,0.74,0.48,25.01,0.47,18.8,56.7,27.292,42,e00fce6835b6173deb1a1f49,2022-08-25 07:42:02.108000+00:00,2022-08-25T07:42:02.348Z,2022-08-25T07:42:02.348Z
QmauRchNLU,MOOSPMPSParser,1661413501,2.93,2.93,2.56,5.21,0.56,2.7,2.7,6.08,0.57,2.7,706.81,200.42,27792.0,36.17,20.35,4.3,20.41,20.41,1.35,0.59,20.42,0.43,18.6,57.9,36.943,42,e00fce68f8f5a1da595c7249,2022-08-25 07:45:00.520000+00:00,2022-08-25T07:45:00.733Z,2022-08-25T07:45:00.733Z
pSM0U11OGR,MOOSPMPSParser,1661413501,3.5,3.5,2.68,4.33,0.47,2.83,2.83,5.16,0.55,2.83,756.2,216.56,30973.71,23.38,21.32,1.61,21.37,21.38,0.95,0.65,21.38,0.45,18.8,56.6,28.952,42,e00fce68a145996ae3d821b8,2022-08-25 07:45:00.915000+00:00,2022-08-25T07:45:01.089Z,2022-08-25T07:45:01.089Z
weANO4h0BT,MOOSPMPSParser,1661413621,3.28,3.28,2.74,4.93,0.46,2.89,2.89,5.32,0.49,2.89,763.43,218.74,10839.17,27.59,21.78,2.8,21.83,21.84,0.43,0.27,21.84,0.45,19.3,54.6,45.088,43,e00fce6856818e5885f65487,2022-08-25 07:47:02.279000+00:00,2022-08-25T07:47:02.502Z,2022-08-25T07:47:02.502Z
mcNJvg2ZvY,MOOSPMPSParser,1661413921,2.24,2.24,2.57,3.55,0.45,2.72,2.72,4.12,0.49,2.72,786.45,208.51,11707.46,28.73,20.48,2.55,20.53,20.54,0.8,0.26,20.54,0.46,18.5,58.1,27.07,42,e00fce6835b6173deb1a1f49,2022-08-25 07:52:02.108000+00:00,2022-08-25T07:52:02.333Z,2022-08-25T07:52:02.333Z
gtlxjAkSkF,MOOSPMPSParser,1661414101,2.86,2.86,2.52,4.97,0.44,2.67,2.67,5.89,0.44,2.67,693.73,193.36,27977.55,35.98,20.09,4.43,20.15,20.15,1.48,0.57,20.16,0.48,18.3,58.2,36.812,42,e00fce68f8f5a1da595c7249,2022-08-25 07:55:00.545000+00:00,2022-08-25T07:55:00.752Z,2022-08-25T07:55:00.752Z
mNmNu5pRpx,MOOSPMPSParser,1661414101,3.46,3.46,2.97,4.37,0.46,3.14,3.14,4.89,0.59,3.14,751.92,218.1,31169.69,20.31,23.61,1.42,23.67,23.67,0.66,0.49,23.68,0.47,18.4,57.3,28.885,42,e00fce68a145996ae3d821b8,2022-08-25 07:55:01.257000+00:00,2022-08-25T07:55:01.466Z,2022-08-25T07:55:01.466Z
lcRIiCP6Ez,MOOSPMPSParser,1661414221,3.56,3.56,2.95,5.22,0.43,3.12,3.12,5.45,0.48,3.12,789.29,228.45,11030.53,27.48,23.51,2.65,23.57,23.57,0.35,0.08,23.58,0.45,19.0,55.4,45.244,43,e00fce6856818e5885f65487,2022-08-25 07:57:02.225000+00:00,2022-08-25T07:57:02.442Z,2022-08-25T07:57:02.442Z
