objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
ZuoYlSVWB5,MOOSPMPSParser,1665543780,11.42,11.42,7.36,18.19,1.55,7.79,7.79,20.58,1.78,7.79,2218.21,620.95,1135480.5,107.01,58.6,14.54,58.77,58.79,3.58,1.24,58.81,0.49,28.8,37.4,29.256,42,e00fce68f8f5a1da595c7249,2022-10-12 03:02:58.494000+00:00,2022-10-12T03:02:58.713Z,2022-10-12T03:02:58.713Z
jYTogPCOCR,MOOSPMPSParser,1665543781,12.58,12.58,0.0,17.5,1.74,0.0,0.0,19.04,1.84,0.0,2673.67,704.71,0.0,114.75,0.0,7.28,0.0,0.0,2.25,0.95,0.0,0.0,0.0,0.0,26.558,42,e00fce6835b6173deb1a1f49,2022-10-12 03:02:59.135000+00:00,2022-10-12T03:02:59.334Z,2022-10-12T03:02:59.334Z
SKkJnfGDXu,MOOSPMPSParser,1665544380,11.6,11.6,6.45,19.04,1.51,6.91,6.97,22.09,1.58,7.01,2227.45,625.98,1135982.12,115.46,51.23,17.43,51.47,51.51,4.55,1.55,51.52,0.5,28.6,38.2,24.572,42,e00fce68f8f5a1da595c7249,2022-10-12 03:12:58.327000+00:00,2022-10-12T03:12:58.496Z,2022-10-12T03:12:58.496Z
JvaktEoLj8,MOOSPMPSParser,1665544381,12.17,12.17,0.0,17.03,1.61,0.0,0.0,18.51,1.75,0.0,2603.96,691.54,0.0,104.78,0.0,7.61,0.0,0.0,2.17,1.14,0.0,0.0,0.0,0.0,21.943,42,e00fce6835b6173deb1a1f49,2022-10-12 03:12:58.919000+00:00,2022-10-12T03:12:59.096Z,2022-10-12T03:12:59.096Z
VUYDlUF222,MOOSPMPSParser,1665544980,10.7,10.7,6.44,17.56,1.49,6.81,6.81,20.34,1.72,6.81,2083.73,576.29,1136447.12,109.01,51.22,16.18,51.38,51.39,4.23,1.14,51.4,0.49,28.0,39.7,22.411,42,e00fce68f8f5a1da595c7249,2022-10-12 03:22:58.406000+00:00,2022-10-12T03:22:58.616Z,2022-10-12T03:22:58.616Z
63ezVgY4zD,MOOSPMPSParser,1665544981,11.14,11.14,0.0,15.81,1.62,0.0,0.0,17.38,1.89,0.0,2422.8,636.21,0.0,98.45,0.0,9.18,0.0,0.0,2.31,0.64,0.0,0.0,0.0,0.0,19.878,42,e00fce6835b6173deb1a1f49,2022-10-12 03:22:58.967000+00:00,2022-10-12T03:22:59.179Z,2022-10-12T03:22:59.179Z
lh0EmUdFTG,MOOSPMPSParser,1665545580,10.05,10.05,6.36,15.83,1.6,6.84,6.93,18.47,1.91,6.98,1961.0,540.2,1136890.0,93.33,50.51,14.69,50.78,50.82,3.89,1.29,50.84,0.51,28.2,39.1,23.422,42,e00fce68f8f5a1da595c7249,2022-10-12 03:32:58.490000+00:00,2022-10-12T03:32:58.654Z,2022-10-12T03:32:58.654Z
1oDrMbtzYE,MOOSPMPSParser,1665545581,10.42,10.42,0.0,14.67,1.56,0.0,0.0,15.79,1.83,0.0,2253.95,598.49,0.0,96.79,0.0,6.51,0.0,0.0,1.49,0.8,0.0,0.0,0.0,0.0,21.466,42,e00fce6835b6173deb1a1f49,2022-10-12 03:32:59.033000+00:00,2022-10-12T03:32:59.250Z,2022-10-12T03:32:59.250Z
lcTelI62zn,MOOSPMPSParser,1665546180,11.16,11.16,9.36,18.43,2.74,9.91,9.92,21.51,3.13,9.93,2209.17,603.15,1137381.12,106.65,74.47,18.35,74.71,74.73,4.55,1.68,74.75,0.47,27.9,38.9,23.605,42,e00fce68f8f5a1da595c7249,2022-10-12 03:42:58.550000+00:00,2022-10-12T03:42:58.745Z,2022-10-12T03:42:58.745Z
ckz1FtHxn5,MOOSPMPSParser,1665546181,11.93,11.9,0.0,16.71,2.39,0.0,0.0,18.13,2.69,0.0,2597.14,682.33,0.0,107.54,0.0,7.18,0.0,0.0,2.11,1.02,0.0,0.0,0.0,0.0,20.949,42,e00fce6835b6173deb1a1f49,2022-10-12 03:42:58.895000+00:00,2022-10-12T03:42:59.142Z,2022-10-12T03:42:59.142Z
0KWlmRWxcP,MOOSPMPSParser,1665546780,13.61,13.61,8.32,22.01,1.85,8.79,8.79,25.5,2.33,8.79,2636.88,728.26,1137991.5,127.89,66.17,19.99,66.37,66.39,5.34,1.41,66.4,0.47,27.6,40.6,21.58,42,e00fce68f8f5a1da595c7249,2022-10-12 03:52:58.493000+00:00,2022-10-12T03:52:58.669Z,2022-10-12T03:52:58.669Z
mCkW0Cm9ww,MOOSPMPSParser,1665546781,14.93,14.86,0.0,20.92,1.68,0.0,0.0,22.64,1.87,0.0,3141.01,829.23,0.0,128.23,0.0,11.07,0.0,0.0,2.18,1.12,0.0,0.0,0.0,0.0,19.033,42,e00fce6835b6173deb1a1f49,2022-10-12 03:52:59.024000+00:00,2022-10-12T03:52:59.231Z,2022-10-12T03:52:59.231Z
