objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
xI4Nj12J0d,MOOSPMPSParser,1662502140,12.75,12.75,8.36,17.64,1.64,8.84,8.84,18.29,1.7,8.84,2583.8,752.08,347811.28,99.99,66.57,5.83,66.74,66.76,0.88,0.33,66.77,0.4,42.8,12.4,70.552,43,e00fce6856818e5885f65487,2022-09-06 22:09:00.863000+00:00,2022-09-06T22:09:01.047Z,2022-09-06T22:09:01.047Z
LV7dWeEPS6,MOOSPMPSParser,1662502740,13.25,13.25,8.49,18.12,1.68,8.97,8.97,18.4,1.7,8.97,2606.95,760.95,348422.66,106.18,67.56,4.9,67.73,67.75,0.31,0.22,67.77,0.41,42.6,12.1,70.844,43,e00fce6856818e5885f65487,2022-09-06 22:19:00.989000+00:00,2022-09-06T22:19:01.223Z,2022-09-06T22:19:01.223Z
155fboDcZi,MOOSPMPSParser,1662503340,13.44,13.44,8.94,18.02,1.63,9.45,9.45,18.77,1.64,9.45,2623.66,763.97,349037.59,100.52,71.18,6.25,71.36,71.38,0.91,0.45,71.39,0.41,42.4,11.9,70.875,43,e00fce6856818e5885f65487,2022-09-06 22:29:00.862000+00:00,2022-09-06T22:29:01.086Z,2022-09-06T22:29:01.086Z
YdTW6VDvpc,MOOSPMPSParser,1662503940,13.44,13.44,8.8,18.17,1.92,9.3,9.3,19.42,2.0,9.3,2598.01,759.2,349643.47,108.24,70.03,7.19,70.21,70.23,1.56,1.04,70.24,0.4,42.0,12.2,68.703,43,e00fce6856818e5885f65487,2022-09-06 22:39:00.859000+00:00,2022-09-06T22:39:01.109Z,2022-09-06T22:39:01.109Z
onkOz9YpDG,MOOSPMPSParser,1662504540,13.33,13.33,8.48,18.19,1.81,8.97,8.97,18.96,1.81,8.97,2548.33,747.5,350251.88,106.84,67.54,5.76,67.71,67.73,1.07,0.73,67.74,0.4,41.5,12.4,68.844,43,e00fce6856818e5885f65487,2022-09-06 22:49:00.862000+00:00,2022-09-06T22:49:01.094Z,2022-09-06T22:49:01.094Z
pUTLb1MgXu,MOOSPMPSParser,1662505140,13.62,13.62,9.37,19.33,1.87,9.91,9.91,19.91,1.92,9.91,2614.03,760.61,350890.66,109.87,74.62,6.8,74.8,74.83,0.91,0.39,74.84,0.4,40.5,15.0,68.906,43,e00fce6856818e5885f65487,2022-09-06 22:59:01.009000+00:00,2022-09-06T22:59:01.208Z,2022-09-06T22:59:01.208Z
