unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1755320400,3,3,2,3,3,2,29,30,0.0,36.139111,-120.368416,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1755320400,9,9,6,9,9,7,25,52,10.757,36.526455,-119.290268,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,20.104188391101005
1755320400,0,0,2,0,0,2,29,33,11.903,36.139069,-120.368362,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,18.343555174977
1755320400,3,3,3,3,3,3,28,34,26.518,35.613297,-119.689552,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,24.24888385988
1755320401,10,10,5,10,10,5,25,50,10.284,35.949615,-119.049973,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,20.937101802060003
1755320400,9,9,7,9,9,7,25,41,30.549,40.594032,-105.075951,e00fce68b74b750aa2a7da46,0.0,0.0,0.0,-999.0,-999.0
1755320400,7,7,4,7,7,5,28,31,28.085,36.037727,-120.173264,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,18.893974733385
1755320401,1,1,3,1,1,3,25,49,8.438,35.670261,-119.239006,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,21.633734131298
1755321000,3,3,2,4,4,2,29,31,0.0,36.139107,-120.368401,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1755321000,9,9,6,10,10,6,25,52,10.052,36.526592,-119.290306,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,19.615401180036002
1755321000,3,3,3,3,3,3,28,35,25.87,35.613274,-119.68956,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,24.009987460200005
1755321000,0,0,2,0,0,2,28,34,10.355,36.139019,-120.368385,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,16.708078142444997
1755321001,11,11,6,11,11,6,25,52,7.114,35.94952,-119.049904,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,19.13953620351
1755321001,0,0,3,0,0,3,25,49,7.234,35.670368,-119.239044,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,20.960376698214
1755321000,5,5,6,5,5,8,28,32,27.942,36.037727,-120.173264,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,19.054906854701997
1755321000,10,10,7,10,10,7,24,40,31.413,40.594315,-105.075668,e00fce68b74b750aa2a7da46,0.0,0.0,0.0,-999.0,-999.0
1755321600,3,3,2,3,3,2,29,31,0.0,36.139122,-120.368225,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1755321600,3,3,3,3,3,3,28,35,25.765,35.613266,-119.689537,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,23.919695685900006
1755321600,10,10,6,11,11,6,25,52,7.489,36.526592,-119.290306,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,17.838434340377
1755321601,12,12,6,12,12,6,25,52,5.482,35.949551,-119.04995,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,17.99788412463
1755321601,9,9,7,9,9,7,24,40,30.779,40.594315,-105.075668,e00fce68b74b750aa2a7da46,0.0,0.0,0.0,-999.0,-999.0
