unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1751961601,5,5,3,5,5,3,24,45,24.467,36.785427,-119.773056,e00fce6858b443fd80f27170,0.976431549,-0.008476968,0.362406902,-1.151630692,30.768272595234
1751961601,4,4,3,4,4,3,24,46,30.2,36.78545,-119.773148,e00fce682bbf742cd0b6768a,0.863804282,0.097323376,0.495702973,-9.376862597,30.801545251599997
1751961601,0,0,2,0,0,2,24,47,25.744,36.785427,-119.773155,e00fce686dc2ef0a68fa40b0,1.146965956,-0.094976874,0.260554446,1.84195658,31.612940103824002
1751961601,1,1,3,1,1,3,24,47,25.549,36.785522,-119.773109,e00fce68d6b773b56ce8baa0,0.0,0.0,0.0,-9.9999,-9.9999
1751961600,4,4,3,4,4,3,24,45,24.304,36.785496,-119.773209,e00fce68e28dcbc9a589be10,0.797232548,-0.012605545,0.432798873,0.775110947,29.860186383391998
1751961601,0,0,2,0,0,2,16,63,20.943,40.593971,-105.075851,e00fce68b74b750aa2a7da46,0.0,0.0,0.0,-9.9999,-9.9999
1751961600,5,5,3,5,5,3,24,46,0.0,36.785393,-119.773216,e00fce68f12da1a0c5de6248,0.921919559,-0.041250808,0.35141,-1.253362498,18.97516975
1751961601,1,1,1,1,1,1,22,31,514.129,36.139069,-120.368279,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-9.9999,-9.9999
1751961601,1,1,1,1,1,1,23,29,21.482,36.138981,-120.36834,e00fce6876826e255108c6bd,0.0,0.0,0.0,-9.9999,-9.9999
1751961600,4,4,3,4,4,3,24,46,38.393,36.785347,-119.773117,e00fce68e88237db75a60608,0.69845682,0.091347691,0.494049694,-9.968352006,29.964655361741993
1751962201,0,0,2,0,0,2,23,47,25.144,36.78553,-119.77317,e00fce686dc2ef0a68fa40b0,1.146965956,-0.094976874,0.260554446,1.84195658,30.309641480224002
1751962201,4,4,3,4,4,3,23,46,24.928,36.785393,-119.77317,e00fce6858b443fd80f27170,0.976431549,-0.008476968,0.362406902,-1.151630692,29.950433660055996
1751962201,4,4,3,4,4,3,23,46,29.996,36.7854,-119.773079,e00fce682bbf742cd0b6768a,0.863804282,0.097323376,0.495702973,-9.376862597,29.836617563108
1751962200,4,4,2,4,4,3,23,46,23.889,36.785412,-119.773155,e00fce68e28dcbc9a589be10,0.797232548,-0.012605545,0.432798873,0.775110947,28.870736758097003
1751962200,5,5,3,5,5,3,23,46,0.0,36.785423,-119.773117,e00fce68f12da1a0c5de6248,0.921919559,-0.041250808,0.35141,-1.253362498,18.053250191
1751962201,1,1,3,1,1,3,23,48,24.628,36.785461,-119.773064,e00fce68d6b773b56ce8baa0,0.0,0.0,0.0,-9.9999,-9.9999
