unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1762797600,10,10,5,10,10,5,25,43,36.949,36.138897,-120.368492,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,27.314428354168996
1762797601,11,11,5,11,11,5,25,44,40.579,36.138992,-120.368423,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,39.827905244747
1762797601,11,11,4,12,12,4,25,43,0.0,36.138996,-120.368332,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1762797601,4,4,2,4,4,2,25,45,12.723,36.138985,-120.368378,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,23.741055842033
1762798200,11,11,5,11,11,5,26,42,38.811,36.139084,-120.36834,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,28.881179610391
1762798201,12,12,5,12,12,5,26,42,42.847,36.139076,-120.368362,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,41.688714373471
1762798201,12,12,4,13,13,4,26,41,0.0,36.139004,-120.36837,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1762798201,4,4,2,5,5,2,26,43,13.968,36.139053,-120.368347,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,25.179010400928
1762798800,9,9,4,10,10,4,26,41,38.891,36.138916,-120.368492,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,28.673519646871
1762798801,10,10,4,10,10,4,26,43,43.024,36.139042,-120.368301,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,41.930472266631995
1762798801,10,10,4,11,11,4,26,42,0.0,36.139011,-120.368309,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1762798801,3,3,2,3,3,2,26,43,14.812,36.139008,-120.368385,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,25.651031724451997
1762799401,9,9,4,9,9,4,26,41,42.295,36.139038,-120.368378,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,41.186963282935004
1762799401,9,9,3,10,10,3,27,40,0.0,36.139027,-120.368347,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1762799401,2,2,2,2,2,2,27,41,14.4,36.139095,-120.36837,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,26.1622809124
1762799400,8,8,4,8,8,4,27,40,38.162,36.139023,-120.368446,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,28.318495678521998
1762800000,8,8,4,9,9,4,27,40,40.018,36.139214,-120.368309,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,29.695112744058
1762800001,8,8,5,9,9,5,27,42,44.196,36.139038,-120.368507,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,43.150449047828005
1762800001,9,9,3,10,10,3,27,40,0.0,36.139187,-120.368347,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1762800001,2,2,2,2,2,2,27,42,15.286,36.139027,-120.368393,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,26.730075763705997
1762800600,9,9,4,9,9,4,28,40,41.036,36.139057,-120.368462,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,30.902856163116
1762800601,9,9,4,9,9,4,28,41,46.031,36.139038,-120.368507,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,44.830093801983
1762800601,10,10,3,10,10,3,28,42,0.0,36.13913,-120.368561,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1762800601,3,3,2,3,3,2,27,43,16.4,36.139027,-120.368347,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,27.425383484399994
