unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1788688801,14,14,7,15,15,7,15,86,5.437,36.523422,-119.278862,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1788688800,5,5,4,6,6,5,19,59,6.679,35.775097,-119.238541,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,6.418678283298998
1788688800,0,0,1,0,0,1,18,54,15.808,36.19886,-120.104439,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,19.913302612567996
1788688800,3,3,5,4,4,5,25,43,3.61,35.963249,-119.29187,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,13.00384799999
1788688800,3,3,2,3,3,2,17,63,7.135,35.949642,-119.04998,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1788688800,1,1,1,1,1,2,20,45,24.045,36.139099,-120.368469,e00fce6850cac69f647dc199,0.0,0.0,0.0,-999.0,-999.0
1788688801,3,3,2,3,3,2,16,58,18.848,36.503052,-120.325363,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1788688801,3,3,3,3,3,3,20,51,26.41,2e-05,-0.004224,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,28.205347608129998
1788688801,2,2,0,2,2,0,19,49,10.597,36.187618,-119.822044,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1788688801,1,1,2,2,2,2,18,53,17.922,36.433613,-119.923378,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1788689401,14,14,7,14,14,7,15,84,5.89,36.523281,-119.278763,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
