unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1759924801,5,5,2,5,5,2,15,49,20.7,35.949577,-119.049973,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,21.386832616500005
1759924800,-9,-9,6554,-9,-9,6554,15,69,0.858,35.670395,-119.239021,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,9.977818691118001
1759924801,4,4,2,4,4,2,17,47,0.0,36.037571,-120.173225,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1759924800,29,29,12,30,30,12,15,71,6.978,36.526619,-119.290276,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,14.481406462754
1759924801,4,4,2,4,4,2,20,42,37.1,36.005226,-120.117325,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,24.896025797100002
1759924800,0,0,2,1,1,2,14,59,1.995,36.138973,-120.368401,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,9.376396996205003
1759925401,6,6,3,6,6,3,15,51,20.962,35.949615,-119.049995,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,21.99009418383
1759925400,0,0,2,1,1,2,14,58,3.745,36.139038,-120.368347,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,10.265712173455007
1759925401,4,4,2,4,4,2,18,44,0.0,36.037605,-120.173286,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1759925400,-9,-9,6554,-9,-9,6554,15,68,0.995,35.67046,-119.239044,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,9.982153951145
1759925400,24,24,9,24,24,9,16,67,14.094,36.526558,-119.290337,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,19.465325439142
1759925401,4,4,2,4,4,2,19,42,36.163,36.00526,-120.117386,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,23.748361032302995
1759926001,4,4,2,4,4,2,18,41,0.0,36.037663,-120.173134,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1759926000,0,0,2,0,0,2,14,58,4.995,36.139008,-120.368477,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,11.238758372205005
1759926000,-9,-9,6554,-9,-9,6554,15,68,1.524,35.670502,-119.239082,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,10.278006178804
