unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1784890801,1,1,2,1,1,2,20,55,11.812,36.138889,-120.368408,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1784890801,1,1,1,1,1,2,19,53,517.251,36.139038,-120.368408,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,447.10393374266
1784890800,9,9,7,9,9,7,22,52,13.146,36.762661,-119.79879,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,21.973349987014004
1784890800,1,1,1,1,1,2,19,53,15.983,36.138988,-120.36837,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784890801,1,1,2,1,1,2,19,53,12.476,36.138908,-120.368378,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1784890801,1,1,2,1,1,2,19,53,18.357,36.139057,-120.368416,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1784890800,15,15,7,16,16,7,22,52,15.571,36.76276,-119.798668,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,21.862450293203004
1784890801,1479,985,6554,1479,985,6554,0,0,33.401,0.0,0.0,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,9.896888843371004
1784890801,1,1,0,2,2,0,19,53,12.693,36.138794,-120.3685,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1784890801,1,1,6554,1,1,6554,0,0,20.484,0.0,0.0,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,1.0061241700600014
1784890860,1,1,1,1,1,2,19,53,15.256,36.138988,-120.36837,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784890920,1,1,1,1,1,1,20,54,15.943,36.138988,-120.36837,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784890980,1,1,1,1,1,1,20,54,14.173,36.138988,-120.36837,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891040,1,1,1,1,1,1,19,55,16.066,36.138988,-120.36837,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891100,1,1,1,2,2,1,19,56,16.059,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891160,2,2,1,2,2,2,19,56,16.093,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891220,1,1,1,1,1,2,19,54,15.868,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891280,1,1,1,1,1,2,20,55,16.586,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891340,1,1,1,1,1,2,20,54,16.008,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891401,1,1,1,1,1,2,19,54,517.23,36.138866,-120.368294,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,447.4042082238
1784891401,1,1,1,1,1,2,19,55,13.065,36.138878,-120.368362,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1784891400,2,2,1,2,2,2,20,54,16.232,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891401,1,1,2,1,1,2,19,54,13.059,36.138985,-120.36837,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1784891400,13,13,6,14,14,6,22,53,16.573,36.762691,-119.798615,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,22.676193220589
1784891400,7,7,6,7,7,6,22,53,14.054,36.762661,-119.79879,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,23.153120246785996
1784891401,1,1,1,2,2,2,19,55,18.608,36.138927,-120.368439,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1784891401,261,176,6554,261,183,6554,0,0,35.359,0.0,0.0,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,10.991933572589
1784891401,1,1,0,2,2,0,19,54,13.714,36.138897,-120.368294,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1784891460,1,1,2,1,1,2,20,54,17.481,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891520,1,1,1,1,1,1,20,54,17.075,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891580,1,1,1,1,1,1,20,54,17.139,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891640,1,1,1,1,1,2,20,55,16.469,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891700,1,1,1,1,1,1,19,55,14.978,36.139004,-120.368546,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891760,1,1,1,1,1,2,19,55,14.819,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891820,1,1,2,1,1,2,19,56,14.498,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891880,1,1,1,1,1,2,19,55,13.738,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784891940,0,0,1,0,0,2,19,55,13.032,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892001,1,1,2,1,1,2,19,56,12.65,36.138939,-120.368332,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1784892001,1,1,1,2,2,2,19,55,18.698,36.138927,-120.368439,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1784892001,1,1,2,1,1,2,19,55,517.307,36.138798,-120.368134,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,447.78875502762
1784892000,1,1,1,1,1,2,19,55,12.542,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892001,1,1,2,1,1,2,19,55,13.071,36.138786,-120.368401,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1784892000,11,11,5,11,11,5,22,53,16.916,36.76273,-119.798721,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,22.914000331788003
1784892000,5,5,5,5,5,5,22,53,14.711,36.762718,-119.798737,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,23.664553328849003
1784892001,91,69,6554,91,80,6554,0,0,34.749,0.0,0.0,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,10.650780720279
1784892001,2,2,0,2,2,0,19,55,13.633,36.138931,-120.368324,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1784892000,1,1,6554,1,1,6554,0,0,20.645,0.0,0.0,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,1.118750386175
1784892060,1,1,1,1,1,2,19,54,11.588,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892120,1,1,1,2,2,1,19,54,11.868,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892180,1,1,1,1,1,1,19,54,13.187,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892240,1,1,1,1,1,1,19,55,11.56,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892300,1,1,1,1,1,2,19,54,10.859,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892360,1,1,1,1,1,2,19,54,13.461,36.139015,-120.368332,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892420,1,1,1,1,1,2,19,55,12.134,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892480,1,1,1,1,1,2,19,55,11.484,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892540,1,1,1,2,2,2,19,55,11.692,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892601,1,1,1,1,1,2,19,55,16.471,36.139008,-120.36837,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1784892601,1,1,2,1,1,2,19,55,9.93,36.138988,-120.368393,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1784892600,5,5,5,5,5,5,22,53,15.068,36.762756,-119.798691,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,23.942455323212002
1784892601,1,1,1,1,1,2,19,55,517.432,36.138981,-120.368294,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,447.89624523512003
1784892600,11,11,5,11,11,5,22,53,17.1,36.762699,-119.798706,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,23.0415703273
1784892600,0,0,2,0,0,2,19,55,11.87,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892601,141,97,6554,141,107,6554,0,0,29.401,0.0,0.0,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,7.659820959371002
1784892601,1,1,2,1,1,2,19,56,9.202,36.138985,-120.368416,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1784892601,1,1,0,2,2,0,19,55,9.888,36.139057,-120.368378,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1784892660,1,1,1,1,1,2,19,55,11.779,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892720,1,1,2,2,2,2,19,55,11.881,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892780,1,1,1,1,1,2,19,56,11.962,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892840,1,1,1,1,1,2,19,55,12.367,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892900,1,1,1,1,1,2,19,55,12.476,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784892960,1,1,2,1,1,2,19,56,12.055,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784893020,1,1,1,1,1,2,19,55,12.421,36.139103,-120.368362,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784893080,1,1,1,1,1,2,19,55,13.024,36.138901,-120.368454,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784893140,2,2,2,2,2,3,19,55,12.871,36.138901,-120.368454,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784893201,1,1,2,1,1,2,19,55,16.737,36.13903,-120.368423,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1784893200,0,0,1,0,0,2,19,55,12.406,36.138901,-120.368454,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1784893201,1,1,2,1,1,2,19,55,517.402,36.138981,-120.368355,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,447.87044758532005
1784893200,6,6,5,6,6,5,22,51,15.646,36.762703,-119.798805,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,23.446492883514004
1784893200,12,12,6,13,13,6,22,51,17.684,36.762711,-119.798683,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,23.208384192012005
1784893201,1,1,2,1,1,2,19,57,9.616,36.138966,-120.368439,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1784893201,97,71,6554,97,84,6554,0,0,29.759,0.0,0.0,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,7.860038534989
1784893201,2,2,0,2,2,0,19,55,10.111,36.138958,-120.368225,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
