objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
EC6jkaLi6O,MOOSPMv3Parser,1724890200,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,849.0,236.0,21833.0,37.0,23.0,2.0,23.0,23.0,37.0,10.0,23.0,0.0,39.0,43.0,15.0,15.0,79.158,62.0,3277.0,36.138969,-120.368347,181.807999,7,600,58,3,e00fce68e28dcbc9a589be10,2024-08-29 00:10:02.737000+00:00,2024-08-29T00:10:02.917Z,2024-08-29T00:10:02.917Z
1BE6i46Ztp,MOOSPMv3Parser,1724890201,4.0,4.0,4.0,6.0,6.0,5.0,5.0,8.0,8.0,5.0,857.0,261.0,1329.0,45.0,31.0,6.0,31.0,31.0,0.0,0.0,31.0,1.0,38.0,40.0,19.0,19.0,0.0,8.0,1.0,36.433636,-119.923439,24.094,6,600,58,3,e00fce6876826e255108c6bd,2024-08-29 00:10:03.217000+00:00,2024-08-29T00:10:03.428Z,2024-08-29T00:10:03.428Z
FOVb67yNRB,MOOSPMv3Parser,1724890200,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,969.0,210.0,55646.0,32.0,20.0,2.0,20.0,20.0,36.0,7.0,20.0,0.0,38.0,42.0,14.0,14.0,510.869,104.0,1.0,36.010559,-120.140381,213.139008,6,600,58,3,e00fce6850cac69f647dc199,2024-08-29 00:10:04.076000+00:00,2024-08-29T00:10:04.330Z,2024-08-29T00:10:04.330Z
A7ES78K7YM,MOOSPMv3Parser,1724890201,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,890.0,244.0,23138.0,36.0,20.0,2.0,20.0,20.0,39.0,10.0,20.0,0.0,40.0,46.0,15.0,14.0,51.981,116.0,1.0,36.138866,-120.368439,197.860992,7,600,58,3,e00fce68f12da1a0c5de6248,2024-08-29 00:10:04.423000+00:00,2024-08-29T00:10:04.612Z,2024-08-29T00:10:04.612Z
1qje8W3Elw,MOOSPMv3Parser,1724890201,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,870.0,227.0,24357.0,38.0,24.0,2.0,24.0,24.0,36.0,9.0,24.0,0.0,39.0,42.0,16.0,16.0,56.252,63.0,1.0,36.139019,-120.368355,182.326004,7,600,58,3,e00fce68e88237db75a60608,2024-08-29 00:10:04.701000+00:00,2024-08-29T00:10:04.888Z,2024-08-29T00:10:04.888Z
eUOGicymJ3,MOOSPMv3Parser,1724890801,9.0,9.0,6.0,11.0,11.0,6.0,6.0,12.0,12.0,6.0,1764.0,498.0,14395.0,77.0,46.0,3.0,47.0,47.0,36.0,12.0,47.0,0.0,38.0,43.0,20.0,19.0,511.409,25.0,1.0,36.785362,-119.773071,60.002998,7,600,58,3,e00fce6856818e5885f65487,2024-08-29 00:19:59.311000+00:00,2024-08-29T00:19:59.490Z,2024-08-29T00:19:59.490Z
l75oezSSc9,MOOSPMv3Parser,1724890800,2.63,2.63,6553.5,3.9,3.9,6553.5,6553.5,4.07,4.07,6553.5,724.66,212.13,4951730.5,30.43,6553.5,1.19,6553.5,6553.5,37.7,15.5,6553.5,65.54,0.0,327.7,0.0,655.3,50.287,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2024-08-29 00:20:02.285000+00:00,2024-08-29T00:20:02.491Z,2024-08-29T00:20:02.491Z
GJ7ZRSWxGl,MOOSPMv3Parser,1724890801,7.0,7.0,4.0,10.0,10.0,4.0,4.0,10.0,10.0,5.0,1431.0,384.0,1327.0,56.0,33.0,4.0,33.0,33.0,36.0,12.0,33.0,0.0,38.0,41.0,21.0,21.0,0.004,77.0,1.0,35.949558,-119.050308,133.617004,7,600,58,3,e00fce6808784ceaf209f949,2024-08-29 00:20:02.410000+00:00,2024-08-29T00:20:02.631Z,2024-08-29T00:20:02.631Z
FUZE3Ism6G,MOOSPMv3Parser,1724890800,3.37,3.37,2.09,4.96,4.96,2.19,2.19,5.49,5.49,2.19,1221.76,258.22,21661.59,36.08,16.34,2.19,16.41,16.41,38.4,9.0,16.41,0.36,39.7,44.4,14.5,14.3,0.0,153.6,1.0,36.139187,-120.36837,186.770996,6,600,58,1,e00fce68e77e43df92405fdb,2024-08-29 00:20:02.653000+00:00,2024-08-29T00:20:02.903Z,2024-08-29T00:20:02.903Z
32pRU0lRd4,MOOSPMv3Parser,1724890801,4.0,4.0,4.0,6.0,6.0,5.0,5.0,7.0,7.0,5.0,831.0,251.0,1354.0,41.0,30.0,4.0,31.0,31.0,0.0,0.0,31.0,1.0,38.0,40.0,19.0,19.0,0.0,8.0,1.0,36.433655,-119.923317,51.894001,7,600,58,3,e00fce6876826e255108c6bd,2024-08-29 00:20:03.230000+00:00,2024-08-29T00:20:03.411Z,2024-08-29T00:20:03.411Z
