objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
jthSrEZghB,MOOSPMv3Parser,1678381201,0.0,0.0,0.2,0.0,0.0,0.21,0.21,0.0,0.0,0.21,24.36,6.76,445.22,0.76,1.58,0.05,1.59,1.59,19.8,37.5,1.59,0.45,0.0,20.8,0.0,42.7,0.0,71.2,1.0,47.047626,-122.881973,44.882999,7,58,600,1,e00fce68afb0ec9f5087904a,2023-03-09 17:00:03.002000+00:00,2023-03-09T17:00:03.266Z,2023-03-09T17:00:03.266Z
3lDIiuSksl,MOOSPMv3Parser,1678381801,0.0,0.0,0.19,0.0,0.0,0.2,0.2,0.0,0.0,0.2,29.0,7.49,446.52,1.03,1.49,0.18,1.49,1.49,19.8,37.7,1.5,0.45,0.0,20.7,0.0,43.2,0.0,76.8,1.0,47.047554,-122.881989,42.512001,5,58,600,1,e00fce68afb0ec9f5087904a,2023-03-09 17:10:03.030000+00:00,2023-03-09T17:10:03.240Z,2023-03-09T17:10:03.240Z
sD2pKeqik1,MOOSPMv3Parser,1678382401,0.0,0.0,0.2,0.0,0.0,0.21,0.21,0.01,0.01,0.21,24.91,6.4,447.9,0.87,1.58,0.12,1.58,1.58,19.9,38.0,1.58,0.44,0.0,20.6,0.0,43.8,0.0,80.8,1.0,47.04747,-122.882004,56.923,5,58,600,1,e00fce68afb0ec9f5087904a,2023-03-09 17:20:03.066000+00:00,2023-03-09T17:20:03.289Z,2023-03-09T17:20:03.289Z
vlWgsFOYxw,MOOSPMv3Parser,1678382940,0.01,0.01,0.2,0.05,0.05,0.21,0.22,0.05,0.05,0.23,66.85,14.53,1.23,0.54,1.45,0.0,1.47,1.47,19.2,21.0,1.47,0.46,0.0,22.5,0.0,17.2,1.203,40.4,0.9,0.0,0.0,0.0,0,58,111,1,e00fce68f8f5a1da595c7249,2023-03-09 17:29:03.259000+00:00,2023-03-09T17:29:03.492Z,2023-03-09T17:29:03.492Z
3EykSJSrlG,MOOSPMv3Parser,1678383001,0.0,0.0,0.2,0.0,0.0,0.21,0.21,0.0,0.0,0.21,21.01,4.94,449.28,0.86,1.59,0.09,1.59,1.59,20.0,37.8,1.59,0.44,0.0,20.8,0.0,43.5,0.0,82.6,1.0,47.047527,-122.882111,35.983002,7,58,600,1,e00fce68afb0ec9f5087904a,2023-03-09 17:30:03.034000+00:00,2023-03-09T17:30:03.223Z,2023-03-09T17:30:03.223Z
0EkYhgvxa6,MOOSPMv3Parser,1678383180,0.01,0.01,0.21,0.05,0.05,0.37,0.48,0.05,0.05,0.53,76.37,17.2,1.14,3.28,1.54,0.22,1.68,1.7,19.6,20.5,1.72,0.85,22.3,23.2,18.9,16.5,1.633,50.8,0.8,0.0,0.0,0.0,0,58,111,1,e00fce68f8f5a1da595c7249,2023-03-09 17:33:03.002000+00:00,2023-03-09T17:33:03.173Z,2023-03-09T17:33:03.173Z
87GFPbA7N7,MOOSPMv3Parser,1678383240,0.0,0.0,0.18,0.0,0.0,0.21,0.24,0.0,0.0,0.25,71.17,19.3,3.23,2.04,1.33,0.0,1.37,1.38,19.7,20.3,1.38,0.63,22.4,23.0,18.9,16.8,3.197,88.8,1.0,0.0,0.0,0.0,0,58,60,1,e00fce68f8f5a1da595c7249,2023-03-09 17:34:03.018000+00:00,2023-03-09T17:34:03.207Z,2023-03-09T17:34:03.207Z
BAGLMBZtUo,MOOSPMv3Parser,1678383601,0.0,0.0,0.17,0.0,0.0,0.18,0.18,0.0,0.0,0.18,18.28,4.55,450.48,0.71,1.37,0.04,1.37,1.37,20.4,37.9,1.37,0.43,0.0,21.2,0.0,43.5,0.0,77.7,1.0,47.047562,-122.882034,30.885,6,58,600,1,e00fce68afb0ec9f5087904a,2023-03-09 17:40:03.085000+00:00,2023-03-09T17:40:03.269Z,2023-03-09T17:40:03.269Z
upzKGvmrDt,MOOSPMv3Parser,1678383721,0.0,0.0,0.17,0.0,0.0,0.21,0.21,0.0,0.0,0.22,65.17,18.16,1.22,2.97,1.43,0.0,1.44,1.45,20.4,19.6,1.45,0.5,23.1,22.8,18.0,16.9,4.133,97.7,1.0,0.0,0.0,0.0,0,58,119,1,e00fce68f8f5a1da595c7249,2023-03-09 17:42:03.248000+00:00,2023-03-09T17:42:03.431Z,2023-03-09T17:42:03.431Z
0VyqQ2WxQ9,MOOSPMv3Parser,1678383781,0.0,0.0,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.17,56.46,15.64,3.46,0.78,1.23,0.4,1.24,1.24,20.4,19.5,1.24,0.51,23.2,22.8,17.8,17.1,3.807,101.4,1.0,0.0,0.0,0.0,0,58,60,1,e00fce68f8f5a1da595c7249,2023-03-09 17:43:03.332000+00:00,2023-03-09T17:43:03.488Z,2023-03-09T17:43:03.488Z
JuGxOzMMBj,MOOSPMv3Parser,1678384021,0.0,0.0,6496.51,0.04,0.04,6496.51,6496.51,0.09,0.09,6496.51,211.24,23.1,6496.51,2.13,6496.51,0.3,6496.51,6496.51,20.6,19.3,6496.51,64.97,0.0,327.7,0.0,655.3,2.422,6496.5,6496.5,0.0,0.0,0.0,0,58,115,1,e00fce68f8f5a1da595c7249,2023-03-09 17:47:03.413000+00:00,2023-03-09T17:47:03.592Z,2023-03-09T17:47:03.592Z
S3yFJEpdhC,MOOSPMv3Parser,1678384141,0.0,0.0,6553.5,0.0,0.0,6553.5,6553.5,0.04,0.04,6553.5,51.54,12.69,12884.85,1.68,6553.5,0.54,6553.5,6553.5,20.7,19.1,6553.5,65.54,0.0,327.7,0.0,655.3,4.276,6553.5,6553.5,0.0,0.0,0.0,0,58,118,1,e00fce68f8f5a1da595c7249,2023-03-09 17:49:03.501000+00:00,2023-03-09T17:49:03.710Z,2023-03-09T17:49:03.710Z
tCZdcyt81G,MOOSPMv3Parser,1678384201,0.0,0.0,0.18,0.0,0.0,0.19,0.19,0.01,0.01,0.19,21.99,5.83,451.74,1.07,1.45,0.15,1.46,1.46,20.5,37.3,1.46,0.43,0.0,21.4,0.0,42.3,0.0,77.9,1.0,47.047581,-122.881981,46.502998,7,58,600,1,e00fce68afb0ec9f5087904a,2023-03-09 17:50:03.086000+00:00,2023-03-09T17:50:03.300Z,2023-03-09T17:50:03.300Z
