objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
1BodReGgyU,MOOSPMv3Parser,1780351200,3,3,1,4,4,1,1,4,4,1,1206,230,425,22,11,0,11,11,35,12,11,0,36,41,21,20,54.838,474,1,36.139034,-120.368393,173.363998,8,600,58,3,e00fce68e77e43df92405fdb,2026-06-01T22:00:02.663Z,2026-06-01T22:00:03.016Z,2026-06-01T22:00:03.016Z
F9sYuQWC3r,MOOSPMv3Parser,1780351201,2,2,2,3,3,2,2,3,3,2,699,196,496,25,14,1,14,14,35,11,14,0,36,40,20,19,63.557,123,3277,36.139008,-120.368408,156.016998,7,600,58,3,e00fce68e28dcbc9a589be10,2026-06-01T22:00:02.753Z,2026-06-01T22:00:03.175Z,2026-06-01T22:00:03.175Z
rur7DiNPft,MOOSPMv3Parser,1780351200,3,3,2,4,4,2,2,4,4,2,1012,235,522,22,13,1,13,13,35,14,13,0,36,41,21,21,511.322,475,3277,36.138882,-120.368332,196.192993,6,600,58,3,e00fce6858b443fd80f27170,2026-06-01T22:00:03.021Z,2026-06-01T22:00:03.364Z,2026-06-01T22:00:03.364Z
mM1u0zxEnv,MOOSPMv3Parser,1780351200,3,3,2,4,4,2,2,4,4,2,937,232,105,29,14,1,14,14,35,10,14,0,37,41,19,20,0.033,181,1,36.139111,-120.368271,180.875,6,600,58,3,e00fce68e739ecbcf9e91965,2026-06-01T22:00:03.000Z,2026-06-01T22:00:03.555Z,2026-06-01T22:00:03.555Z
OGxq2rc67w,MOOSPMv3Parser,1780351201,3,3,2,4,4,2,2,4,4,2,1410,221,521,22,14,1,14,14,35,12,14,0,36,40,20,20,53.435,149,1,36.13895,-120.368515,179.337006,5,600,58,3,e00fce68e88237db75a60608,2026-06-01T22:00:03.329Z,2026-06-01T22:00:03.841Z,2026-06-01T22:00:03.841Z
JdYWRinOu0,MOOSPMv3Parser,1780351200,0,0,1,0,0,2,2,0,0,2,267,175,43043,21,12,1,12,12,38,21,12,0,37,43,20,20,42.736,195,1,36.138985,-120.368301,192.682999,7,600,58,3,e00fce68d6b773b56ce8baa0,2026-06-01T22:00:03.680Z,2026-06-01T22:00:04.061Z,2026-06-01T22:00:04.061Z
7lPH5ex6Mo,MOOSPMv3Parser,1780351201,2,2,2,3,3,2,2,3,3,2,777,203,14582,22,12,1,12,12,35,14,12,0,37,41,20,20,49.257,147,1,36.138992,-120.368416,172.871994,6,599,58,3,e00fce68f12da1a0c5de6248,2026-06-01T22:00:03.412Z,2026-06-01T22:00:04.179Z,2026-06-01T22:00:04.179Z
m2KOqB9CSo,MOOSPMv3Parser,1780351800,3,3,1,4,4,1,1,4,4,1,1215,232,433,24,9,1,9,9,35,12,9,0,36,41,20,19,53.811,470,1,36.138889,-120.368362,175.156998,5,600,58,3,e00fce68e77e43df92405fdb,2026-06-01T22:10:02.587Z,2026-06-01T22:10:02.747Z,2026-06-01T22:10:02.747Z
brTInJvc2n,MOOSPMv3Parser,1780351800,3,3,2,4,4,2,2,4,4,2,1007,245,533,25,14,1,14,14,35,15,14,0,37,41,21,21,511.308,459,3277,36.138882,-120.368332,196.190994,0,600,58,3,e00fce6858b443fd80f27170,2026-06-01T22:10:02.743Z,2026-06-01T22:10:02.921Z,2026-06-01T22:10:02.921Z
qxtQKCyuAQ,MOOSPMv3Parser,1780351801,2,2,1,4,4,2,2,4,4,2,818,216,14592,24,12,1,12,12,35,15,12,0,37,41,22,21,46.701,151,1,36.139004,-120.368355,174.248993,6,599,58,3,e00fce68f12da1a0c5de6248,2026-06-01T22:10:03.308Z,2026-06-01T22:10:03.472Z,2026-06-01T22:10:03.472Z
3i5P4eeEWP,MOOSPMv3Parser,1780351800,0,0,2,0,0,2,2,0,0,2,268,174,43053,20,12,1,12,12,38,21,12,0,37,43,22,21,41.39,232,1,36.138996,-120.36837,170.389999,9,600,58,3,e00fce68d6b773b56ce8baa0,2026-06-01T22:10:03.569Z,2026-06-01T22:10:03.764Z,2026-06-01T22:10:03.764Z
