objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
KQpaYu0Fno,MOOSPMv3Parser,1728568800,4,4,5,6,6,5,5,7,7,6,902,264,270106,41,35,3,36,36,16,59,36,1,17,17,67,68,508.94,255,1,36.785416,-119.773163,60.632,7,599,58,3,e00fce6856818e5885f65487,2024-10-10 14:00:00.733000+00:00,2024-10-10T14:00:00.919Z,2024-10-10T14:00:00.919Z
k1YYwakHyK,MOOSPMv3Parser,1728568801,2,2,3,3,3,3,3,3,3,4,527,150,1615,20,19,1,20,20,15,42,20,1,17,16,49,51,19.21,59,3,36.138912,-120.36834,182.171997,7,600,58,3,e00fce68f12da1a0c5de6248,2024-10-10 14:00:02.407000+00:00,2024-10-10T14:00:02.658Z,2024-10-10T14:00:02.658Z
dqyzFLMWpS,MOOSPMv3Parser,1728568800,1,1,3,3,3,3,3,3,3,3,471,127,2034,23,20,2,20,20,15,42,20,1,17,15,48,52,17.214,104,2,36.138889,-120.368454,178.412994,6,600,58,3,e00fce68e88237db75a60608,2024-10-10 14:00:03.787000+00:00,2024-10-10T14:00:04.030Z,2024-10-10T14:00:04.030Z
Jk2Nf7vmFi,MOOSPMv3Parser,1728568800,1,1,2,2,2,2,2,3,3,2,506,122,196945,18,14,2,14,14,16,32,14,0,16,16,46,45,511.31,162,1,36.010509,-120.140312,218.406998,10,600,58,3,e00fce6850cac69f647dc199,2024-10-10 14:00:03.870000+00:00,2024-10-10T14:00:04.100Z,2024-10-10T14:00:04.100Z
C3OCwNraHG,MOOSPMv3Parser,1728568801,2,2,3,3,3,4,5,5,5,5,415,128,248434,27,21,5,23,23,0,0,23,1,14,15,66,62,0.848,189,1,36.433804,-119.92347,28.902,6,600,58,3,e00fce6876826e255108c6bd,2024-10-10 14:00:04.090000+00:00,2024-10-10T14:00:04.317Z,2024-10-10T14:00:04.317Z
qYmJf9YpWT,MOOSPMv3Parser,1728569400,5,5,5,7,7,6,7,8,8,7,961,283,269688,46,40,2,41,41,16,60,41,1,17,16,69,69,508.937,261,1,36.785378,-119.773163,63.666,7,600,58,3,e00fce6856818e5885f65487,2024-10-10 14:10:00.585000+00:00,2024-10-10T14:10:00.799Z,2024-10-10T14:10:00.799Z
JqRHxuLBFu,MOOSPMv3Parser,1728569401,2,2,2,3,3,3,3,3,3,3,526,147,1629,22,17,1,18,18,15,42,18,1,16,16,53,51,15.342,82,4,36.138958,-120.368362,177.75,7,600,58,3,e00fce68f12da1a0c5de6248,2024-10-10 14:10:02.580000+00:00,2024-10-10T14:10:02.818Z,2024-10-10T14:10:02.818Z
8yodxPAscc,MOOSPMv3Parser,1728569400,2,2,2,3,3,3,3,3,3,3,500,133,2050,23,18,2,19,19,15,43,19,1,16,16,52,53,14.123,164,2,36.138916,-120.368301,174.591003,7,600,58,3,e00fce68e88237db75a60608,2024-10-10 14:10:03.649000+00:00,2024-10-10T14:10:03.841Z,2024-10-10T14:10:03.841Z
oG1sp0quHc,MOOSPMv3Parser,1728569400,1,1,2,2,2,2,2,3,3,2,474,115,196957,19,14,2,14,14,15,34,14,0,15,16,48,46,511.38,166,1,36.010498,-120.14035,207.067001,9,600,58,3,e00fce6850cac69f647dc199,2024-10-10 14:10:03.841000+00:00,2024-10-10T14:10:04.058Z,2024-10-10T14:10:04.058Z
Zo6S9nXq8B,MOOSPMv3Parser,1728569401,2,2,3,3,3,4,5,4,4,6,431,132,248451,25,25,4,26,27,0,0,27,1,14,15,67,62,0.873,188,1,36.433804,-119.92347,28.903999,0,600,58,3,e00fce6876826e255108c6bd,2024-10-10 14:10:04.099000+00:00,2024-10-10T14:10:04.361Z,2024-10-10T14:10:04.361Z
