objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
8VzTIH9ikO,MOOSPMv3Parser,1688522400,4.56,4.56,2.96,6.65,6.65,3.11,3.11,6.82,6.82,3.11,1001.99,274.94,71976.77,44.75,23.17,1.97,23.26,23.27,33.4,18.0,23.27,0.37,36.7,38.4,18.3,18.2,69.652,24.2,1.0,36.785305,-119.773117,68.983002,10,600,58,1,e00fce6808784ceaf209f949,2023-07-05 02:00:02.163000+00:00,2023-07-05T02:00:02.391Z,2023-07-05T02:00:02.391Z
HqdNKpGK5Y,MOOSPMv3Parser,1688522401,3.94,3.94,2.0,5.4,5.4,2.1,2.1,5.76,5.76,2.11,932.78,239.54,51063.59,33.39,15.67,2.26,15.73,15.73,32.2,21.3,15.73,0.43,36.1,37.2,18.9,18.5,61.744,45.4,1.0,36.634315,-120.382317,20.198,10,600,58,1,e00fce6835b6173deb1a1f49,2023-07-05 02:00:02.206000+00:00,2023-07-05T02:00:02.429Z,2023-07-05T02:00:02.429Z
4p3U2DkrG9,MOOSPMv3Parser,1688522400,4.08,4.08,3.13,5.58,5.58,3.28,3.28,5.71,5.71,3.28,843.4,249.57,4284.97,37.45,24.51,1.44,24.6,24.6,33.5,24.4,24.61,0.4,36.0,38.9,19.1,17.8,48.993,22.0,1.0,36.785385,-119.773201,56.929001,8,600,58,1,e00fce682bbf742cd0b6768a,2023-07-05 02:00:02.416000+00:00,2023-07-05T02:00:02.630Z,2023-07-05T02:00:02.630Z
wFvEqR1jKk,MOOSPMv3Parser,1688522400,5.29,5.29,2.58,7.47,7.47,2.7,2.7,7.78,7.78,2.7,1175.84,312.13,74846.7,45.79,20.15,2.65,20.23,20.23,33.7,19.2,20.23,0.37,36.3,38.9,18.5,18.0,34.04,38.9,1.0,36.785355,-119.77314,61.705002,9,600,58,1,e00fce68e77e43df92405fdb,2023-07-05 02:00:02.647000+00:00,2023-07-05T02:00:02.856Z,2023-07-05T02:00:02.856Z
GNUc3DNisa,MOOSPMv3Parser,1688522401,4.94,4.94,3.4,7.63,7.63,3.57,3.57,8.0,8.0,3.57,1112.13,309.4,1024.68,53.4,26.63,3.34,26.74,26.74,33.7,16.2,26.74,0.38,36.2,38.5,18.6,18.7,53.375,26.9,2.0,36.785427,-119.773094,65.884003,9,600,58,1,e00fce68e739ecbcf9e91965,2023-07-05 02:00:02.889000+00:00,2023-07-05T02:00:03.093Z,2023-07-05T02:00:03.093Z
pXuQFhBKVr,MOOSPMv3Parser,1688522400,4.32,4.32,3.65,6.71,6.71,3.82,3.82,7.57,7.57,3.82,875.25,271.92,39747.76,46.07,28.53,3.6,28.64,28.65,0.0,0.0,28.65,0.41,34.6,36.0,30.3,28.7,41.773,36.6,1.0,36.433933,-119.922691,31.639,13,600,58,1,e00fce6876826e255108c6bd,2023-07-05 02:00:04.405000+00:00,2023-07-05T02:00:04.588Z,2023-07-05T02:00:04.588Z
8RQcjLAD6I,MOOSPMv3Parser,1688522401,12.98,10.39,4.11,15.59,13.48,4.31,4.31,15.87,14.6,4.31,2319.29,686.6,4016.66,56.81,32.14,2.22,32.26,32.26,34.4,23.4,32.27,0.42,35.5,39.7,25.5,20.2,47.137,95.9,1.0,36.13002,-120.333931,165.789993,10,600,58,1,e00fce68f12da1a0c5de6248,2023-07-05 02:00:08.086000+00:00,2023-07-05T02:00:08.297Z,2023-07-05T02:00:08.297Z
FFHjbVTxe1,MOOSPMv3Parser,1688522400,0.14,0.14,0.99,0.61,0.61,1.09,1.14,0.79,0.79,1.16,209.9,58.48,47234.03,9.14,7.71,0.79,7.79,7.8,33.3,9.1,7.81,0.47,36.5,38.2,9.7,9.5,0.059,96.3,1.0,35.613224,-119.689613,63.348,10,600,58,1,e00fce68e88237db75a60608,2023-07-05 02:00:08.337000+00:00,2023-07-05T02:00:08.552Z,2023-07-05T02:00:08.552Z
oz1Bzh5Y0Y,MOOSPMv3Parser,1688523001,4.41,4.41,3.18,6.27,6.27,3.34,3.34,6.62,6.62,3.34,1024.89,297.7,108214.12,43.43,24.9,1.64,25.0,25.0,33.5,20.4,25.0,0.38,36.0,38.5,18.6,17.9,49.099,41.0,1.0,36.785381,-119.773102,60.749001,15,600,58,1,e00fce6856818e5885f65487,2023-07-05 02:09:59.201000+00:00,2023-07-05T02:09:59.390Z,2023-07-05T02:09:59.390Z
21CK4PbCwu,MOOSPMv3Parser,1688523000,4.67,4.67,2.96,6.68,6.68,3.11,3.11,6.9,6.9,3.11,1022.36,283.34,71996.88,43.81,23.18,2.08,23.27,23.27,33.0,18.1,23.27,0.38,36.6,38.0,18.3,18.5,68.911,19.5,1.0,36.785336,-119.773056,78.334,10,600,58,1,e00fce6808784ceaf209f949,2023-07-05 02:10:01.936000+00:00,2023-07-05T02:10:02.151Z,2023-07-05T02:10:02.151Z
