objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
T6efpF9Up4,MOOSPMv3Parser,1715965201,5.0,5.0,3.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,1117.0,275.0,18361.0,45.0,27.0,3.0,27.0,27.0,19.0,49.0,27.0,0.0,20.0,20.0,57.0,54.0,511.388,124.0,3,36.634262,-120.382446,40.609001,6,600,58,3,e00fce6835b6173deb1a1f49,2024-05-17 17:00:01.541000+00:00,2024-05-17T17:00:01.878Z,2024-05-17T17:00:01.878Z
7zH44CzlzN,MOOSPMv3Parser,1715965200,6.0,6.0,5.0,9.0,9.0,6.0,6.0,10.0,10.0,6.0,1168.0,363.0,285953.0,63.0,43.0,5.0,43.0,43.0,0.0,0.0,43.0,0.0,21.0,24.0,59.0,49.0,0.021,88.0,3,36.433937,-119.922798,27.608999,6,600,58,3,e00fce6876826e255108c6bd,2024-05-17 17:00:02.493000+00:00,2024-05-17T17:00:02.780Z,2024-05-17T17:00:02.780Z
ri15dAQ4Cw,MOOSPMv3Parser,1715965201,4.7,4.7,2.3,6.58,6.58,2.41,2.41,6.92,6.92,2.41,1104.51,280.1,367266.84,41.0,18.01,2.26,18.08,18.08,23.5,39.4,18.08,0.38,22.4,25.9,53.4,45.4,0.002,59.7,2,36.785339,-119.773224,53.542999,5,600,58,1,e00fce68e77e43df92405fdb,2024-05-17 17:00:03.795000+00:00,2024-05-17T17:00:04.045Z,2024-05-17T17:00:04.045Z
ZZByk8wyfB,MOOSPMv3Parser,1715965801,4.0,4.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,896.0,264.0,524266.0,39.0,25.0,2.0,25.0,25.0,23.0,40.0,25.0,0.0,22.0,25.0,54.0,47.0,509.712,42.0,3,36.785267,-119.773186,70.219002,9,600,58,3,e00fce6856818e5885f65487,2024-05-17 17:09:57.943000+00:00,2024-05-17T17:09:58.149Z,2024-05-17T17:09:58.149Z
UtQVsS2Fua,MOOSPMv3Parser,1715965801,4.0,4.0,3.0,6.0,6.0,3.0,3.0,7.0,7.0,3.0,1068.0,260.0,18383.0,41.0,26.0,3.0,26.0,26.0,20.0,47.0,26.0,0.0,21.0,21.0,54.0,52.0,511.335,120.0,3,36.634266,-120.382332,31.122,5,600,58,3,e00fce6835b6173deb1a1f49,2024-05-17 17:10:01.761000+00:00,2024-05-17T17:10:01.951Z,2024-05-17T17:10:01.951Z
FWAKZPSGsC,MOOSPMv3Parser,1715965800,6.0,6.0,5.0,10.0,10.0,5.0,5.0,10.0,10.0,5.0,1147.0,358.0,285986.0,66.0,41.0,6.0,41.0,41.0,0.0,0.0,41.0,0.0,21.0,25.0,58.0,47.0,0.014,89.0,3,36.4338,-119.922836,33.479,6,600,58,3,e00fce6876826e255108c6bd,2024-05-17 17:10:02.660000+00:00,2024-05-17T17:10:02.875Z,2024-05-17T17:10:02.875Z
7fREXkGioI,MOOSPMv3Parser,1715965801,4.89,4.89,2.26,6.85,6.85,2.37,2.37,7.3,7.3,2.37,1513.88,299.58,367282.84,39.17,17.68,2.68,17.75,17.76,23.7,39.0,17.76,0.37,22.5,26.3,53.2,44.9,0.002,54.3,2,36.785404,-119.773094,70.896004,5,600,58,1,e00fce68e77e43df92405fdb,2024-05-17 17:10:03.717000+00:00,2024-05-17T17:10:03.922Z,2024-05-17T17:10:03.922Z
LjzwLz3MlV,MOOSPMv3Parser,1715966401,5.0,5.0,3.0,6.0,6.0,3.0,3.0,7.0,7.0,3.0,913.0,271.0,524298.0,42.0,24.0,1.0,24.0,24.0,24.0,39.0,24.0,0.0,23.0,26.0,51.0,45.0,509.739,44.0,3,36.785389,-119.773186,78.455002,7,600,58,3,e00fce6856818e5885f65487,2024-05-17 17:19:58.104000+00:00,2024-05-17T17:19:58.314Z,2024-05-17T17:19:58.314Z
nzFs4vejxX,MOOSPMv3Parser,1715966401,4.0,4.0,3.0,6.0,6.0,3.0,3.0,7.0,7.0,3.0,932.0,243.0,18403.0,40.0,24.0,3.0,24.0,24.0,20.0,45.0,24.0,0.0,21.0,21.0,52.0,50.0,511.361,114.0,3,36.634266,-120.382332,31.122,0,600,58,3,e00fce6835b6173deb1a1f49,2024-05-17 17:20:01.536000+00:00,2024-05-17T17:20:01.739Z,2024-05-17T17:20:01.739Z
s9nglGz2B2,MOOSPMv3Parser,1715966400,6.0,6.0,5.0,9.0,9.0,5.0,5.0,9.0,9.0,5.0,1071.0,333.0,286020.0,62.0,39.0,4.0,40.0,40.0,0.0,0.0,40.0,0.0,22.0,26.0,56.0,46.0,0.015,90.0,3,36.433887,-119.922791,35.797001,6,600,58,3,e00fce6876826e255108c6bd,2024-05-17 17:20:02.806000+00:00,2024-05-17T17:20:03.099Z,2024-05-17T17:20:03.099Z
heif5Hu7iR,MOOSPMv3Parser,1715966401,4.71,4.71,2.23,6.4,6.4,2.34,2.34,6.71,6.71,2.34,1081.71,281.39,367298.84,38.41,17.46,2.19,17.53,17.53,24.0,38.2,17.53,0.37,23.2,26.6,50.7,43.9,0.0,53.6,2,36.785404,-119.773094,70.896004,0,600,58,1,e00fce68e77e43df92405fdb,2024-05-17 17:20:03.710000+00:00,2024-05-17T17:20:03.902Z,2024-05-17T17:20:03.902Z
y6inH23p6e,MOOSPMv3Parser,1715967001,4.0,4.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,863.0,254.0,524329.0,36.0,23.0,1.0,23.0,23.0,24.0,38.0,23.0,0.0,24.0,27.0,50.0,44.0,509.798,43.0,3,36.785309,-119.773102,77.151001,7,600,58,3,e00fce6856818e5885f65487,2024-05-17 17:29:58.280000+00:00,2024-05-17T17:29:58.505Z,2024-05-17T17:29:58.505Z
I0SJRdLuFS,MOOSPMv3Parser,1715967001,4.0,4.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,901.0,238.0,18422.0,38.0,22.0,3.0,22.0,22.0,20.0,44.0,22.0,0.0,21.0,22.0,52.0,48.0,511.363,93.0,4,36.634281,-120.382378,27.358999,10,600,58,3,e00fce6835b6173deb1a1f49,2024-05-17 17:30:01.757000+00:00,2024-05-17T17:30:01.944Z,2024-05-17T17:30:01.944Z
PGKoHEMqPv,MOOSPMv3Parser,1715967000,5.0,5.0,5.0,8.0,8.0,5.0,5.0,8.0,8.0,5.0,1005.0,313.0,286052.0,53.0,36.0,3.0,36.0,36.0,0.0,0.0,36.0,0.0,22.0,26.0,55.0,44.0,0.004,80.0,3,36.433826,-119.922737,38.693001,6,600,58,3,e00fce6876826e255108c6bd,2024-05-17 17:30:02.603000+00:00,2024-05-17T17:30:02.816Z,2024-05-17T17:30:02.816Z
JYopAnLsqB,MOOSPMv3Parser,1715967001,4.72,4.72,2.29,6.16,6.16,2.4,2.4,6.66,6.66,2.4,1100.68,282.98,367314.84,35.24,17.95,2.0,18.02,18.03,24.4,37.3,18.03,0.37,23.9,27.3,49.4,42.8,0.0,49.8,2,36.785435,-119.773094,58.279999,8,600,58,1,e00fce68e77e43df92405fdb,2024-05-17 17:30:03.699000+00:00,2024-05-17T17:30:03.959Z,2024-05-17T17:30:03.959Z
tw71AriSyF,MOOSPMv3Parser,1715967601,4.0,4.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,834.0,245.0,524360.0,32.0,23.0,2.0,23.0,23.0,25.0,37.0,23.0,0.0,24.0,27.0,50.0,43.0,509.94,47.0,2,36.785416,-119.773186,62.553001,6,600,58,3,e00fce6856818e5885f65487,2024-05-17 17:39:58.092000+00:00,2024-05-17T17:39:58.316Z,2024-05-17T17:39:58.316Z
1xMtIUdTCB,MOOSPMv3Parser,1715967601,3.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,744.0,197.0,18439.0,27.0,19.0,2.0,19.0,19.0,21.0,42.0,19.0,0.0,22.0,23.0,50.0,47.0,511.375,89.0,4,36.634323,-120.382393,20.474001,6,600,58,3,e00fce6835b6173deb1a1f49,2024-05-17 17:40:01.722000+00:00,2024-05-17T17:40:01.937Z,2024-05-17T17:40:01.937Z
GcXcTfWeXa,MOOSPMv3Parser,1715967600,5.0,5.0,5.0,8.0,8.0,5.0,5.0,9.0,9.0,5.0,1017.0,316.0,286084.0,57.0,36.0,4.0,36.0,36.0,0.0,0.0,36.0,0.0,23.0,27.0,54.0,44.0,0.008,67.0,3,36.433929,-119.922821,37.497002,6,600,58,3,e00fce6876826e255108c6bd,2024-05-17 17:40:02.624000+00:00,2024-05-17T17:40:02.821Z,2024-05-17T17:40:02.821Z
yvGhFveBtA,MOOSPMv3Parser,1715967601,4.65,4.65,2.31,6.5,6.5,2.42,2.42,6.78,6.78,2.42,1079.56,284.06,367330.84,39.35,18.1,2.24,18.16,18.17,24.8,36.9,18.17,0.38,24.3,27.6,48.9,42.8,0.001,51.2,2,36.785374,-119.773155,81.821999,7,600,58,1,e00fce68e77e43df92405fdb,2024-05-17 17:40:03.770000+00:00,2024-05-17T17:40:03.920Z,2024-05-17T17:40:03.920Z
aWq04ooRWH,MOOSPMv3Parser,1715968201,4.0,4.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,862.0,254.0,524392.0,33.0,23.0,1.0,24.0,24.0,25.0,36.0,24.0,0.0,24.0,27.0,49.0,42.0,509.964,39.0,2,36.785309,-119.773071,89.247002,7,600,58,3,e00fce6856818e5885f65487,2024-05-17 17:49:57.993000+00:00,2024-05-17T17:49:58.145Z,2024-05-17T17:49:58.145Z
