objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
HXVer1I1MB,MOOSPMv3Parser,1787043600,6,6,7,10,10,7,7,11,11,7,1145,355,36563,70,55,7,55,55,0,0,55,0,23,25,57,55,17.065,93,1,36.433586,-119.923378,28.319,0,600,58,3,e00fce6876826e255108c6bd,2026-08-18 09:00:02.683000+00:00,2026-08-18T09:00:03.072Z,2026-08-18T09:00:03.072Z
6ClVf2LfvN,MOOSPMv3Parser,1787043600,7,7,5,10,10,6,6,11,11,6,2088,400,20086,68,41,5,42,42,21,53,42,0,23,23,54,56,27.055,219,2,36.503002,-120.325287,58.960999,5,600,58,3,e00fce68e77e43df92405fdb,2026-08-18 09:00:02.753000+00:00,2026-08-18T09:00:03.315Z,2026-08-18T09:00:03.315Z
GQoWi0qDkZ,MOOSPMv3Parser,1787043600,8,8,5,11,11,6,6,11,11,6,1602,440,134516,60,42,3,42,42,21,66,42,0,21,23,67,60,8.161,229,1,36.523388,-119.278793,81.919998,6,600,58,3,e00fce68f12da1a0c5de6248,2026-08-18 09:00:02.846000+00:00,2026-08-18T09:00:03.406Z,2026-08-18T09:00:03.406Z
9aXbU6AYEs,MOOSPMv3Parser,1787043600,1,1,5,3,3,5,5,3,3,5,337,246,58117,43,37,4,38,38,22,44,38,0,23,24,52,50,16.194,286,1,36.139072,-120.36834,181.007996,0,600,58,3,e00fce68d6b773b56ce8baa0,2026-08-18 09:00:02.914000+00:00,2026-08-18T09:00:03.426Z,2026-08-18T09:00:03.426Z
gJWAm1G6pg,MOOSPMv3Parser,1787043600,11,11,7,16,16,7,7,16,16,7,2156,588,84778,94,53,6,53,53,22,60,53,0,23,24,61,58,3.294,235,1,35.949677,-119.049957,112.745003,5,599,58,3,e00fce6808784ceaf209f949,2026-08-18 09:00:03.203000+00:00,2026-08-18T09:00:03.554Z,2026-08-18T09:00:03.554Z
S82hGGN52D,MOOSPMv3Parser,1787043601,5,5,5,7,7,5,5,8,8,5,1141,288,63576,52,40,3,40,40,21,46,40,0,26,23,44,52,25.546,319,1,36.139027,-120.368385,176.860001,10,600,58,3,e00fce6850cac69f647dc199,2026-08-18 09:00:04.209000+00:00,2026-08-18T09:00:04.377Z,2026-08-18T09:00:04.377Z
ovgMu4NH1P,MOOSPMv3Parser,1787043601,6,6,5,8,8,5,5,9,9,5,1098,311,83690,56,37,4,37,37,24,36,37,1,25,27,47,45,27.923,163,3277,2.4e-05,-0.004211,32347.382812,7,600,58,3,e00fce68e28dcbc9a589be10,2026-08-18 09:00:04.576000+00:00,2026-08-18T09:00:04.732Z,2026-08-18T09:00:04.732Z
pgr5jVMvIv,MOOSPMv3Parser,1787043600,5,5,5,8,8,5,5,8,8,5,1290,296,131828,52,40,3,40,40,22,49,40,0,24,25,46,48,20.165,205,1,36.76276,-119.798698,51.707001,7,600,58,3,e00fce68e88237db75a60608,2026-08-18 09:00:04.685000+00:00,2026-08-18T09:00:04.847Z,2026-08-18T09:00:04.847Z
1TrQKEv9SU,MOOSPMv3Parser,1787043601,7,7,0,11,11,0,0,12,12,0,1436,378,0,76,0,9,0,0,24,44,0,2,25,26,49,50,18.833,210,22,36.187508,-119.822136,13.775,8,600,58,3,e00fce68e739ecbcf9e91965,2026-08-18 09:00:05.062000+00:00,2026-08-18T09:00:05.253Z,2026-08-18T09:00:05.253Z
RoWfwuzxEA,MOOSPMv3Parser,1787043600,0,0,2,2,2,3,3,2,2,3,317,214,12298,35,19,3,19,19,22,44,19,0,23,25,52,47,19.488,258,1,36.139122,-120.368439,175.410004,10,600,58,3,e00fce686dc2ef0a68fa40b0,2026-08-18 09:00:07.555000+00:00,2026-08-18T09:00:07.742Z,2026-08-18T09:00:07.742Z
