objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
bLpdtGyRds,MOOSPMv3Parser,1678291200,0,0,0.18,0,0,0.19,0.19,0,0,0.2,14.94,3.44,72.59,1.1,1.42,0.0,1.43,1.43,20.8,37.7,1.43,0.48,0,21.8,0,42.5,0.0,53.0,1,47.047646,-122.882172,41.695999,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:00:02.626000+00:00,2023-03-08T16:00:02.865Z,2023-03-08T16:00:02.865Z
j2gEUq7enk,MOOSPMv3Parser,1678291260,0,0,0.16,0,0,0.17,0.17,0,0,0.17,27.92,7.81,73.71,0.81,1.28,0.0,1.29,1.29,20.8,37.5,1.29,0.47,0,21.8,0,42.4,0.0,52.3,1,47.047646,-122.882172,41.695999,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:01:02.649000+00:00,2023-03-08T16:01:02.841Z,2023-03-08T16:01:02.841Z
9sjhx86YQk,MOOSPMv3Parser,1678291320,0,0,0.2,0,0,0.23,0.23,0,0,0.23,42.87,10.9,75.2,0.13,1.7,0.0,1.71,1.72,20.8,37.5,1.72,0.47,0,21.8,0,42.3,0.0,51.8,1,47.047646,-122.882172,41.695999,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:02:02.662000+00:00,2023-03-08T16:02:02.860Z,2023-03-08T16:02:02.860Z
FxJr0tkQ22,MOOSPMv3Parser,1678291380,0,0,0.38,0,0,0.39,0.39,0,0,0.39,22.08,4.12,77.76,0.0,2.94,0.0,2.95,2.95,20.8,37.4,2.95,0.48,0,21.8,0,42.3,0.0,51.0,1,47.047646,-122.882172,41.695999,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:03:02.648000+00:00,2023-03-08T16:03:02.841Z,2023-03-08T16:03:02.841Z
vV5WkoQfpr,MOOSPMv3Parser,1678291440,0,0,0.22,0,0,0.23,0.23,0,0,0.24,22.67,5.25,79.34,0.42,1.81,0.0,1.82,1.82,20.8,37.4,1.82,0.48,0,21.8,0,42.3,0.0,51.0,1,47.047646,-122.882172,41.698002,0,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:04:02.608000+00:00,2023-03-08T16:04:02.812Z,2023-03-08T16:04:02.812Z
hMZv3zrC6r,MOOSPMv3Parser,1678291500,0,0,0.24,0,0,0.25,0.25,0,0,0.25,24.76,3.39,80.98,0.24,1.88,0.0,1.88,1.88,20.8,37.4,1.88,0.47,0,21.8,0,42.4,0.0,51.0,1,47.047596,-122.882179,15.247,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:05:02.616000+00:00,2023-03-08T16:05:02.816Z,2023-03-08T16:05:02.816Z
arrO7hnWI9,MOOSPMv3Parser,1678291560,0,0,0.25,0,0,0.25,0.25,0,0,0.25,14.12,3.51,82.63,0.9,1.89,0.0,1.9,1.9,20.8,37.4,1.9,0.48,0,21.8,0,42.3,0.0,50.7,1,47.047596,-122.882179,15.247,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:06:02.633000+00:00,2023-03-08T16:06:02.841Z,2023-03-08T16:06:02.841Z
7NF85GbDna,MOOSPMv3Parser,1678291620,0,0,0.18,0,0,0.19,0.19,0,0,0.19,6.35,1.88,83.91,0.55,1.48,0.0,1.49,1.49,20.8,37.4,1.49,0.48,0,21.8,0,42.2,0.0,50.0,1,47.047596,-122.882179,15.247,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:07:02.643000+00:00,2023-03-08T16:07:02.852Z,2023-03-08T16:07:02.852Z
0CELfaBF8O,MOOSPMv3Parser,1678291680,0,0,0.2,0,0,0.21,0.21,0,0,0.21,14.0,1.29,85.26,0.06,1.53,0.0,1.54,1.54,20.8,37.5,1.54,0.47,0,21.8,0,42.4,0.0,50.0,1,47.047596,-122.882179,15.247,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:08:02.635000+00:00,2023-03-08T16:08:02.853Z,2023-03-08T16:08:02.853Z
odWiBpCAZA,MOOSPMv3Parser,1678291740,0,0,0.13,0,0,0.13,0.14,0,0,0.14,14.54,4.06,86.13,0.06,1.0,0.0,1.0,1.0,20.8,37.5,1.0,0.47,0,21.8,0,42.5,0.0,50.0,1,47.047596,-122.882179,15.247,6,58,60,1,e00fce68afb0ec9f5087904a,2023-03-08 16:09:02.645000+00:00,2023-03-08T16:09:02.868Z,2023-03-08T16:09:02.868Z
