objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
etUh7Fhh24,MOOSPMv3Parser,1761526801,2,2,2,3,3,2,2,3,3,2,612,167,870,21,15,1,15,15,22,44,15,0,22,24,50,45,0.001,105,4,36.138855,-120.368408,153.175995,6,600,58,3,e00fce68f12da1a0c5de6248,2025-10-27 01:00:02.214000+00:00,2025-10-27T01:00:02.426Z,2025-10-27T01:00:02.426Z
YkzA1NAnDE,MOOSPMv3Parser,1761526800,2,2,2,3,3,2,2,4,4,2,559,158,19639,25,16,1,16,16,22,47,16,0,22,24,51,48,40.295,65,3277,36.139091,-120.368317,162.671997,7,600,58,3,e00fce68e28dcbc9a589be10,2025-10-27 01:00:03.681000+00:00,2025-10-27T01:00:03.882Z,2025-10-27T01:00:03.882Z
nmMmPfQfIl,MOOSPMv3Parser,1761526801,2,2,2,3,3,2,2,4,4,2,798,165,22367,24,18,1,18,18,21,53,18,0,22,23,51,48,37.088,58,5,36.13903,-120.368416,169.033997,0,600,58,3,e00fce68e88237db75a60608,2025-10-27 01:00:04.547000+00:00,2025-10-27T01:00:04.735Z,2025-10-27T01:00:04.735Z
D8KOtUM9vG,MOOSPMv3Parser,1761526801,2,2,2,3,3,2,2,3,3,2,674,173,670,20,15,1,16,16,22,41,16,0,22,24,51,46,27.898,36,3277,36.138893,-120.368378,182.608002,5,600,58,3,e00fce6858b443fd80f27170,2025-10-27 01:00:04.993000+00:00,2025-10-27T01:00:05.169Z,2025-10-27T01:00:05.169Z
oUYYfD1mHG,MOOSPMv3Parser,1761526800,0,0,1,0,0,1,1,0,0,1,202,114,17219,16,8,1,8,8,23,41,8,0,22,25,52,44,17.868,83,2,36.139023,-120.368385,168.707993,13,600,58,3,e00fce686dc2ef0a68fa40b0,2025-10-27 01:00:06.145000+00:00,2025-10-27T01:00:06.314Z,2025-10-27T01:00:06.314Z
CQVAv6Q5X3,MOOSPMv3Parser,1761527401,3,3,2,5,5,3,3,5,5,3,768,215,887,29,19,1,19,19,22,46,19,0,22,24,51,47,0.001,153,3,36.139095,-120.368301,173.712006,5,600,58,3,e00fce68f12da1a0c5de6248,2025-10-27 01:10:02.095000+00:00,2025-10-27T01:10:02.262Z,2025-10-27T01:10:02.262Z
xcqeUgUf3G,MOOSPMv3Parser,1761527401,3,3,2,4,4,2,2,4,4,2,867,220,685,28,18,1,18,18,22,42,18,0,21,24,53,48,25.213,110,3277,36.139065,-120.368317,178.255005,6,600,58,3,e00fce6858b443fd80f27170,2025-10-27 01:10:03.210000+00:00,2025-10-27T01:10:03.425Z,2025-10-27T01:10:03.425Z
Jo5Sdb0gDX,MOOSPMv3Parser,1761527401,3,3,3,5,5,3,3,5,5,3,976,211,22386,27,22,2,22,22,21,55,22,0,22,23,53,49,35.211,87,5,36.139023,-120.368416,179.528,10,600,58,3,e00fce68e88237db75a60608,2025-10-27 01:10:04.575000+00:00,2025-10-27T01:10:04.768Z,2025-10-27T01:10:04.768Z
n7tkZE0Cxm,MOOSPMv3Parser,1761527400,0,0,1,0,0,1,1,0,0,1,244,148,17227,19,9,1,9,9,22,42,9,0,22,25,53,45,15.57,114,2,36.13905,-120.36834,170.580994,12,600,58,3,e00fce686dc2ef0a68fa40b0,2025-10-27 01:10:06.317000+00:00,2025-10-27T01:10:06.481Z,2025-10-27T01:10:06.481Z
FiqT0XY2ni,MOOSPMv3Parser,1761527400,3,3,2,5,5,3,3,5,5,3,714,202,19655,32,19,2,19,19,21,49,19,0,22,23,52,50,35.573,111,3277,36.139038,-120.368439,168.242004,7,600,58,3,e00fce68e28dcbc9a589be10,2025-10-27 01:10:39.650000+00:00,2025-10-27T01:10:39.862Z,2025-10-27T01:10:39.862Z
EoVPR4S4OM,MOOSPMv3Parser,1761528001,6,6,3,8,8,3,3,9,9,3,1201,336,909,44,25,2,25,25,21,49,25,0,21,23,55,49,0.001,268,2,36.139095,-120.368301,173.714996,0,600,58,3,e00fce68f12da1a0c5de6248,2025-10-27 01:20:02.267000+00:00,2025-10-27T01:20:02.437Z,2025-10-27T01:20:02.437Z
Vn3TNBTdpc,MOOSPMv3Parser,1761528000,6,6,4,8,8,4,4,8,8,4,1157,330,19679,49,28,3,28,28,21,52,28,0,21,23,56,53,28.46,225,3277,36.138996,-120.368378,167.955002,8,600,58,3,e00fce68e28dcbc9a589be10,2025-10-27 01:20:03.114000+00:00,2025-10-27T01:20:03.296Z,2025-10-27T01:20:03.296Z
