objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
RkqlLtrANU,MOOSPMv3Parser,1724191200,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,445.0,127.0,8347.0,18.0,17.0,1.0,17.0,17.0,35.0,10.0,17.0,1.0,36.0,41.0,18.0,17.0,511.04,53.0,1.0,36.785511,-119.773094,82.934998,7,599,58,3,e00fce6856818e5885f65487,2024-08-20 22:00:00.579000+00:00,2024-08-20T22:00:00.801Z,2024-08-20T22:00:00.801Z
9FsjQuuWd9,MOOSPMv3Parser,1724191200,0.31,0.31,1.37,0.8,0.8,1.47,1.5,0.86,0.86,1.52,414.77,102.15,497.77,11.96,10.71,0.99,10.77,10.78,31.6,18.1,10.78,0.51,35.7,35.8,17.8,21.0,51.996,8.5,3276.7,36.138809,-120.368355,172.406006,6,600,58,1,e00fce6858b443fd80f27170,2024-08-20 22:00:01.784000+00:00,2024-08-20T22:00:02.060Z,2024-08-20T22:00:02.060Z
rr4qRgYqJY,MOOSPMv3Parser,1724191201,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,488.0,106.0,155.0,14.0,11.0,1.0,11.0,11.0,32.0,15.0,11.0,0.0,35.0,37.0,19.0,20.0,46.793,102.0,1.0,36.138927,-120.368423,185.201004,6,600,58,3,e00fce68f12da1a0c5de6248,2024-08-20 22:00:02.636000+00:00,2024-08-20T22:00:03.220Z,2024-08-20T22:00:03.220Z
BSFK8xn1jw,MOOSPMv3Parser,1724191200,9.0,9.0,4.0,13.0,13.0,5.0,5.0,13.0,13.0,5.0,1860.0,506.0,167384.0,70.0,33.0,4.0,34.0,34.0,33.0,18.0,34.0,0.0,35.0,38.0,26.0,26.0,0.001,28.0,1.0,35.949665,-119.050377,115.755997,6,600,58,3,e00fce6808784ceaf209f949,2024-08-20 22:00:03.762000+00:00,2024-08-20T22:00:04.093Z,2024-08-20T22:00:04.093Z
QoRfK1EeCX,MOOSPMv3Parser,1724191200,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,428.0,102.0,28554.0,16.0,11.0,1.0,12.0,12.0,35.0,10.0,12.0,0.0,36.0,40.0,18.0,17.0,510.98,100.0,1.0,36.010574,-120.14035,226.445007,0,600,58,3,e00fce6850cac69f647dc199,2024-08-20 22:00:04.310000+00:00,2024-08-20T22:00:04.610Z,2024-08-20T22:00:04.610Z
bZnK75VI5T,MOOSPMv3Parser,1724191201,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,345.0,90.0,163.0,14.0,12.0,1.0,12.0,12.0,32.0,13.0,12.0,0.0,36.0,37.0,18.0,20.0,50.594,96.0,1.0,36.138901,-120.368416,172.639999,7,600,58,3,e00fce68e88237db75a60608,2024-08-20 22:00:04.349000+00:00,2024-08-20T22:00:04.668Z,2024-08-20T22:00:04.668Z
urMGutBdX7,MOOSPMv3Parser,1724191201,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,349.0,107.0,769069.0,22.0,16.0,4.0,17.0,17.0,0.0,0.0,17.0,1.0,35.0,38.0,19.0,18.0,0.0,14.0,1.0,36.433926,-119.922768,40.334999,9,600,58,3,e00fce6876826e255108c6bd,2024-08-20 22:00:04.976000+00:00,2024-08-20T22:00:05.251Z,2024-08-20T22:00:05.251Z
YtBGiafGLg,MOOSPMv3Parser,1724191800,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,432.0,122.0,8361.0,20.0,17.0,1.0,17.0,17.0,35.0,10.0,17.0,1.0,36.0,40.0,18.0,17.0,511.096,63.0,1.0,36.785519,-119.773117,117.327003,5,599,58,3,e00fce6856818e5885f65487,2024-08-20 22:10:00.825000+00:00,2024-08-20T22:10:01.021Z,2024-08-20T22:10:01.021Z
m4znAqT4Lb,MOOSPMv3Parser,1724191800,0.23,0.23,1.34,0.77,0.77,1.44,1.47,0.85,0.85,1.49,407.3,99.25,506.75,11.77,10.47,0.7,10.53,10.54,31.7,17.6,10.54,0.51,36.0,35.9,17.6,20.8,51.138,11.8,3276.7,36.138973,-120.368263,218.201004,6,600,58,1,e00fce6858b443fd80f27170,2024-08-20 22:10:02.036000+00:00,2024-08-20T22:10:02.256Z,2024-08-20T22:10:02.256Z
XE5TC3KcqT,MOOSPMv3Parser,1724191801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,467.0,103.0,164.0,12.0,10.0,1.0,10.0,10.0,32.0,15.0,10.0,0.0,36.0,37.0,19.0,20.0,45.955,124.0,1.0,36.138851,-120.368393,208.035004,7,600,58,3,e00fce68f12da1a0c5de6248,2024-08-20 22:10:02.273000+00:00,2024-08-20T22:10:02.476Z,2024-08-20T22:10:02.476Z
