objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
ZAFFrg51Lb,MOOSPMv3Parser,1704258000,36,28,40,64,47,42,42,72,61,42,6620,1871,12804,450,315,44,316,316,11,80,316,0,10,9,89,91,7.477,206,1,36.785423,-119.77317,73.971001,6,600,58,3,e00fce68e739ecbcf9e91965,2024-01-03 05:00:01.475000+00:00,2024-01-03T05:00:01.730Z,2024-01-03T05:00:01.730Z
GgSlycrMRR,MOOSPMv3Parser,1704258001,35,28,42,63,46,44,44,71,60,44,5899,1793,13850,450,325,38,327,327,11,80,327,0,9,9,90,92,13.967,107,1,36.785374,-119.773094,57.77,6,600,58,3,e00fce6856818e5885f65487,2024-01-03 05:00:02.335000+00:00,2024-01-03T05:00:02.602Z,2024-01-03T05:00:02.602Z
YBEYz21TU8,MOOSPMv3Parser,1704258600,35,28,39,62,46,40,40,69,59,40,6438,1810,13067,426,302,41,303,303,11,79,303,0,10,10,87,89,7.747,183,1,36.785397,-119.773148,62.969002,6,600,58,3,e00fce68e739ecbcf9e91965,2024-01-03 05:10:01.493000+00:00,2024-01-03T05:10:01.729Z,2024-01-03T05:10:01.729Z
JbEptlZYzL,MOOSPMv3Parser,1704258601,34,27,40,60,45,42,42,68,58,42,5747,1742,14123,433,314,35,315,315,11,78,315,0,10,10,88,90,14.258,99,1,36.785374,-119.773094,57.771999,0,600,58,3,e00fce6856818e5885f65487,2024-01-03 05:10:02.415000+00:00,2024-01-03T05:10:02.634Z,2024-01-03T05:10:02.634Z
iw8NmfazMw,MOOSPMv3Parser,1704259200,32,26,35,56,44,37,37,63,55,37,5913,1657,13305,393,273,36,274,274,11,78,275,0,10,10,84,87,8.946,123,1,36.78545,-119.773216,75.033997,6,600,58,3,e00fce68e739ecbcf9e91965,2024-01-03 05:20:02.243000+00:00,2024-01-03T05:20:02.436Z,2024-01-03T05:20:02.436Z
nkKhEzwf7l,MOOSPMv3Parser,1704259201,31,26,36,55,43,38,38,61,54,38,5310,1609,14370,391,284,28,285,285,11,77,285,0,10,10,85,88,16.326,68,1,36.785477,-119.773109,29.361,5,600,58,3,e00fce6856818e5885f65487,2024-01-03 05:20:02.475000+00:00,2024-01-03T05:20:02.757Z,2024-01-03T05:20:02.757Z
SdgTzvOgI5,MOOSPMv3Parser,1704259800,28,25,33,51,41,34,34,56,51,34,5349,1493,13527,350,255,32,256,256,11,76,256,0,11,10,83,86,9.099,109,1,36.785374,-119.773094,73.095001,6,600,58,3,e00fce68e739ecbcf9e91965,2024-01-03 05:30:01.459000+00:00,2024-01-03T05:30:01.632Z,2024-01-03T05:30:01.632Z
uRcDzPCnTZ,MOOSPMv3Parser,1704260400,28,24,32,49,41,34,34,54,50,34,5260,1464,13747,337,253,31,254,254,11,76,254,0,11,10,84,85,9.105,107,1,36.785397,-119.773193,62.735001,7,600,58,3,e00fce68e739ecbcf9e91965,2024-01-03 05:40:02.657000+00:00,2024-01-03T05:40:02.880Z,2024-01-03T05:40:02.880Z
ZJeUVExb8V,MOOSPMv3Parser,1704261000,29,25,32,51,41,34,34,57,52,34,5386,1509,13967,352,252,33,253,253,11,76,253,0,11,10,84,85,9.408,107,1,36.785385,-119.773102,71.462997,6,600,58,3,e00fce68e739ecbcf9e91965,2024-01-03 05:50:02.581000+00:00,2024-01-03T05:50:02.791Z,2024-01-03T05:50:02.791Z
