objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
KalUPTwrj2,MOOSPMv3Parser,1752386400,3,3,3,4,4,3,3,4,4,3,611,184,9465,29,20,1,20,20,26,19,20,0,29,30,25,27,40.632,23,3,35.613247,-119.689537,50.886002,0,600,58,3,e00fce682bbf742cd0b6768a,2025-07-13 06:00:02.822000+00:00,2025-07-13T06:00:03.081Z,2025-07-13T06:00:03.081Z
taNDSvgRwm,MOOSPMv3Parser,1752386401,4,4,4,6,6,4,4,6,6,4,1172,286,18324,41,29,2,29,29,25,27,29,0,26,27,36,36,11.988,465,3277,35.949715,-119.04995,118.494003,6,600,58,3,e00fce6858b443fd80f27170,2025-07-13 06:00:02.657000+00:00,2025-07-13T06:00:03.117Z,2025-07-13T06:00:03.117Z
2f1LnjMe5Y,MOOSPMv3Parser,1752386400,6,6,3,7,7,3,3,8,8,3,1459,319,44947,43,21,3,21,21,26,21,21,0,29,29,30,32,512.953,208,1,36.139023,-120.368378,179.324005,11,600,58,3,e00fce68e77e43df92405fdb,2025-07-13 06:00:02.922000+00:00,2025-07-13T06:00:03.205Z,2025-07-13T06:00:03.205Z
PuNth3OPF7,MOOSPMv3Parser,1752386401,0,0,2,0,0,2,2,0,0,2,209,121,9352,16,18,1,18,18,26,29,18,0,28,29,30,29,22.242,28,2,35.670509,-119.239044,85.098,6,600,58,3,e00fce686dc2ef0a68fa40b0,2025-07-13 06:00:02.917000+00:00,2025-07-13T06:00:03.239Z,2025-07-13T06:00:03.239Z
8KDh93Zoo5,MOOSPMv3Parser,1752386401,5,5,4,8,8,4,4,8,8,4,1098,297,4202,55,33,3,33,33,26,20,33,0,29,29,31,32,515.156,342,1,36.139008,-120.368324,180.220993,6,600,58,3,e00fce68e739ecbcf9e91965,2025-07-13 06:00:03.596000+00:00,2025-07-13T06:00:03.849Z,2025-07-13T06:00:03.849Z
dTTISYpGox,MOOSPMv3Parser,1752386400,23,22,19,34,32,20,20,35,35,20,1232,1041,25596,201,146,12,147,147,28,38,147,0,31,32,43,41,45.397,43,3,36.785526,-119.773018,71.211998,11,600,58,3,e00fce68d6b773b56ce8baa0,2025-07-13 06:00:03.575000+00:00,2025-07-13T06:00:03.874Z,2025-07-13T06:00:03.874Z
34S0MYAgEH,MOOSPMv3Parser,1752386401,6,6,7,10,10,8,9,10,10,9,1255,338,15555,69,52,5,53,53,28,19,53,0,30,31,27,28,41.55,95,2,36.037628,-120.173233,213.162994,9,600,58,3,e00fce68e88237db75a60608,2025-07-13 06:00:03.970000+00:00,2025-07-13T06:00:04.246Z,2025-07-13T06:00:04.246Z
uvvCG7S72g,MOOSPMv3Parser,1752386401,4,4,3,6,6,4,4,6,6,4,787,246,4114,41,27,2,27,27,0,0,27,0,30,30,29,31,14.314,369,1,36.139,-120.368393,182.595001,7,600,58,3,e00fce6876826e255108c6bd,2025-07-13 06:00:04.045000+00:00,2025-07-13T06:00:04.326Z,2025-07-13T06:00:04.326Z
wuPle7jOWL,MOOSPMv3Parser,1752386400,7,7,11,18,18,12,12,19,19,12,654,552,43106,98,89,7,89,89,20,55,89,0,21,21,69,66,23.981,245,1,40.593925,-105.075813,1515.55603,7,600,58,3,e00fce68b74b750aa2a7da46,2025-07-13 06:00:03.518000+00:00,2025-07-13T06:00:04.480Z,2025-07-13T06:00:04.480Z
NisklkADXo,MOOSPMv3Parser,1752386401,26,23,19,38,35,20,20,40,40,20,4497,1301,26406,248,150,12,150,150,27,33,150,0,29,30,42,42,30.442,182,3277,36.526543,-119.290268,79.875999,7,600,58,3,e00fce68e28dcbc9a589be10,2025-07-13 06:00:04.357000+00:00,2025-07-13T06:00:04.674Z,2025-07-13T06:00:04.674Z
ecGy3ozoCZ,MOOSPMv3Parser,1752386401,5,5,4,8,8,4,4,8,8,4,1075,308,3398,49,31,2,31,31,27,23,31,0,28,30,31,31,0.0,41,3,36.139141,-120.368347,185.328995,7,600,58,3,e00fce68f12da1a0c5de6248,2025-07-13 06:00:07.811000+00:00,2025-07-13T06:00:08.039Z,2025-07-13T06:00:08.039Z
Z38inG0HCY,MOOSPMv3Parser,1752387001,4,4,4,6,6,4,4,6,6,4,1108,286,18348,46,29,2,29,29,25,27,29,0,26,27,35,36,12.471,465,3277,35.949665,-119.050064,108.787003,7,600,58,3,e00fce6858b443fd80f27170,2025-07-13 06:10:02.416000+00:00,2025-07-13T06:10:02.639Z,2025-07-13T06:10:02.639Z
rJlezciyA5,MOOSPMv3Parser,1752387000,23,22,19,34,32,20,20,35,35,20,1231,1043,25720,201,147,13,148,148,28,39,148,0,31,31,44,42,42.8,58,3,36.785408,-119.773117,71.181,10,600,58,3,e00fce68d6b773b56ce8baa0,2025-07-13 06:10:02.518000+00:00,2025-07-13T06:10:02.693Z,2025-07-13T06:10:02.693Z
Fux5ogbEd6,MOOSPMv3Parser,1752387001,5,5,4,7,7,4,4,8,8,4,987,284,3424,48,30,2,30,30,26,25,30,0,28,30,32,32,0.0,29,3,36.138977,-120.368347,162.070007,5,600,58,3,e00fce68f12da1a0c5de6248,2025-07-13 06:10:02.853000+00:00,2025-07-13T06:10:03.050Z,2025-07-13T06:10:03.050Z
PTjXW6SGPB,MOOSPMv3Parser,1752387000,5,5,3,8,8,3,3,8,8,3,1446,314,44966,50,21,2,22,22,26,22,22,0,29,29,31,33,512.976,113,1,36.139023,-120.368378,179.328995,0,600,58,3,e00fce68e77e43df92405fdb,2025-07-13 06:10:02.907000+00:00,2025-07-13T06:10:03.087Z,2025-07-13T06:10:03.087Z
zwlsMkMumR,MOOSPMv3Parser,1752387001,0,0,3,0,0,3,3,0,0,3,241,151,9370,23,21,2,21,21,26,30,21,0,27,29,31,30,22.315,29,2,35.670509,-119.239044,85.098,0,600,58,3,e00fce686dc2ef0a68fa40b0,2025-07-13 06:10:03.161000+00:00,2025-07-13T06:10:03.366Z,2025-07-13T06:10:03.366Z
S5WOZcSivJ,MOOSPMv3Parser,1752387000,3,3,3,4,4,3,3,4,4,3,590,177,9483,28,20,1,21,21,26,19,21,0,29,29,25,27,40.876,22,3,35.613216,-119.689598,51.479,10,600,58,3,e00fce682bbf742cd0b6768a,2025-07-13 06:10:03.149000+00:00,2025-07-13T06:10:03.401Z,2025-07-13T06:10:03.401Z
quT5pMLDR4,MOOSPMv3Parser,1752387001,5,5,4,7,7,4,4,8,8,4,1042,280,4231,53,33,3,33,33,26,20,33,0,28,29,32,33,515.204,227,1,36.139027,-120.36834,174.473999,6,600,58,3,e00fce68e739ecbcf9e91965,2025-07-13 06:10:03.359000+00:00,2025-07-13T06:10:03.557Z,2025-07-13T06:10:03.557Z
8yint3prYs,MOOSPMv3Parser,1752387000,9,9,12,20,20,12,12,20,20,12,686,584,43183,101,92,8,92,92,20,56,92,0,19,21,75,67,21.665,265,1,40.594227,-105.075783,1530.650024,7,600,58,3,e00fce68b74b750aa2a7da46,2025-07-13 06:10:03.607000+00:00,2025-07-13T06:10:03.786Z,2025-07-13T06:10:03.786Z
l9oftBHdUS,MOOSPMv3Parser,1752387001,26,23,19,38,35,20,20,39,39,20,4486,1295,26535,250,149,11,149,149,27,33,149,0,29,30,42,43,33.974,111,3277,36.526562,-119.290298,80.119003,7,600,58,3,e00fce68e28dcbc9a589be10,2025-07-13 06:10:03.872000+00:00,2025-07-13T06:10:04.101Z,2025-07-13T06:10:04.101Z
zVIyNgJQjy,MOOSPMv3Parser,1752387001,6,6,6,8,8,6,7,9,9,7,1204,321,15592,58,44,4,44,44,28,19,44,0,30,31,27,29,44.088,64,2,36.037628,-120.173233,213.164993,0,600,58,3,e00fce68e88237db75a60608,2025-07-13 06:10:03.929000+00:00,2025-07-13T06:10:04.113Z,2025-07-13T06:10:04.113Z
7ZCaRffmmM,MOOSPMv3Parser,1752387001,4,4,3,6,6,3,3,6,6,3,816,249,4136,42,26,3,26,26,0,0,26,0,30,30,29,32,15.242,201,1,36.139019,-120.368362,179.462006,6,600,58,3,e00fce6876826e255108c6bd,2025-07-13 06:10:20.271000+00:00,2025-07-13T06:10:20.510Z,2025-07-13T06:10:20.510Z
PAKU0HCFHe,MOOSPMv3Parser,1752387601,3,3,3,5,5,3,3,5,5,3,979,251,18371,38,26,1,26,26,24,26,26,0,26,27,35,36,14.048,451,3277,35.949577,-119.049957,118.254997,7,600,58,3,e00fce6858b443fd80f27170,2025-07-13 06:20:02.581000+00:00,2025-07-13T06:20:02.793Z,2025-07-13T06:20:02.793Z
