objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
4kdrEmgTPf,MOOSPMv3Parser,1747936800,14,14,12,24,23,18,23,26,26,26,2785,775,5420,163,88,16,94,95,30,10,96,1,32,34,18,20,204.199,367,1,36.13895,-120.368431,170.292007,5,600,58,3,e00fce6808784ceaf209f949,2025-05-22 18:00:02.215000+00:00,2025-05-22T18:00:02.537Z,2025-05-22T18:00:02.537Z
RlzD2LvJSV,MOOSPMv3Parser,1747936800,12,12,7,17,17,7,7,18,18,7,2810,725,4913,108,53,4,53,53,32,12,53,0,32,36,19,19,0.0,221,3277,36.137478,-120.370232,195.052002,6,600,58,3,e00fce6858b443fd80f27170,2025-05-22 18:00:02.777000+00:00,2025-05-22T18:00:03.089Z,2025-05-22T18:00:03.089Z
Fwe7SARe2z,MOOSPMv3Parser,1747936801,17,16,6,22,21,6,6,22,22,6,4418,949,4690,95,44,4,44,44,32,10,44,0,33,36,19,19,0.0,184,1,36.139042,-120.368279,173.360001,7,600,58,3,e00fce68e77e43df92405fdb,2025-05-22 18:00:03.151000+00:00,2025-05-22T18:00:03.496Z,2025-05-22T18:00:03.496Z
vk3zLs3Bjq,MOOSPMv3Parser,1747936800,15,14,17,28,25,27,36,38,34,40,2759,853,3958,195,123,38,133,135,0,0,135,1,31,34,20,20,139.558,453,1,36.138794,-120.368401,175.947006,7,600,58,3,e00fce6876826e255108c6bd,2025-05-22 18:00:03.233000+00:00,2025-05-22T18:00:03.565Z,2025-05-22T18:00:03.565Z
OMza4VT1Ux,MOOSPMv3Parser,1747936800,16,15,17,30,27,28,37,35,32,41,3301,916,5638,215,122,26,132,134,30,9,135,1,31,34,19,20,514.178,335,1,36.138943,-120.368401,174.848999,7,600,58,3,e00fce68e739ecbcf9e91965,2025-05-22 18:00:03.567000+00:00,2025-05-22T18:00:04.011Z,2025-05-22T18:00:04.011Z
r7WZpxq0vS,MOOSPMv3Parser,1747936801,13,13,7,17,17,7,7,18,18,7,2353,666,6076,100,54,4,54,54,32,12,54,0,32,36,19,18,36.778,190,1,36.139015,-120.368271,193.022995,6,600,58,3,e00fce68f12da1a0c5de6248,2025-05-22 18:00:04.088000+00:00,2025-05-22T18:00:04.292Z,2025-05-22T18:00:04.292Z
GjQWvER9FI,MOOSPMv3Parser,1747936800,10,10,15,21,20,21,26,22,22,28,789,674,3257,129,109,12,115,117,31,18,117,1,32,35,21,19,0.23,465,1,36.138969,-120.368431,192.192993,9,600,58,3,e00fce68b74b750aa2a7da46,2025-05-22 18:00:05.324000+00:00,2025-05-22T18:00:05.735Z,2025-05-22T18:00:05.735Z
eu7LEDG3ME,MOOSPMv3Parser,1747936801,5,5,7,8,8,7,7,9,9,7,630,471,880,62,51,3,52,52,32,20,52,0,32,36,19,18,42.026,342,1,36.139072,-120.3685,182.121994,6,600,58,3,e00fce686dc2ef0a68fa40b0,2025-05-22 18:00:08.588000+00:00,2025-05-22T18:00:08.814Z,2025-05-22T18:00:08.814Z
nQttCPrsR3,MOOSPMv3Parser,1747936800,13,12,6554,18,17,6554,6554,19,18,6554,2173,645,804130,107,6554,7,6554,6554,30,14,6554,66,33,328,18,655,2.348,6554,6554,36.139046,-120.368378,180.369003,0,600,58,3,e00fce682bbf742cd0b6768a,2025-05-22 18:00:09.977000+00:00,2025-05-22T18:00:10.176Z,2025-05-22T18:00:10.176Z
eXiJm8ocHW,MOOSPMv3Parser,1747937401,2,2,2,3,3,3,3,3,3,3,457,132,168825,20,19,1,19,19,28,18,19,0,29,31,27,26,510.497,99,1,36.78545,-119.773125,74.552002,9,600,58,3,e00fce6856818e5885f65487,2025-05-22 18:09:57.211000+00:00,2025-05-22T18:09:57.397Z,2025-05-22T18:09:57.397Z
