objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
g6SgZrcmdb,MOOSPMv3Parser,1783908000,2,2,1,3,3,1,1,3,3,1,1123,173,40416,18,8,1,8,8,32,18,8,0,35,37,27,28,33.715,37,2,36.139004,-120.36853,160.498993,5,600,58,3,e00fce68e77e43df92405fdb,2026-07-13 02:00:01.986000+00:00,2026-07-13T02:00:02.315Z,2026-07-13T02:00:02.315Z
YfNZiHoMwi,MOOSPMv3Parser,1783908001,2,2,1,2,2,1,1,2,2,1,489,141,50392,14,11,1,11,11,33,20,11,0,36,37,27,28,513.203,37,1,36.138981,-120.368332,154.069,7,541,58,3,e00fce682bbf742cd0b6768a,2026-07-13 02:00:02.523000+00:00,2026-07-13T02:00:03.275Z,2026-07-13T02:00:03.275Z
LX53PELb7s,MOOSPMv3Parser,1783908001,2,2,1,3,3,2,2,3,3,2,609,158,5454,16,11,1,11,11,33,19,11,0,36,38,26,26,36.036,50,2,36.139008,-120.368385,159.460007,6,600,58,3,e00fce68f12da1a0c5de6248,2026-07-13 02:00:02.829000+00:00,2026-07-13T02:00:03.365Z,2026-07-13T02:00:03.365Z
enTZFJXiG0,MOOSPMv3Parser,1783908000,2,2,1,3,3,2,2,3,3,2,593,153,43455,19,11,1,11,11,32,16,11,0,35,37,28,28,39.437,28,2,36.13903,-120.368439,182.453003,0,600,58,3,e00fce6808784ceaf209f949,2026-07-13 02:00:03.007000+00:00,2026-07-13T02:00:03.588Z,2026-07-13T02:00:03.588Z
KAspgRA86R,MOOSPMv3Parser,1783908000,1,1,1,1,1,1,1,1,1,1,280,76,41514,10,8,1,8,8,29,19,8,1,32,32,28,30,35.524,37,3277,36.76265,-119.798737,54.634998,6,600,58,3,e00fce68e28dcbc9a589be10,2026-07-13 02:00:02.837000+00:00,2026-07-13T02:00:03.669Z,2026-07-13T02:00:03.669Z
3wG1Ehy2T8,MOOSPMv3Parser,1783908001,2,2,1,2,2,1,1,2,2,1,813,177,437,17,10,1,10,10,34,18,10,0,35,39,27,26,39.094,16,3277,36.138779,-120.368202,166.376999,5,600,58,3,e00fce6858b443fd80f27170,2026-07-13 02:00:03.071000+00:00,2026-07-13T02:00:03.698Z,2026-07-13T02:00:03.698Z
Td1aEzZfDk,MOOSPMv3Parser,1783908002,1,1,1,2,2,1,1,2,2,1,357,107,27262306,15,11,1,11,11,33,20,11,0,36,37,27,28,513.647,50,1,36.138981,-120.368332,154.069,7,1,58,3,e00fce682bbf742cd0b6768a,2026-07-13 02:00:03.211000+00:00,2026-07-13T02:00:03.791Z,2026-07-13T02:00:03.791Z
mqGdV4lIW9,MOOSPMv3Parser,1783908001,0,0,1,0,0,1,1,0,0,1,172,95,41652,10,8,1,8,8,29,28,8,0,32,33,28,29,31.83,52,1,36.762718,-119.798767,59.991001,10,600,58,3,e00fce68d6b773b56ce8baa0,2026-07-13 02:00:03.481000+00:00,2026-07-13T02:00:04.100Z,2026-07-13T02:00:04.100Z
vBC9Fz781a,MOOSPMv3Parser,1783908003,0,0,1,1,1,1,1,1,1,1,351,103,27262316,12,10,1,10,10,33,20,10,0,36,37,27,28,513.01,50,1,36.138981,-120.368332,154.069,7,1,58,3,e00fce682bbf742cd0b6768a,2026-07-13 02:00:04.251000+00:00,2026-07-13T02:00:04.492Z,2026-07-13T02:00:04.492Z
5fisLt9RSD,MOOSPMv3Parser,1783908001,2,2,0,3,3,0,0,3,3,0,753,175,72525,24,0,2,0,0,34,14,0,0,36,39,27,26,42.822,33,1,36.139019,-120.368324,165.654999,8,600,58,3,e00fce68e739ecbcf9e91965,2026-07-13 02:00:04.562000+00:00,2026-07-13T02:00:04.863Z,2026-07-13T02:00:04.863Z
