objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
AS6gxqGjL2,MOOSPMv3Parser,1689321600,0.0,0.0,0.27,0.0,0.0,0.29,0.29,0.05,0.05,0.29,43.58,11.31,4.84,2.23,2.14,0.4,2.14,2.14,22.8,40.4,2.14,0.41,0.0,24.5,0.0,45.6,0.0,56.1,1.0,47.047642,-122.882019,10.294,7,58,600,2,e00fce68afb0ec9f5087904a,2023-07-14 08:00:02.056000+00:00,2023-07-14T08:00:02.288Z,2023-07-14T08:00:02.288Z
m9KeqMcSVk,MOOSPMv3Parser,1689321600,1.53,1.53,2.19,2.83,2.83,2.3,2.3,3.2,3.2,2.3,510.98,142.52,6076.45,25.53,17.14,2.11,17.22,17.22,21.3,39.9,17.22,0.42,23.6,23.2,42.9,43.6,18.651,269.1,1.7,36.138992,-120.368431,169.886993,10,58,600,1,e00fce6808784ceaf209f949,2023-07-14 08:00:02.416000+00:00,2023-07-14T08:00:02.666Z,2023-07-14T08:00:02.666Z
HpuIZgwA5X,MOOSPMv3Parser,1689321601,1.37,1.37,2.23,2.33,2.33,2.35,2.36,2.58,2.58,2.37,466.69,125.44,7283.04,19.65,17.43,1.19,17.51,17.52,22.7,35.9,17.52,0.45,23.9,25.1,38.7,36.4,29.964,89.2,3.0,36.010521,-120.140297,205.007004,7,58,600,1,e00fce6850cac69f647dc199,2023-07-14 08:00:02.482000+00:00,2023-07-14T08:00:02.740Z,2023-07-14T08:00:02.740Z
KT9JHYrkjj,MOOSPMv3Parser,1689321601,5.57,5.57,4.12,8.13,8.13,4.32,4.32,8.85,8.85,4.32,1241.65,325.79,29908.15,48.43,32.2,3.71,32.33,32.33,20.8,44.7,32.34,0.43,21.8,22.4,54.6,53.6,3.016,302.8,1.0,36.529228,-119.293396,77.855003,10,58,600,1,e00fce68e739ecbcf9e91965,2023-07-14 08:00:02.640000+00:00,2023-07-14T08:00:02.816Z,2023-07-14T08:00:02.816Z
JGUQqKzdMH,MOOSPMv3Parser,1689321601,-9.0,-9.0,2.16,-9.0,-9.0,2.28,2.3,-9.0,-9.0,2.31,-9.0,-9.0,69.0,-9.0,16.93,-9.0,16.99,17.0,-9.9,-9.9,17.0,0.53,23.5,22.9,43.0,45.3,20.593,244.7,3276.7,36.139011,-120.36837,177.738998,5,58,600,2,e00fce68e28dcbc9a589be10,2023-07-14 08:00:02.817000+00:00,2023-07-14T08:00:03.058Z,2023-07-14T08:00:03.058Z
vtTtMiAD9P,MOOSPMv3Parser,1689321600,1.44,1.44,1.96,2.31,2.31,2.07,2.1,2.61,2.61,2.11,461.55,125.0,32556.59,19.01,15.28,0.98,15.36,15.37,21.8,38.0,15.38,0.46,23.1,24.1,42.2,37.3,18.194,129.0,5.0,36.130001,-120.333908,162.783997,8,58,599,1,e00fce68f12da1a0c5de6248,2023-07-14 08:00:03.129000+00:00,2023-07-14T08:00:03.350Z,2023-07-14T08:00:03.350Z
JNUb3kCwvj,MOOSPMv3Parser,1689321601,1.61,1.61,1.7,2.6,2.6,1.79,1.79,2.89,2.89,1.79,551.7,132.28,70533.76,19.87,13.34,1.8,13.39,13.39,21.7,40.4,13.39,0.42,23.4,24.0,43.5,40.9,18.196,215.6,1.0,36.634262,-120.382339,17.386,6,58,600,1,e00fce6835b6173deb1a1f49,2023-07-14 08:00:03.299000+00:00,2023-07-14T08:00:03.519Z,2023-07-14T08:00:03.519Z
PCXEBAexFT,MOOSPMv3Parser,1689321601,1.17,1.17,1.74,2.16,2.16,1.85,1.87,2.33,2.33,1.88,435.04,119.34,74627.06,16.65,13.57,1.49,13.65,13.65,23.4,29.0,13.66,0.46,25.6,25.8,34.1,33.8,0.002,166.4,2.0,35.613243,-119.68956,60.52,10,58,600,1,e00fce68e88237db75a60608,2023-07-14 08:00:04.357000+00:00,2023-07-14T08:00:04.535Z,2023-07-14T08:00:04.535Z
nzArVx9xHL,MOOSPMv3Parser,1689321601,2.48,2.48,3.03,4.33,4.33,3.2,3.22,5.2,5.2,3.23,573.72,180.32,82667.27,33.97,23.67,3.51,23.79,23.8,0.2,0.2,23.8,0.45,23.1,22.7,55.9,56.2,9.074,231.6,1.0,36.433872,-119.922844,27.636999,8,58,600,1,e00fce6876826e255108c6bd,2023-07-14 08:00:05.043000+00:00,2023-07-14T08:00:05.242Z,2023-07-14T08:00:05.242Z
0H4Rl5TAnl,MOOSPMv3Parser,1689322201,1.47,1.47,1.93,2.45,2.45,2.02,2.02,2.51,2.51,2.02,413.69,123.62,146317.78,16.3,15.1,0.72,15.16,15.17,24.2,39.6,15.17,0.43,26.5,26.5,40.7,40.9,17.381,220.0,3.0,36.785313,-119.773148,61.358002,12,58,600,1,e00fce6856818e5885f65487,2023-07-14 08:09:57.930000+00:00,2023-07-14T08:09:58.103Z,2023-07-14T08:09:58.103Z
