objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
mSDGAFA0FQ,MOOSPMv3Parser,1743692401,4.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,805.0,236.0,56252,41.0,31.0,2.0,31.0,31.0,10.0,85.0,31.0,1.0,10,8.0,76,84.0,508.283,262.0,1.0,36.78537,-119.773071,89.109001,7,600,58,3,e00fce6856818e5885f65487,2025-04-03 15:00:01.622000+00:00,2025-04-03T15:00:01.842Z,2025-04-03T15:00:01.842Z
afoCI3wagm,MOOSPMv3Parser,1743692401,4.17,4.17,6553.5,6.17,6.17,6553.5,6553.5,6.52,6.52,6553.5,801.83,238.71,14200614,32.78,6553.5,1.7,6553.5,6553.5,5.9,86.4,6553.5,65.54,0,327.7,0,655.3,10.457,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2025-04-03 15:00:02.189000+00:00,2025-04-03T15:00:02.496Z,2025-04-03T15:00:02.496Z
AJCS1erACS,MOOSPMv3Parser,1743692401,4.0,4.0,4.0,6.0,6.0,4.0,4.0,7.0,7.0,4.0,899.0,252.0,106954,35.0,28.0,2.0,28.0,28.0,7.0,76.0,28.0,1.0,7,6.0,78,81.0,8.681,336.0,1.0,36.138958,-120.368378,189.455002,6,600,58,3,e00fce68f12da1a0c5de6248,2025-04-03 15:00:03.327000+00:00,2025-04-03T15:00:03.522Z,2025-04-03T15:00:03.522Z
06cJBKBYlh,MOOSPMv3Parser,1743692401,4.0,4.0,4.0,6.0,6.0,4.0,4.0,7.0,7.0,4.0,870.0,233.0,48448,39.0,31.0,3.0,31.0,31.0,7.0,93.0,31.0,0.0,7,5.0,77,83.0,10.82,320.0,1.0,36.138996,-120.368355,189.893005,6,600,58,3,e00fce68e88237db75a60608,2025-04-03 15:00:03.534000+00:00,2025-04-03T15:00:03.806Z,2025-04-03T15:00:03.806Z
Vw3tF6oGQN,MOOSPMv3Parser,1743692401,3.0,3.0,3.0,6.0,6.0,4.0,4.0,7.0,7.0,4.0,650.0,200.0,69631,36.0,27.0,5.0,27.0,27.0,0.0,0.0,27.0,0.0,5,6.0,84,83.0,99.236,391.0,1.0,36.13884,-120.368507,179.673996,6,600,58,3,e00fce6876826e255108c6bd,2025-04-03 15:00:03.799000+00:00,2025-04-03T15:00:05.424Z,2025-04-03T15:00:05.424Z
uSeCMYYr2w,MOOSPMv3Parser,1743693001,4.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,812.0,240.0,56279,40.0,32.0,2.0,32.0,32.0,11.0,83.0,32.0,1.0,10,9.0,75,80.0,508.465,255.0,1.0,36.7855,-119.773117,72.010002,8,600,58,3,e00fce6856818e5885f65487,2025-04-03 15:10:01.859000+00:00,2025-04-03T15:10:02.100Z,2025-04-03T15:10:02.100Z
TA4cMHAlUS,MOOSPMv3Parser,1743693001,5.64,5.64,6553.5,7.72,7.72,6553.5,6553.5,8.13,8.13,6553.5,1016.86,298.24,14207270,42.67,6553.5,1.95,6553.5,6553.5,6.3,86.9,6553.5,65.54,0,327.7,0,655.3,11.778,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2025-04-03 15:10:02.290000+00:00,2025-04-03T15:10:02.517Z,2025-04-03T15:10:02.517Z
2ihGnr9xUT,MOOSPMv3Parser,1743693001,6.0,6.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,1116.0,312.0,106981,39.0,30.0,2.0,30.0,30.0,8.0,75.0,30.0,1.0,8,7.0,78,81.0,10.852,303.0,1.0,36.138981,-120.36834,176.481003,7,600,58,3,e00fce68f12da1a0c5de6248,2025-04-03 15:10:03.182000+00:00,2025-04-03T15:10:03.395Z,2025-04-03T15:10:03.395Z
IHqcauuN6G,MOOSPMv3Parser,1743693001,5.0,5.0,4.0,7.0,7.0,4.0,4.0,8.0,8.0,4.0,1031.0,277.0,48475,43.0,32.0,3.0,32.0,32.0,8.0,92.0,32.0,0.0,8,6.0,77,83.0,13.074,296.0,1.0,36.138958,-120.368271,173.770996,6,600,58,3,e00fce68e88237db75a60608,2025-04-03 15:10:03.569000+00:00,2025-04-03T15:10:03.783Z,2025-04-03T15:10:03.783Z
OAlwRybbUU,MOOSPMv3Parser,1743693001,4.0,4.0,4.0,7.0,7.0,4.0,4.0,8.0,8.0,4.0,858.0,260.0,69658,42.0,31.0,3.0,31.0,31.0,0.0,0.0,31.0,0.0,5,6.0,85,83.0,99.099,366.0,1.0,36.138779,-120.368362,176.320999,5,600,58,3,e00fce6876826e255108c6bd,2025-04-03 15:10:03.938000+00:00,2025-04-03T15:10:04.127Z,2025-04-03T15:10:04.127Z
Q8uoBzwA6F,MOOSPMv3Parser,1743693601,4.0,4.0,4.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,839.0,245.0,56308,39.0,33.0,2.0,33.0,33.0,12.0,81.0,33.0,0.0,11,10.0,73,77.0,508.501,258.0,1.0,36.785458,-119.773132,72.393997,7,600,58,3,e00fce6856818e5885f65487,2025-04-03 15:20:02.019000+00:00,2025-04-03T15:20:02.186Z,2025-04-03T15:20:02.186Z
QC1BDCHBbh,MOOSPMv3Parser,1743693601,4.98,4.98,6553.5,7.43,7.43,6553.5,6553.5,7.96,7.96,6553.5,931.38,278.89,14213926,39.03,6553.5,3.7,6553.5,6553.5,6.8,84.6,6553.5,65.54,0,327.7,0,655.3,13.408,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2025-04-03 15:20:02.253000+00:00,2025-04-03T15:20:02.471Z,2025-04-03T15:20:02.471Z
