objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
ABQCxn6fDJ,MOOSPMv3Parser,1689314400,0.0,0.0,0.24,0.0,0.0,0.24,0.24,0.0,0.0,0.24,23.33,6.0,1.59,1.22,1.82,0.0,1.83,1.83,21.9,40.3,1.83,0.41,0.0,24.6,0.0,42.5,0.0,97.4,1.0,47.047611,-122.882164,7.719,7,58,95,2,e00fce68afb0ec9f5087904a,2023-07-14 06:00:01.881000+00:00,2023-07-14T06:00:02.079Z,2023-07-14T06:00:02.079Z
pcYQz4724O,MOOSPMv3Parser,1689314400,1.14,1.14,1.67,2.11,2.11,1.76,1.76,2.39,2.39,1.77,397.1,112.16,5894.32,17.96,13.07,1.56,13.13,13.14,24.3,33.7,13.14,0.43,27.5,26.8,34.8,37.2,38.483,30.7,4.0,36.138977,-120.368362,185.501999,9,58,600,1,e00fce6808784ceaf209f949,2023-07-14 06:00:02.240000+00:00,2023-07-14T06:00:02.462Z,2023-07-14T06:00:02.462Z
7fY9qah8WE,MOOSPMv3Parser,1689314401,1.56,1.56,2.06,2.41,2.41,2.16,2.17,2.51,2.51,2.17,470.08,124.64,7087.85,20.1,16.11,0.94,16.17,16.18,24.9,32.5,16.18,0.45,26.5,27.6,35.3,33.5,37.835,68.3,3.0,36.010506,-120.140404,211.182007,5,58,600,1,e00fce6850cac69f647dc199,2023-07-14 06:00:02.483000+00:00,2023-07-14T06:00:02.721Z,2023-07-14T06:00:02.721Z
FK9nyI7oro,MOOSPMv3Parser,1689314401,1.89,1.89,2.4,3.65,3.65,2.6,2.66,4.33,4.33,2.69,567.53,153.31,29662.06,29.87,18.74,2.97,18.88,18.9,23.0,36.9,18.91,0.47,25.3,25.1,43.4,44.8,14.572,274.4,1.0,36.529259,-119.293434,73.253998,10,58,600,1,e00fce68e739ecbcf9e91965,2023-07-14 06:00:02.636000+00:00,2023-07-14T06:00:02.818Z,2023-07-14T06:00:02.818Z
EADXIBaieC,MOOSPMv3Parser,1689314400,1.59,1.59,1.95,2.49,2.49,2.08,2.11,2.76,2.76,2.13,470.0,132.2,32323.48,18.55,15.21,1.37,15.31,15.32,24.6,37.7,15.32,0.45,26.8,27.4,40.6,37.5,27.908,21.0,6.0,36.129997,-120.333832,161.358002,5,58,600,1,e00fce68f12da1a0c5de6248,2023-07-14 06:00:03.005000+00:00,2023-07-14T06:00:03.197Z,2023-07-14T06:00:03.197Z
9RKs7GuWBl,MOOSPMv3Parser,1689314400,-9.0,-9.0,1.78,-9.0,-9.0,1.94,2.0,-9.0,-9.0,2.03,-9.0,-9.0,45.21,-9.0,13.86,-9.0,13.97,13.98,0.0,0.0,13.98,0.57,27.2,26.5,35.3,38.7,41.2,15.1,3276.7,36.138985,-120.368462,177.479996,0,58,600,1,e00fce68e28dcbc9a589be10,2023-07-14 06:00:03.285000+00:00,2023-07-14T06:00:03.545Z,2023-07-14T06:00:03.545Z
Y8bl3VVRbG,MOOSPMv3Parser,1689314401,3.8,3.8,2.57,5.31,5.31,2.69,2.69,6.06,6.06,2.7,920.13,236.14,70151.11,33.63,20.08,2.36,20.15,20.16,23.4,40.3,20.16,0.44,25.9,26.6,41.8,39.8,18.647,274.2,1.0,36.634209,-120.382339,16.488001,7,58,602,1,e00fce6835b6173deb1a1f49,2023-07-14 06:00:03.716000+00:00,2023-07-14T06:00:03.911Z,2023-07-14T06:00:03.911Z
j1EZmPxZNh,MOOSPMv3Parser,1689314401,2.46,2.46,2.15,3.45,3.45,2.27,2.29,3.67,3.67,2.29,599.54,164.22,74472.49,23.1,16.83,1.07,16.9,16.91,25.0,26.4,16.91,0.44,27.4,27.8,30.8,30.6,0.007,141.5,2.0,35.613235,-119.689606,56.803001,10,58,600,1,e00fce68e88237db75a60608,2023-07-14 06:00:04.194000+00:00,2023-07-14T06:00:04.358Z,2023-07-14T06:00:04.358Z
nq8DvT28Hr,MOOSPMv3Parser,1689314401,2.98,2.98,3.63,5.0,5.0,3.81,3.81,5.85,5.85,3.81,662.3,205.52,82405.2,36.8,28.4,3.21,28.51,28.51,0.2,0.0,28.52,0.42,25.6,25.1,51.8,52.2,6.815,271.3,1.4,36.433914,-119.922806,30.080999,6,58,600,1,e00fce6876826e255108c6bd,2023-07-14 06:00:04.944000+00:00,2023-07-14T06:00:05.138Z,2023-07-14T06:00:05.138Z
aIJvWsTD3x,MOOSPMv3Parser,1689314460,0.0,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.0,0.27,57.0,15.0,4.39,3.89,2.15,0.0,2.15,2.15,21.9,40.8,2.15,0.41,0.0,24.6,0.0,43.9,0.0,101.7,1.0,47.047611,-122.882164,7.719,7,58,60,2,e00fce68afb0ec9f5087904a,2023-07-14 06:01:01.887000+00:00,2023-07-14T06:01:02.073Z,2023-07-14T06:01:02.073Z
y68brroggY,MOOSPMv3Parser,1689314520,0.0,0.0,0.25,0.0,0.0,0.26,0.26,0.0,0.0,0.26,78.0,22.0,6.08,6.0,1.93,0.0,1.94,1.94,21.9,41.0,1.94,0.41,0.0,24.6,0.0,44.3,0.0,103.1,1.0,47.047611,-122.882164,7.719,7,58,60,2,e00fce68afb0ec9f5087904a,2023-07-14 06:02:01.879000+00:00,2023-07-14T06:02:02.106Z,2023-07-14T06:02:02.106Z
OqXPLeNCFy,MOOSPMv3Parser,1689314880,-9.0,-9.0,0.23,-9.0,-9.0,0.26,0.27,-9.0,-9.0,0.28,-9.0,-9.0,1.52,-9.0,1.76,-9.0,1.79,1.79,0.0,0.0,1.79,0.42,0.0,25.2,0.0,43.7,0.0,34.1,0.6,0.0,0.0,0.0,0,58,97,2,e00fce68afb0ec9f5087904a,2023-07-14 06:08:02.114000+00:00,2023-07-14T06:08:02.293Z,2023-07-14T06:08:02.293Z
kbHtmtkhDn,MOOSPMv3Parser,1689315000,2.22,2.22,2.36,3.34,3.34,2.48,2.48,3.6,3.6,2.48,539.03,159.74,146131.77,23.27,18.47,1.33,18.54,18.54,26.1,38.3,18.54,0.4,29.1,28.9,38.6,39.4,28.064,34.3,3.0,36.785534,-119.77327,58.161999,0,58,600,1,e00fce6856818e5885f65487,2023-07-14 06:09:57.930000+00:00,2023-07-14T06:09:58.130Z,2023-07-14T06:09:58.130Z
BG5xpCBx1P,MOOSPMv3Parser,1689315000,-9.0,-9.0,0.28,-9.0,-9.0,0.31,0.31,-9.0,-9.0,0.31,-9.0,-9.0,3.2,-9.0,2.23,-9.0,2.24,2.24,0.0,0.0,2.24,0.38,0.0,25.4,0.0,44.2,0.0,96.4,1.0,47.047611,-122.882164,7.712,0,58,118,2,e00fce68afb0ec9f5087904a,2023-07-14 06:10:02.086000+00:00,2023-07-14T06:10:02.285Z,2023-07-14T06:10:02.285Z
WAZVZLAoGB,MOOSPMv3Parser,1689315000,2.14,2.14,2.24,3.28,3.28,2.35,2.35,3.56,3.56,2.35,564.01,158.29,5909.59,24.32,17.54,1.49,17.6,17.6,24.1,33.9,17.61,0.42,27.5,26.6,35.6,37.5,35.952,28.2,4.0,36.139072,-120.368248,186.421005,9,58,600,1,e00fce6808784ceaf209f949,2023-07-14 06:10:02.239000+00:00,2023-07-14T06:10:02.491Z,2023-07-14T06:10:02.491Z
NRYSpDQGw9,MOOSPMv3Parser,1689315001,1.68,1.68,2.14,2.71,2.71,2.27,2.3,2.9,2.9,2.31,506.49,131.03,7102.36,20.79,16.71,1.52,16.81,16.81,24.7,34.2,16.82,0.46,26.7,27.5,37.6,36.0,37.708,86.6,3.0,36.010509,-120.140419,213.132996,7,58,600,1,e00fce6850cac69f647dc199,2023-07-14 06:10:02.546000+00:00,2023-07-14T06:10:02.737Z,2023-07-14T06:10:02.737Z
xKdMdEhaOS,MOOSPMv3Parser,1689315001,1.73,1.73,2.18,3.05,3.05,2.31,2.33,3.66,3.66,2.34,491.94,135.24,29676.81,26.43,17.01,2.14,17.1,17.1,22.9,36.8,17.11,0.45,25.1,25.0,42.0,44.2,18.258,190.0,1.0,36.529232,-119.293457,70.488998,10,58,600,1,e00fce68e739ecbcf9e91965,2023-07-14 06:10:02.552000+00:00,2023-07-14T06:10:02.757Z,2023-07-14T06:10:02.757Z
C0T4bI79mK,MOOSPMv3Parser,1689315001,1.68,1.68,2.1,2.7,2.7,2.23,2.25,3.0,3.0,2.26,508.25,140.78,32337.87,22.77,16.44,1.47,16.52,16.53,24.4,38.0,16.53,0.45,26.3,27.2,41.9,37.6,26.438,47.4,6.0,36.130051,-120.333961,149.246002,5,58,600,1,e00fce68f12da1a0c5de6248,2023-07-14 06:10:03.072000+00:00,2023-07-14T06:10:03.246Z,2023-07-14T06:10:03.246Z
kbAgzWmEkp,MOOSPMv3Parser,1689315000,-9.0,-9.0,2.19,-9.0,-9.0,2.35,2.38,-9.0,-9.0,2.41,-9.0,-9.0,59.87,-9.0,17.06,-9.0,17.16,17.17,0.0,0.0,17.17,0.55,27.2,26.2,36.0,39.0,38.488,11.0,3276.7,36.139046,-120.368393,165.141998,11,58,600,1,e00fce68e28dcbc9a589be10,2023-07-14 06:10:03.283000+00:00,2023-07-14T06:10:03.454Z,2023-07-14T06:10:03.454Z
dVsTNavznY,MOOSPMv3Parser,1689315001,3.14,3.14,2.09,4.54,4.54,2.2,2.2,4.82,4.82,2.2,758.61,199.87,70399.27,29.33,16.4,1.95,16.46,16.47,23.4,39.4,16.47,0.43,26.1,26.5,39.9,38.7,21.776,214.6,1.0,36.634289,-120.382362,23.381001,5,58,600,1,e00fce6835b6173deb1a1f49,2023-07-14 06:10:04.411000+00:00,2023-07-14T06:10:04.613Z,2023-07-14T06:10:04.613Z
