objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
1yI0E4wCjH,MOOSPMv3Parser,1786730400,3,3,4,6,6,5,5,7,7,5,782,240,17875,45,33,4,33,33,0,0,33,0,25,28,48,45,20.102,55,5,36.433655,-119.923332,28.357,5,599,58,3,e00fce6876826e255108c6bd,2026-08-14 18:00:02.262000+00:00,2026-08-14T18:00:02.867Z,2026-08-14T18:00:02.867Z
rmt0fGqit9,MOOSPMv3Parser,1786730400,11,11,11,17,17,11,11,19,19,11,2171,610,114104,117,82,7,83,83,27,44,83,0,27,31,51,42,20.57,120,3,36.523293,-119.278839,72.537003,6,600,58,3,e00fce68f12da1a0c5de6248,2026-08-14 18:00:02.673000+00:00,2026-08-14T18:00:03.204Z,2026-08-14T18:00:03.204Z
Bj7YpTG6TX,MOOSPMv3Parser,1786730400,6,6,4,9,9,4,4,9,9,4,1300,360,69390,60,33,3,33,33,28,36,33,0,26,32,50,39,21.177,62,2,35.949497,-119.049919,129.130997,8,600,58,3,e00fce6808784ceaf209f949,2026-08-14 18:00:02.304000+00:00,2026-08-14T18:00:03.368Z,2026-08-14T18:00:03.368Z
vXzXNSHHNm,MOOSPMv3Parser,1786730401,4,4,2,6,6,2,2,6,6,2,1438,245,8590,36,18,2,18,18,25,49,18,0,24,28,53,48,26.84,69,3,36.502941,-120.325455,36.853001,6,600,58,3,e00fce68e77e43df92405fdb,2026-08-14 18:00:02.787000+00:00,2026-08-14T18:00:03.585Z,2026-08-14T18:00:03.585Z
0l9wc12O6k,MOOSPMv3Parser,1786730401,0,0,1,0,0,1,1,0,0,1,209,116,5951,14,8,1,8,8,31,32,8,0,28,35,42,31,24.969,155,1,36.139004,-120.368401,173.807999,12,600,58,3,e00fce686dc2ef0a68fa40b0,2026-08-14 18:00:02.805000+00:00,2026-08-14T18:00:03.826Z,2026-08-14T18:00:03.826Z
tDlpFbAZ9E,MOOSPMv3Parser,1786730401,4,4,3,5,5,3,3,5,5,3,786,222,68954,34,22,2,23,23,30,26,23,0,28,35,42,32,26.205,130,3277,2e-06,-0.004268,24191.423828,8,600,58,3,e00fce68e28dcbc9a589be10,2026-08-14 18:00:03.513000+00:00,2026-08-14T18:00:05.046Z,2026-08-14T18:00:05.046Z
hmBiuUt36x,MOOSPMv3Parser,1786730401,0,0,2,0,0,2,2,0,0,2,234,151,46308,21,15,1,16,16,32,30,16,0,27,35,44,32,18.407,196,1,36.139019,-120.368401,174.994003,7,600,58,3,e00fce68d6b773b56ce8baa0,2026-08-14 18:00:03.537000+00:00,2026-08-14T18:00:05.304Z,2026-08-14T18:00:05.304Z
xpYkmjxzd7,MOOSPMv3Parser,1786730401,5,5,4,7,7,4,4,7,7,4,1284,270,113713,44,28,3,28,28,27,41,28,0,25,31,49,39,24.39,56,2,36.762745,-119.798721,61.195,8,600,58,3,e00fce68e88237db75a60608,2026-08-14 18:00:04.677000+00:00,2026-08-14T18:00:05.381Z,2026-08-14T18:00:05.381Z
kFG5YDmsXd,MOOSPMv3Parser,1786730400,3,3,0,6,6,0,0,7,7,0,1017,259,0,49,0,4,0,0,27,34,0,2,26,31,47,39,22.956,91,19,36.187557,-119.82209,27.368,6,600,58,3,e00fce68e739ecbcf9e91965,2026-08-14 18:00:04.168000+00:00,2026-08-14T18:00:06.484Z,2026-08-14T18:00:06.484Z
2rhiPT4DLb,MOOSPMv3Parser,1786730400,2,2,2,3,3,2,2,3,3,2,593,140,51231,23,15,1,15,15,30,26,15,0,33,34,33,33,33.877,205,1,36.139,-120.368538,163.731995,5,600,58,3,e00fce6850cac69f647dc199,2026-08-14 18:00:06.075000+00:00,2026-08-14T18:00:07.580Z,2026-08-14T18:00:07.580Z
okNNfgYWAP,MOOSPMv3Parser,1786730460,1,1,2,1,1,2,2,1,1,2,426,114,12,18,14,0,14,14,22,58,14,1,0,25,0,60,0.096,92,1,0.0,0.0,0.0,0,36,58,3,e00fce68224f362bb7025f02,2026-08-14 18:01:01.860000+00:00,2026-08-14T18:01:02.027Z,2026-08-14T18:01:02.027Z
ZldLi4uqeU,MOOSPMv3Parser,1786730520,1,1,2,2,2,2,2,2,2,2,430,116,19,17,13,0,13,13,22,57,13,1,0,25,0,60,0.087,96,1,0.0,0.0,0.0,0,60,58,3,e00fce68224f362bb7025f02,2026-08-14 18:02:02.432000+00:00,2026-08-14T18:02:02.633Z,2026-08-14T18:02:02.633Z
7RFlG9RDTk,MOOSPMv3Parser,1786730640,1,1,2,3,3,2,2,3,3,2,472,138,11,21,13,1,14,14,22,57,14,1,0,28,0,49,0.045,0,0,0.0,0.0,0.0,0,20,58,3,e00fce68224f362bb7025f02,2026-08-14 18:04:03.013000+00:00,2026-08-14T18:04:03.192Z,2026-08-14T18:04:03.192Z
