objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
DeMfo8WIfq,MOOSPMv3Parser,1680300001,0.03,0.03,0.48,0.12,0.12,1.08,1.57,0.29,0.29,1.8,89.79,23.29,50.9,4.63,3.04,0.57,3.73,3.86,19.0,46.1,3.89,1.14,0,21.7,0,47.4,0.0,128.2,1,47.047611,-122.882141,48.821999,7,58,600,1,e00fce68afb0ec9f5087904a,2023-03-31 22:00:01.750000+00:00,2023-03-31T22:00:02.015Z,2023-03-31T22:00:02.015Z
wDe7njBQfv,MOOSPMv3Parser,1680300601,0.0,0.0,0.3,0.06,0.06,0.65,0.93,0.07,0.07,1.06,68.21,18.11,52.12,2.98,1.97,0.52,2.37,2.44,19.0,46.2,2.46,1.09,0,21.8,0,47.6,0.0,97.9,1,47.047596,-122.882042,40.863998,6,58,600,1,e00fce68afb0ec9f5087904a,2023-03-31 22:10:01.710000+00:00,2023-03-31T22:10:01.894Z,2023-03-31T22:10:01.894Z
KXNBG7YV5E,MOOSPMv3Parser,1680301201,0.0,0.0,0.25,0.0,0.0,0.52,0.73,0.0,0.0,0.83,56.11,13.85,53.18,2.06,1.67,0.0,1.97,2.02,19.0,46.3,2.04,1.05,0,21.8,0,47.6,0.0,102.3,1,47.047596,-122.882042,40.862,0,58,600,1,e00fce68afb0ec9f5087904a,2023-03-31 22:20:01.770000+00:00,2023-03-31T22:20:01.994Z,2023-03-31T22:20:01.994Z
gLXRfSgIcm,MOOSPMv3Parser,1680301801,0.0,0.0,0.2,0.0,0.0,0.4,0.56,0.0,0.0,0.63,42.21,11.19,54.08,1.46,1.35,0.09,1.57,1.62,18.9,46.4,1.63,1.01,0,21.8,0,47.8,0.0,105.7,1,47.047592,-122.88205,53.509998,7,58,600,1,e00fce68afb0ec9f5087904a,2023-03-31 22:30:01.754000+00:00,2023-03-31T22:30:02.007Z,2023-03-31T22:30:02.007Z
uTKW3oRmni,MOOSPMv3Parser,1680302401,0.0,0.0,0.18,0.0,0.0,0.33,0.46,0.0,0.0,0.51,42.85,11.73,54.94,1.84,1.24,0.17,1.41,1.44,18.9,46.7,1.45,0.95,0,21.8,0,48.1,0.001,115.5,1,47.047512,-122.881966,55.769001,6,58,600,1,e00fce68afb0ec9f5087904a,2023-03-31 22:40:01.865000+00:00,2023-03-31T22:40:02.062Z,2023-03-31T22:40:02.062Z
