objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
aaSdNGxEim,MOOSPMv3Parser,1681570801,8.33,8.33,9.91,14.35,14.35,10.4,10.41,16.88,16.88,10.41,1413.62,401.71,7726.48,94.26,77.56,9.64,77.83,77.86,4.9,64.3,77.87,0.42,0.6,2.9,94.3,74.8,23.027,99.4,2.0,40.594116,-105.075699,1515.521973,6,600,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:00:01.802000+00:00,2023-04-15T15:00:01.982Z,2023-04-15T15:00:01.982Z
2RHRpfixwh,MOOSPMv3Parser,1681571400,8.71,8.71,11.34,15.97,15.97,11.91,11.93,18.47,18.47,11.93,1509.72,426.41,7815.83,105.24,88.78,11.72,89.1,89.13,5.1,64.2,89.15,0.43,0.9,3.2,93.7,74.0,23.045,117.2,1.9,40.594219,-105.075859,1508.032959,5,599,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:10:00.841000+00:00,2023-04-15T15:10:01.008Z,2023-04-15T15:10:01.008Z
jSLWWmGE8y,MOOSPMv3Parser,1681571401,11.0,11.0,11.1,21.0,21.0,11.7,11.8,21.0,21.0,11.8,1746.0,517.0,4681758.0,141.0,86.7,13.0,87.1,87.1,5.2,64.1,87.1,0.44,0.9,3.2,93.7,74.0,22.815,113.0,1.0,40.594219,-105.075859,1508.032959,5,1,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:10:01.632000+00:00,2023-04-15T15:10:01.850Z,2023-04-15T15:10:01.850Z
tgQPLfQFgy,MOOSPMv3Parser,1681572000,9.49,9.49,11.61,17.21,17.21,12.35,12.49,20.51,20.51,12.56,1625.65,459.48,7893.88,114.68,90.73,13.13,91.21,91.27,5.2,63.3,91.29,0.43,1.0,3.4,92.6,72.0,22.549,114.9,1.0,40.594112,-105.075676,1535.034058,6,599,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:20:01.342000+00:00,2023-04-15T15:20:01.585Z,2023-04-15T15:20:01.585Z
JkXaLDWzVw,MOOSPMv3Parser,1681572001,10.0,10.0,12.1,18.0,18.0,13.5,14.1,21.0,21.0,14.4,1824.0,506.0,4728514.0,121.0,94.1,12.0,95.1,95.3,5.2,63.3,95.4,0.45,0.9,3.4,92.6,72.0,20.393,132.0,1.0,40.594112,-105.075676,1535.034058,6,1,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:20:01.630000+00:00,2023-04-15T15:20:01.799Z,2023-04-15T15:20:01.799Z
dudJxBeLqg,MOOSPMv3Parser,1681572600,10.27,10.27,13.27,19.11,19.11,14.05,14.16,23.01,23.01,14.21,1751.77,495.53,7983.24,126.44,103.78,14.8,104.27,104.32,5.1,63.9,104.34,0.43,1.1,3.3,91.9,72.5,21.322,144.6,1.0,40.594177,-105.075851,1508.892944,5,599,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:30:00.844000+00:00,2023-04-15T15:30:01.016Z,2023-04-15T15:30:01.016Z
M0D5n4O0cJ,MOOSPMv3Parser,1681573200,10.47,10.47,13.9,19.14,19.14,14.64,14.7,23.41,23.41,14.73,1813.34,505.74,8063.52,126.02,108.74,13.92,109.18,109.22,5.1,64.0,109.25,0.43,1.5,3.3,90.7,73.6,21.072,152.3,1.0,40.594135,-105.075798,1518.593994,7,600,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:40:00.859000+00:00,2023-04-15T15:40:01.083Z,2023-04-15T15:40:01.083Z
LjnDJmzHTA,MOOSPMv3Parser,1681573800,10.47,10.47,14.51,18.88,18.88,15.51,15.75,23.06,23.06,15.87,1775.92,508.43,8160.73,125.79,113.3,15.53,113.98,114.06,5.7,63.0,114.1,0.44,2.6,4.0,86.3,71.0,21.652,159.3,1.0,40.594109,-105.075775,1503.088013,7,600,58,1,e00fce6835b6173deb1a1f49,2023-04-15 15:50:00.840000+00:00,2023-04-15T15:50:01.024Z,2023-04-15T15:50:01.024Z
