objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
bcgEaMdHnf,MOOSPMv3Parser,1737223200,42,31,41,65,47,43,43,71,60,43,6986,2090,35373,415,319,26,320,320,13,59,320,0,10,11,60,56,176.799,93,2,36.785358,-119.773087,92.556,5,599,58,3,e00fce6856818e5885f65487,2025-01-18 17:59:59.862000+00:00,2025-01-18T18:00:00.056Z,2025-01-18T18:00:00.056Z
6sYlbLkOnw,MOOSPMv3Parser,1737223200,21,20,21,34,32,22,22,38,38,22,3890,1077,199148,225,165,21,166,166,15,31,166,0,13,16,47,40,515.941,77,5,36.13903,-120.368347,168.753006,8,600,58,3,e00fce68e739ecbcf9e91965,2025-01-18 18:00:03.621000+00:00,2025-01-18T18:00:03.902Z,2025-01-18T18:00:03.902Z
Rc7QMJp3aN,MOOSPMv3Parser,1737223201,24,22,19,39,36,20,21,43,43,21,4155,1205,30936,263,145,22,146,146,12,44,146,1,12,12,49,48,43.99,48,3277,36.138981,-120.36837,169.671997,7,600,58,3,e00fce68e28dcbc9a589be10,2025-01-18 18:00:03.854000+00:00,2025-01-18T18:00:04.066Z,2025-01-18T18:00:04.066Z
X0wvLSlHtJ,MOOSPMv3Parser,1737223801,22,21,21,36,33,22,22,40,40,22,4074,1129,30722,244,161,22,161,161,15,41,161,0,13,16,46,42,510.413,59,3,36.139008,-120.368431,175.300003,6,600,58,3,e00fce6835b6173deb1a1f49,2025-01-18 18:09:58.407000+00:00,2025-01-18T18:09:58.686Z,2025-01-18T18:09:58.686Z
Mpykn5Lq1S,MOOSPMv3Parser,1737223800,46,32,43,71,50,45,45,77,63,45,7585,2278,35605,456,335,28,336,336,13,57,336,0,10,12,60,54,186.812,99,2,36.785412,-119.773148,60.580002,5,600,58,3,e00fce6856818e5885f65487,2025-01-18 18:09:59.847000+00:00,2025-01-18T18:10:00.055Z,2025-01-18T18:10:00.055Z
SJoG0vznQ4,MOOSPMv3Parser,1737223800,20,20,21,33,31,22,23,36,36,23,3807,1055,199292,218,167,16,167,168,16,31,168,0,13,16,48,40,516.123,61,6,36.138996,-120.36837,167.388,7,600,58,3,e00fce68e739ecbcf9e91965,2025-01-18 18:10:03.608000+00:00,2025-01-18T18:10:03.895Z,2025-01-18T18:10:03.895Z
Lbgan9TdyR,MOOSPMv3Parser,1737223801,24,22,19,39,35,20,21,42,41,22,4144,1209,31060,267,145,21,146,146,13,42,146,1,12,13,49,48,45.776,41,3277,36.138958,-120.368393,178.895004,6,600,58,3,e00fce68e28dcbc9a589be10,2025-01-18 18:10:03.852000+00:00,2025-01-18T18:10:04.048Z,2025-01-18T18:10:04.048Z
Cca5WqoowC,MOOSPMv3Parser,1737224401,22,21,21,36,33,22,22,41,40,22,3969,1110,30863,246,163,24,164,164,15,40,164,0,14,16,45,40,510.464,60,3,36.139042,-120.368355,192.266998,6,600,58,3,e00fce6835b6173deb1a1f49,2025-01-18 18:19:58.500000+00:00,2025-01-18T18:19:58.719Z,2025-01-18T18:19:58.719Z
mCbN3CgqSw,MOOSPMv3Parser,1737224400,46,32,44,72,50,46,46,77,63,46,7632,2286,35904,454,343,28,344,344,14,55,344,0,11,13,58,53,179.023,88,2,36.785404,-119.773148,71.945999,8,600,58,3,e00fce6856818e5885f65487,2025-01-18 18:19:59.689000+00:00,2025-01-18T18:19:59.876Z,2025-01-18T18:19:59.876Z
yC63jGCNZo,MOOSPMv3Parser,1737224400,20,20,22,34,32,23,23,38,38,23,3863,1065,199440,235,169,20,170,170,16,30,170,0,13,17,46,39,515.956,57,7,36.13905,-120.368378,157.628006,7,600,58,3,e00fce68e739ecbcf9e91965,2025-01-18 18:20:03.469000+00:00,2025-01-18T18:20:03.671Z,2025-01-18T18:20:03.671Z
