objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
rb2qlIxTcy,MOOSPMv3Parser,1708394400,0.54,0.54,1.26,0.97,0.97,1.54,1.73,1.19,1.19,1.83,484.9,75.57,69978.98,10.66,9.61,1.06,9.87,9.92,17.2,44.5,9.93,0.65,17.2,18.0,48.3,48.0,0.077,32.9,3.0,36.785347,-119.773132,66.877998,0,600,58,1,e00fce68e77e43df92405fdb,2024-02-20 02:00:02.407000+00:00,2024-02-20T02:00:02.637Z,2024-02-20T02:00:02.637Z
jkHNpranTy,MOOSPMv3Parser,1708394401,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,226.0,62.0,1950.0,9.0,9.0,0.0,10.0,10.0,17.0,44.0,10.0,1.0,18.0,18.0,49.0,46.0,30.385,43.0,4.0,36.785412,-119.773239,51.882999,6,600,58,3,e00fce68f12da1a0c5de6248,2024-02-20 02:00:03.361000+00:00,2024-02-20T02:00:03.574Z,2024-02-20T02:00:03.574Z
HwzXGSmbIw,MOOSPMv3Parser,1708395001,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,239.0,69.0,157237.0,11.0,11.0,1.0,11.0,11.0,17.0,44.0,11.0,1.0,17.0,18.0,49.0,49.0,48.45,44.0,3.0,36.785381,-119.77314,65.492996,7,599,58,3,e00fce6856818e5885f65487,2024-02-20 02:09:57.487000+00:00,2024-02-20T02:09:57.726Z,2024-02-20T02:09:57.726Z
Y9seCo7Vst,MOOSPMv3Parser,1708395000,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,4.0,158.0,39.0,911.0,9.0,8.0,1.0,10.0,10.0,16.0,53.0,10.0,1.0,16.0,16.0,58.0,60.0,511.38,42.0,2.0,36.63422,-120.382347,23.556999,5,591,58,3,e00fce6835b6173deb1a1f49,2024-02-20 02:09:58.803000+00:00,2024-02-20T02:09:59.002Z,2024-02-20T02:09:59.002Z
niKgsJeZVt,MOOSPMv3Parser,1708395000,0.64,0.64,1.54,1.14,1.14,1.88,2.1,1.51,1.51,2.21,307.93,78.07,69988.43,11.33,11.78,1.05,12.08,12.14,16.9,46.2,12.15,0.63,17.1,17.7,49.9,50.2,0.083,30.0,3.0,36.785339,-119.773109,63.491001,13,600,58,1,e00fce68e77e43df92405fdb,2024-02-20 02:10:02.553000+00:00,2024-02-20T02:10:02.733Z,2024-02-20T02:10:02.733Z
jP8Km9NgLB,MOOSPMv3Parser,1708395001,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,279.0,79.0,1959.0,10.0,11.0,1.0,11.0,11.0,17.0,45.0,11.0,1.0,18.0,18.0,51.0,48.0,30.113,37.0,4.0,36.785404,-119.773079,66.904999,7,600,58,3,e00fce68f12da1a0c5de6248,2024-02-20 02:10:03.366000+00:00,2024-02-20T02:10:03.562Z,2024-02-20T02:10:03.562Z
Pm6hAbyH4Z,MOOSPMv3Parser,1708395601,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,258.0,75.0,157247.0,13.0,13.0,1.0,13.0,13.0,17.0,45.0,13.0,1.0,17.0,17.0,51.0,50.0,47.594,48.0,3.0,36.785362,-119.773354,51.150002,6,599,58,3,e00fce6856818e5885f65487,2024-02-20 02:19:57.309000+00:00,2024-02-20T02:19:57.518Z,2024-02-20T02:19:57.518Z
bZYHEoktzd,MOOSPMv3Parser,1708395600,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,216.0,51.0,916.0,12.0,10.0,2.0,12.0,12.0,16.0,54.0,12.0,1.0,16.0,15.0,59.0,63.0,511.421,36.0,2.0,36.634254,-120.382301,12.755,7,592,58,3,e00fce6835b6173deb1a1f49,2024-02-20 02:19:59.923000+00:00,2024-02-20T02:20:00.117Z,2024-02-20T02:20:00.117Z
6hpRvDREZy,MOOSPMv3Parser,1708395600,0.66,0.66,1.45,1.35,1.35,1.75,1.94,1.7,1.7,2.03,334.13,84.99,69997.88,13.84,11.12,1.6,11.38,11.43,16.6,47.5,11.45,0.62,16.9,17.4,51.2,51.5,0.081,32.9,3.0,36.785313,-119.773109,58.450001,11,600,58,1,e00fce68e77e43df92405fdb,2024-02-20 02:20:02.485000+00:00,2024-02-20T02:20:02.692Z,2024-02-20T02:20:02.692Z
KCKiW2epuL,MOOSPMv3Parser,1708395601,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,294.0,80.0,1968.0,13.0,11.0,1.0,12.0,12.0,16.0,46.0,12.0,1.0,17.0,18.0,52.0,49.0,28.695,41.0,4.0,36.785408,-119.773117,72.129997,6,600,58,3,e00fce68f12da1a0c5de6248,2024-02-20 02:20:03.364000+00:00,2024-02-20T02:20:03.621Z,2024-02-20T02:20:03.621Z
A8ZRl41Ha2,MOOSPMv3Parser,1708396201,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,253.0,74.0,157255.0,12.0,12.0,1.0,12.0,12.0,16.0,46.0,12.0,1.0,17.0,17.0,51.0,51.0,47.773,59.0,2.0,36.785389,-119.773094,62.814999,11,599,58,3,e00fce6856818e5885f65487,2024-02-20 02:29:57.296000+00:00,2024-02-20T02:29:57.516Z,2024-02-20T02:29:57.516Z
QttgvYAF1j,MOOSPMv3Parser,1708396200,0.0,0.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,202.0,51.0,923.0,13.0,11.0,2.0,12.0,12.0,16.0,55.0,13.0,1.0,16.0,15.0,62.0,65.0,511.436,35.0,3.0,36.634193,-120.382309,25.945,7,592,58,3,e00fce6835b6173deb1a1f49,2024-02-20 02:29:58.998000+00:00,2024-02-20T02:29:59.182Z,2024-02-20T02:29:59.182Z
gpaFM7BZq2,MOOSPMv3Parser,1708396200,0.67,0.67,1.58,1.38,1.38,1.82,1.95,1.51,1.51,2.01,350.43,84.26,70008.48,13.37,12.25,1.19,12.45,12.49,16.3,48.5,12.49,0.57,16.7,17.0,52.0,52.3,0.117,43.4,3.0,36.785355,-119.773216,63.816002,8,600,58,1,e00fce68e77e43df92405fdb,2024-02-20 02:30:02.484000+00:00,2024-02-20T02:30:02.706Z,2024-02-20T02:30:02.706Z
