objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
r3nk0F7LhQ,MOOSPMv3Parser,1788944400,4,4,6,7,7,6,7,8,8,7,555,426,56082,60,43,6,43,43,24,49,44,1,28,26,46,56,3.13,220,1,35.963097,-119.291893,33.465,6,600,58,3,e00fce68d6b773b56ce8baa0,2026-09-09 09:00:03.002000+00:00,2026-09-09T09:00:03.141Z,2026-09-09T09:00:03.141Z
coCd6sstTe,MOOSPMv3Parser,1788944400,2,2,1,3,3,2,2,4,4,2,1256,183,36292,18,11,2,12,12,23,36,12,1,25,25,41,44,38.09,75,3,36.503025,-120.325462,44.244999,8,600,58,3,e00fce68e77e43df92405fdb,2026-09-09 09:00:03.083000+00:00,2026-09-09T09:00:03.268Z,2026-09-09T09:00:03.268Z
DI09kJBViV,MOOSPMv3Parser,1788944401,13,13,5,16,16,5,5,16,16,5,2469,680,62123,69,38,3,38,38,22,64,38,0,24,24,59,58,8.271,243,1,36.523151,-119.278748,80.602997,6,600,58,3,e00fce68f12da1a0c5de6248,2026-09-09 09:00:03.273000+00:00,2026-09-09T09:00:03.437Z,2026-09-09T09:00:03.437Z
abdCjY9aQS,MOOSPMv3Parser,1788944400,8,8,4,10,10,4,5,11,11,5,1973,434,101763,52,31,2,32,32,23,60,32,0,25,25,53,53,14.478,227,1,35.7752,-119.238419,49.404999,0,600,58,3,e00fce68e88237db75a60608,2026-09-09 09:00:03.298000+00:00,2026-09-09T09:00:03.473Z,2026-09-09T09:00:03.473Z
HPE3rMeIdS,MOOSPMv3Parser,1788944401,2,2,0,4,4,0,0,4,4,0,802,183,0,26,0,3,0,0,25,26,0,2,27,27,35,37,26.261,95,47,36.187485,-119.822006,19.594999,12,600,58,3,e00fce68e739ecbcf9e91965,2026-09-09 09:00:03.406000+00:00,2026-09-09T09:00:03.601Z,2026-09-09T09:00:03.601Z
lyI9ZHPb56,MOOSPMv3Parser,1788944401,2,2,2,2,2,2,2,3,3,2,479,131,179509,16,13,1,13,13,26,23,13,1,28,29,32,33,38.025,44,3277,3e-05,-0.004183,1295.052002,7,600,58,3,e00fce68e28dcbc9a589be10,2026-09-09 09:00:03.484000+00:00,2026-09-09T09:00:03.671Z,2026-09-09T09:00:03.671Z
zKdB1RRYsg,MOOSPMv3Parser,1788944401,1,1,2,2,2,2,2,2,2,2,461,107,276134,14,13,1,13,13,22,35,13,1,26,24,36,44,24.049,222,1,36.138863,-120.368507,158.091003,7,600,58,3,e00fce6850cac69f647dc199,2026-09-09 09:00:04.103000+00:00,2026-09-09T09:00:04.289Z,2026-09-09T09:00:04.289Z
L3mf3DWWCm,MOOSPMv3Parser,1788944401,7,7,3,8,8,4,5,9,9,5,1435,377,205425,41,21,3,22,22,22,51,22,1,23,24,53,51,8.627,207,1,35.949692,-119.049934,115.612,6,600,58,3,e00fce6808784ceaf209f949,2026-09-09 09:00:04.673000+00:00,2026-09-09T09:00:04.826Z,2026-09-09T09:00:04.826Z
fUStAzoRd7,MOOSPMv3Parser,1788944400,3,3,3,4,4,4,4,6,6,4,668,205,150955,34,22,4,22,23,0,0,23,1,24,25,44,44,10.358,229,1,36.433594,-119.923332,22.663,10,600,58,3,e00fce6876826e255108c6bd,2026-09-09 09:00:04.781000+00:00,2026-09-09T09:00:04.965Z,2026-09-09T09:00:04.965Z
sRpNCth3ST,MOOSPMv3Parser,1788944400,0,0,2,0,0,2,2,0,0,3,187,101,29473,13,11,2,12,12,23,38,12,1,25,26,40,39,19.719,177,1,36.198917,-120.104385,85.546997,10,600,58,3,e00fce686dc2ef0a68fa40b0,2026-09-09 09:00:18.834000+00:00,2026-09-09T09:00:18.988Z,2026-09-09T09:00:18.988Z
kUY2CR27yz,MOOSPMv3Parser,1788945000,0,0,2,0,0,2,2,0,0,3,189,102,29483,11,11,1,12,12,24,37,12,1,25,26,39,39,22.57,126,1,36.198917,-120.104385,85.549004,0,600,58,3,e00fce686dc2ef0a68fa40b0,2026-09-09 09:10:02.449000+00:00,2026-09-09T09:10:02.619Z,2026-09-09T09:10:02.619Z
cabPZeCwRZ,MOOSPMv3Parser,1788945000,2,2,2,3,3,2,2,3,3,3,1277,180,36302,17,12,1,12,12,23,36,12,1,25,25,41,44,38.885,58,4,36.503033,-120.325462,30.290001,6,600,58,3,e00fce68e77e43df92405fdb,2026-09-09 09:10:02.735000+00:00,2026-09-09T09:10:02.923Z,2026-09-09T09:10:02.923Z
EwTq4iYOhU,MOOSPMv3Parser,1788945001,12,12,5,15,15,5,5,15,15,5,2353,642,62154,65,35,3,36,36,22,66,36,0,22,24,67,60,6.473,220,1,36.523254,-119.278809,78.524002,8,600,58,3,e00fce68f12da1a0c5de6248,2026-09-09 09:10:02.953000+00:00,2026-09-09T09:10:03.124Z,2026-09-09T09:10:03.124Z
DwKOxxl3FD,MOOSPMv3Parser,1788945000,8,8,4,10,10,4,4,10,10,4,1958,435,101789,49,30,3,30,30,23,61,30,0,25,25,54,54,14.116,219,1,35.775051,-119.238503,69.18,15,600,58,3,e00fce68e88237db75a60608,2026-09-09 09:10:03.120000+00:00,2026-09-09T09:10:03.262Z,2026-09-09T09:10:03.262Z
CvLEzTUBrC,MOOSPMv3Parser,1788945001,1,1,2,2,2,2,2,2,2,3,490,111,276150,15,13,1,14,14,22,35,14,1,26,23,36,44,23.129,230,1,36.139015,-120.36837,167.095993,10,600,58,3,e00fce6850cac69f647dc199,2026-09-09 09:10:03.140000+00:00,2026-09-09T09:10:03.310Z,2026-09-09T09:10:03.310Z
ZvqQZ4hac5,MOOSPMv3Parser,1788945000,4,4,5,7,7,6,6,8,8,7,536,407,56117,60,41,7,42,42,24,49,42,1,28,26,46,57,2.612,217,1,35.963097,-119.291893,33.463001,0,600,58,3,e00fce68d6b773b56ce8baa0,2026-09-09 09:10:03.235000+00:00,2026-09-09T09:10:03.419Z,2026-09-09T09:10:03.419Z
qkhcmFR2g0,MOOSPMv3Parser,1788945001,2,2,0,4,4,0,0,4,4,0,775,182,0,27,0,2,0,0,25,28,0,2,26,27,37,38,24.055,114,46,36.187469,-119.822021,6.783,12,600,58,3,e00fce68e739ecbcf9e91965,2026-09-09 09:10:03.401000+00:00,2026-09-09T09:10:03.554Z,2026-09-09T09:10:03.554Z
hKnLMkjYfo,MOOSPMv3Parser,1788945001,2,2,2,3,3,2,2,3,3,2,511,140,179518,19,14,1,14,14,26,23,14,1,28,29,32,33,39.179,34,3277,3e-05,-0.004183,1295.052002,7,600,58,3,e00fce68e28dcbc9a589be10,2026-09-09 09:10:03.485000+00:00,2026-09-09T09:10:03.711Z,2026-09-09T09:10:03.711Z
boDiQx9Sn6,MOOSPMv3Parser,1788945000,3,3,3,4,4,3,4,6,6,4,657,198,150972,31,20,5,21,21,0,0,21,1,24,25,43,43,9.725,306,1,36.433598,-119.923393,22.302999,10,600,58,3,e00fce6876826e255108c6bd,2026-09-09 09:10:04.572000+00:00,2026-09-09T09:10:04.791Z,2026-09-09T09:10:04.791Z
0GLiBhQtMo,MOOSPMv3Parser,1788945001,6,6,2,8,8,3,4,8,8,4,1310,342,205441,36,19,2,20,20,22,52,20,1,23,24,54,51,8.595,202,1,35.949505,-119.04995,96.973999,7,600,58,3,e00fce6808784ceaf209f949,2026-09-09 09:10:04.744000+00:00,2026-09-09T09:10:04.977Z,2026-09-09T09:10:04.977Z
sOZAjgYFSN,MOOSPMv3Parser,1788945600,0,0,1,0,0,2,2,0,0,2,201,113,29491,14,11,1,12,12,23,38,12,1,24,26,42,40,17.651,198,1,36.198879,-120.104424,77.217003,10,600,58,3,e00fce686dc2ef0a68fa40b0,2026-09-09 09:20:02.780000+00:00,2026-09-09T09:20:02.962Z,2026-09-09T09:20:02.962Z
