"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"1","tP4UJFtq0K","MOOSPMv3Parser",1695168000,9,9,6,13,13,6,6,14,14,6,1738,475,26854,83,45,5,45,45,29,33,45,0,30,33,35,32,42.753,29,1,36.634281,-120.38237,21.6,6,599,58,3,"e00fce6835b6173deb1a1f49",2023-09-20 00:00:01,2023-09-20 00:00:01,2023-09-20 00:00:01,2023-09-20
"2","5NnnlN7CYJ","MOOSPMv3Parser",1695168000,9.02,9.02,5.06,13.3,13.3,5.3,5.3,13.94,13.94,5.3,1777.03,484.8,37791.63,85.88,39.55,4.75,39.71,39.71,29.8,30.3,39.71,0.33,30.1,33.7,36.1,31.6,0,22.2,1,36.138931,-120.368317,159.014008,7,600,58,1,"e00fce68e77e43df92405fdb",2023-09-20 00:00:01,2023-09-20 00:00:01,2023-09-20 00:00:01,2023-09-20
"3","bJamwjvAQZ","MOOSPMv3Parser",1695168000,7,7,6,11,11,6,6,12,12,6,1343,397,1642,78,48,4,49,49,30,32,49,0,30,33,36,32,41.184,6,1,36.785374,-119.773132,59.139,0,600,58,3,"e00fce6856818e5885f65487",2023-09-20 00:00:02,2023-09-20 00:00:02,2023-09-20 00:00:02,2023-09-20
"4","lXF7nhUpMn","MOOSPMv3Parser",1695168000,9,9,7,14,14,7,7,14,14,7,1701,487,357287,96,55,5,55,55,28,31,55,0,30,31,36,35,41.477,33,3277,36.503231,-120.325371,61.034,6,599,58,3,"e00fce68e28dcbc9a589be10",2023-09-20 00:00:02,2023-09-20 00:00:02,2023-09-20 00:00:02,2023-09-20
"5","uDSnIwBIKU","MOOSPMv3Parser",1695168001,8.37,8.37,6.71,12.68,12.68,7.04,7.04,12.97,12.97,7.04,1810.16,488.94,338019.66,91,52.56,4.15,52.71,52.72,30.5,30.6,52.73,0.45,30.9,34.7,34.4,30,39.248,59,3276.7,36.011204,-119.963661,12.294,8,599,58,1,"e00fce6858b443fd80f27170",2023-09-20 00:00:02,2023-09-20 00:00:03,2023-09-20 00:00:03,2023-09-20
"6","7WesaeCpMR","MOOSPMv3Parser",1695168000,9.47,9.47,7.76,14.11,14.11,8.13,8.13,14.5,14.5,8.13,1640.1,500.05,216309.41,96.96,60.68,4.55,60.92,60.93,28.8,33.8,60.93,0.37,27.5,32.6,37.6,30,36.999,43.2,1,35.135967,-119.458961,277.755005,11,600,58,1,"e00fce682bbf742cd0b6768a",2023-09-20 00:00:02,2023-09-20 00:00:03,2023-09-20 00:00:03,2023-09-20
"7","FHImlaj7MB","MOOSPMv3Parser",1695168001,8,8,6,12,12,6,6,13,13,6,1563,449,306828,80,47,4,47,47,33,28,47,0,31,38,36,25,26.769,27,1,36.130112,-120.333946,156.593002,7,599,58,3,"e00fce68f12da1a0c5de6248",2023-09-20 00:00:03,2023-09-20 00:00:03,2023-09-20 00:00:03,2023-09-20
"8","wyJGNK8BdD","MOOSPMv3Parser",1695168001,13,13,9,20,20,9,9,21,21,9,2465,693,347880,134,70,8,70,70,29,32,70,0,29,33,41,35,44.126,18,2,35.955273,-119.036842,119.444,7,600,58,3,"e00fce6808784ceaf209f949",2023-09-20 00:00:03,2023-09-20 00:00:03,2023-09-20 00:00:03,2023-09-20
"9","IEkcEBEetN","MOOSPMv3Parser",1695168001,10,10,8,16,16,9,9,18,18,9,1990,559,541268,111,65,9,65,65,30,31,65,0,30,33,39,36,28.615,20,3,36.52914,-119.293442,66.404999,7,600,58,3,"e00fce68e739ecbcf9e91965",2023-09-20 00:00:03,2023-09-20 00:00:04,2023-09-20 00:00:04,2023-09-20
"10","vDCfunmgU8","MOOSPMv3Parser",1695168000,10,10,8,16,16,9,9,17,17,9,1917,542,175955,110,64,7,64,64,28,29,64,0,29,31,35,33,24.289,23,2,35.613186,-119.689606,54.448002,7,600,58,3,"e00fce68e88237db75a60608",2023-09-20 00:00:04,2023-09-20 00:00:04,2023-09-20 00:00:04,2023-09-20
"11","JcpDtGEtBt","MOOSPMv3Parser",1695168001,8,8,8,12,12,8,8,13,13,8,1430,447,481721,88,59,5,59,59,0,0,59,0,29,32,38,33,1.269,27,1,36.43388,-119.922791,17.462999,9,600,58,3,"e00fce6876826e255108c6bd",2023-09-20 00:00:04,2023-09-20 00:00:04,2023-09-20 00:00:04,2023-09-20
"12","DI9YcKAyLJ","MOOSPMv3Parser",1695168001,9,9,6,13,13,7,7,14,14,7,1724,461,321389,91,49,6,49,49,29,30,49,0,29,33,35,30,47.191,18,1,36.010578,-120.140335,207.559006,0,600,58,3,"e00fce6850cac69f647dc199",2023-09-20 00:00:05,2023-09-20 00:00:05,2023-09-20 00:00:05,2023-09-20
"13","O1GSIaIvHT","MOOSPMv3Parser",1695168600,9,9,6,13,13,6,6,13,13,6,1747,471,26847,84,43,5,44,44,28,33,44,0,30,32,35,32,40.715,34,1,36.634315,-120.382393,20.009001,5,600,58,3,"e00fce6835b6173deb1a1f49",2023-09-20 00:10:00,2023-09-20 00:10:00,2023-09-20 00:10:00,2023-09-20
"14","R1h8143xIx","MOOSPMv3Parser",1695168600,8.81,8.81,5.05,13.07,13.07,5.29,5.29,14.02,14.02,5.29,1781.98,484.62,37825.99,83.89,39.48,6.19,39.64,39.64,29.5,30.7,39.64,0.33,29.9,33.3,35.7,32,0,14.4,1,36.138905,-120.368401,156.854004,5,600,58,1,"e00fce68e77e43df92405fdb",2023-09-20 00:10:01,2023-09-20 00:10:01,2023-09-20 00:10:01,2023-09-20
"15","Zhw6bJFrig","MOOSPMv3Parser",1695168600,9,9,7,13,13,7,7,14,14,7,1624,466,357334,91,52,4,52,52,28,31,52,0,30,31,36,36,42.133,33,3277,36.503155,-120.325493,47.191002,5,599,58,3,"e00fce68e28dcbc9a589be10",2023-09-20 00:10:02,2023-09-20 00:10:02,2023-09-20 00:10:02,2023-09-20
"16","ADJf8SzTDf","MOOSPMv3Parser",1695168600,8,8,6,11,11,7,7,12,12,7,1399,417,1685,76,50,4,50,50,29,32,50,0,30,33,36,32,42.027,7,1,36.785408,-119.773109,55.140999,8,600,58,3,"e00fce6856818e5885f65487",2023-09-20 00:10:02,2023-09-20 00:10:02,2023-09-20 00:10:02,2023-09-20
"17","sUpHRM2szu","MOOSPMv3Parser",1695168601,8.41,8.41,6.62,12.61,12.61,6.94,6.94,12.93,12.93,6.94,1821.86,484.11,337503.69,89.91,51.83,3.46,51.99,52,30.1,30.5,52,0.44,30.6,34.3,35,29.8,41.456,37.8,3276.7,36.011204,-119.963661,12.299,0,600,58,1,"e00fce6858b443fd80f27170",2023-09-20 00:10:02,2023-09-20 00:10:02,2023-09-20 00:10:02,2023-09-20
