"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"1","LJ3JSuIfld","MOOSPMv3Parser",1701993600,0,0,1,0,0,1,2,0,0,2,145,40,329,7,7,0,8,8,18,32,8,1,17,18,36,35,35.028,15,1,36.785419,-119.773186,64.315002,9,600,58,3,"e00fce6856818e5885f65487",2023-12-08 00:00:01,2023-12-08 00:00:02,2023-12-08 00:00:02,2023-12-08
"2","jJGmnARwDh","MOOSPMv3Parser",1701993601,0,0,1,1,1,1,2,1,1,2,201,50,384646,10,7,1,7,7,17,29,7,1,17,18,36,35,25.957,16,46,36.785515,-119.773109,74.700996,10,600,58,3,"e00fce68e739ecbcf9e91965",2023-12-08 00:00:02,2023-12-08 00:00:02,2023-12-08 00:00:02,2023-12-08
"3","DtfCFZj0xO","MOOSPMv3Parser",1701993601,0,0,1,1,1,1,2,1,1,2,193,50,53027,9,7,1,7,7,17,32,7,1,17,18,36,34,40.254,15,7,36.785358,-119.773209,53.824001,9,600,58,3,"e00fce6808784ceaf209f949",2023-12-08 00:00:02,2023-12-08 00:00:02,2023-12-08 00:00:02,2023-12-08
"4","4pNH4gHpVo","MOOSPMv3Parser",1701993600,0.13,0.13,0.86,0.43,0.43,1.22,1.49,0.82,0.82,1.62,342.8,55,276.23,7.45,6.37,1.24,6.71,6.78,17.4,31.9,6.79,0.73,17,18.7,36.2,34.5,28.334,16.3,1,36.785374,-119.773193,60.983002,7,600,58,1,"e00fce68e77e43df92405fdb",2023-12-08 00:00:02,2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08
"5","ETIOSMXuGY","MOOSPMv3Parser",1701993601,0,0,1,0,0,1,2,0,0,2,144,41,6773,9,6,1,7,7,17,31,7,1,17,17,36,37,47.539,15,3277,36.785355,-119.773178,64.525002,7,600,58,3,"e00fce68e28dcbc9a589be10",2023-12-08 00:00:02,2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08
"6","9G0iPD5vVJ","MOOSPMv3Parser",1701993600,0.13,0.13,0.84,0.48,0.48,1.28,1.61,0.59,0.59,1.77,192.74,49.51,52281.1,8.07,6.22,0.73,6.6,6.65,17.4,32.7,6.66,0.77,17.3,18.1,35.2,34.5,36.791,29,3276.7,36.78532,-119.773148,53.066002,6,600,58,1,"e00fce6858b443fd80f27170",2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08
"7","rqUpn1hLES","MOOSPMv3Parser",1701993601,0.04,0.04,0.96,0.14,0.14,1.38,1.7,0.31,0.31,1.85,120.32,35.56,272.09,5.66,7.16,0.71,7.55,7.63,17.5,35.3,7.65,0.77,17,19.1,35.8,32.8,29.478,14.6,2,36.785347,-119.773117,55.912998,8,600,58,1,"e00fce682bbf742cd0b6768a",2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08
"8","1POMiZYrBn","MOOSPMv3Parser",1701993601,0,0,1,0,0,1,2,1,1,2,116,35,57655,8,7,2,8,8,0,0,8,1,17,19,36,32,38.816,14,6,36.785313,-119.773216,77.403,8,599,58,3,"e00fce6876826e255108c6bd",2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08 00:00:03,2023-12-08
"9","ff1Gfp3Nv5","MOOSPMv3Parser",1701993601,0,0,1,0,0,1,2,1,1,2,172,45,13131,8,7,1,8,8,17,29,8,1,17,19,36,34,19.792,18,7,36.785385,-119.77314,76.224998,10,599,58,3,"e00fce68e88237db75a60608",2023-12-08 00:00:03,2023-12-08 00:00:04,2023-12-08 00:00:04,2023-12-08
"10","GFt7k5RiJE","MOOSPMv3Parser",1701993600,0,0,1,0,0,1,2,0,0,2,165,39,41318,7,7,1,8,8,18,32,8,1,17,19,36,32,41.377,24,8,36.785389,-119.773094,76.019997,6,600,58,3,"e00fce6850cac69f647dc199",2023-12-08 00:00:04,2023-12-08 00:00:04,2023-12-08 00:00:04,2023-12-08
"11","exaZB2cWtd","MOOSPMv3Parser",1701993601,0,0,1,0,0,1,2,0,0,2,153,42,38699,7,7,1,7,7,17,34,7,1,17,19,38,33,24.308,17,5,36.785374,-119.773148,60.337002,11,600,58,3,"e00fce68f12da1a0c5de6248",2023-12-08 00:00:04,2023-12-08 00:00:05,2023-12-08 00:00:05,2023-12-08
"12","6jYhSF8F8Q","MOOSPMv3Parser",1701994200,0,0,1,1,1,1,1,1,1,1,318,61,20405,9,4,1,4,4,16,40,4,1,17,17,41,41,32.772,56,7,36.634274,-120.38237,19.186001,7,599,58,3,"e00fce6835b6173deb1a1f49",2023-12-08 00:09:59,2023-12-08 00:09:59,2023-12-08 00:09:59,2023-12-08
"13","eCZMJFwQTi","MOOSPMv3Parser",1701994200,0,0,1,0,0,1,2,0,0,2,142,39,335,7,8,0,8,8,17,32,8,1,17,18,36,34,34.672,19,1,36.785408,-119.77317,66.191002,12,600,58,3,"e00fce6856818e5885f65487",2023-12-08 00:10:01,2023-12-08 00:10:02,2023-12-08 00:10:02,2023-12-08
"14","r2yucF4ewf","MOOSPMv3Parser",1701994201,0,0,1,1,1,1,2,1,1,2,214,51,384646,10,7,1,7,7,17,29,7,1,17,18,35,35,25.594,18,46,36.785397,-119.77314,70.150002,9,600,58,3,"e00fce68e739ecbcf9e91965",2023-12-08 00:10:02,2023-12-08 00:10:02,2023-12-08 00:10:02,2023-12-08
"15","eyUcOOjuOr","MOOSPMv3Parser",1701994201,0,0,1,0,0,1,2,1,1,2,163,43,53032,8,7,1,7,7,17,32,7,1,17,18,35,34,39.909,19,7,36.785374,-119.773117,60.124001,9,600,58,3,"e00fce6808784ceaf209f949",2023-12-08 00:10:02,2023-12-08 00:10:03,2023-12-08 00:10:03,2023-12-08
"16","FFwe8Z3vTL","MOOSPMv3Parser",1701994200,0.31,0.31,0.92,0.59,0.59,1.33,1.62,0.79,0.79,1.77,674.1,68.52,281.71,6.13,6.87,0.63,7.25,7.33,16.9,32.2,7.34,0.73,16.7,18.1,35.8,34.7,27.511,19.3,1,36.785526,-119.773216,9.105,6,600,58,1,"e00fce68e77e43df92405fdb",2023-12-08 00:10:03,2023-12-08 00:10:03,2023-12-08 00:10:03,2023-12-08
"17","2eC12sCxoQ","MOOSPMv3Parser",1701994201,0,0,1,0,0,1,2,1,1,2,112,35,57660,8,7,2,7,7,0,0,7,1,17,19,35,33,38.489,17,6,36.785328,-119.773186,62.209,7,599,58,3,"e00fce6876826e255108c6bd",2023-12-08 00:10:03,2023-12-08 00:10:03,2023-12-08 00:10:03,2023-12-08
"18","REDW4wwyII","MOOSPMv3Parser",1701994201,0.04,0.04,0.94,0.37,0.37,1.32,1.59,0.42,0.42,1.73,145.06,44,277.76,7.85,7.05,0.89,7.41,7.48,17,35.4,7.49,0.74,16.6,18.4,35.6,32.9,29.215,17.5,2,36.785343,-119.773178,61.126999,6,600,58,1,"e00fce682bbf742cd0b6768a",2023-12-08 00:10:03,2023-12-08 00:10:03,2023-12-08 00:10:03,2023-12-08
