"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","jGwK0FizBv","MOOSPMv3Parser",1682122200,1.67,1.67,1.99,2.67,2.67,2.11,2.12,3.14,3.14,2.13,473.58,127.4,2328.34,19.13,15.58,1.53,15.65,15.66,10.9,27.4,15.66,0.45,8.8,10.5,31.9,28.2,34.314,216.3,1,40.594212,-105.075943,1516.689941,5,58,598,1,"e00fce6835b6173deb1a1f49",2023-04-22 00:09:59,2023-04-22 00:09:59,2023-04-22 00:09:59,2023-04-22
"2","0FdvFd3vmo","MOOSPMv3Parser",1682122800,1.32,1.32,1.55,1.95,1.95,1.65,1.67,2.13,2.13,1.68,387.42,105.77,2331.01,15.84,12.14,0.96,12.2,12.21,11.1,31.6,12.21,0.48,8.4,10.8,39.6,33.5,33.005,228.1,1,40.594242,-105.075768,1536.926025,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 00:19:59,2023-04-22 00:19:59,2023-04-22 00:19:59,2023-04-22
"3","eTcbho1bBI","MOOSPMv3Parser",1682123401,0.81,0.81,1.16,1.42,1.42,1.24,1.25,1.72,1.72,1.26,313.46,86.45,2338.8,12.48,9.08,1.08,9.13,9.13,10.8,34.6,9.14,0.46,7.7,10.5,46,37.6,31.81,230.2,1,40.594177,-105.07605,1573.531006,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 00:29:59,2023-04-22 00:29:59,2023-04-22 00:29:59,2023-04-22
"4","QTdNdLYpA7","MOOSPMv3Parser",1682124001,0.86,0.86,1.03,1.33,1.33,1.08,1.08,1.38,1.38,1.08,304.06,83.23,2345.75,10.66,8.06,0.52,8.09,8.09,10.1,36.7,8.09,0.43,6.7,9.7,49.9,40.1,31.741,207.8,1,40.594154,-105.075935,1516.136963,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 00:39:59,2023-04-22 00:39:59,2023-04-22 00:39:59,2023-04-22
"5","rszlXdWDYG","MOOSPMv3Parser",1682124601,0.94,0.94,1.03,1.45,1.45,1.07,1.07,1.55,1.55,1.07,329.27,86.23,2352.66,13.06,8.01,0.83,8.04,8.04,9.8,37.8,8.05,0.42,6.6,9.2,50,41.3,31.76,185.2,1,40.59417,-105.075958,1482.848999,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 00:49:59,2023-04-22 00:49:59,2023-04-22 00:49:59,2023-04-22
"6","cZLANRwYvQ","MOOSPMv3Parser",1682125201,0.74,0.74,1.04,1.19,1.19,1.09,1.09,1.44,1.44,1.09,291.08,79.28,2359.66,11,8.13,0.76,8.16,8.16,9.9,37.9,8.16,0.42,6.8,9.1,49.4,41.4,31.383,189.8,1,40.594055,-105.075813,1523.302002,9,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 00:59:59,2023-04-22 00:59:59,2023-04-22 00:59:59,2023-04-22
"7","RDajdFijAU","MOOSPMv3Parser",1682125801,0.78,0.78,1.06,1.16,1.16,1.11,1.11,1.2,1.2,1.11,299.96,78.99,2366.81,11.02,8.3,0.63,8.34,8.34,9.7,36.7,8.34,0.41,6.8,9,46.4,39.3,30.397,260.9,1,40.594055,-105.075813,1523.300049,0,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 01:09:59,2023-04-22 01:09:59,2023-04-22 01:09:59,2023-04-22
"8","MQexg98IlD","MOOSPMv3Parser",1682126401,0.66,0.66,1.01,1.21,1.21,1.07,1.07,1.44,1.44,1.07,285.31,75.61,2373.67,11.11,7.96,0.96,7.99,7.99,9.5,37.4,7.99,0.43,6.8,8.8,47.4,40.5,31.174,342.2,1,40.594063,-105.075768,1524.725952,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 01:19:59,2023-04-22 01:19:59,2023-04-22 01:19:59,2023-04-22
"9","CgXdJD6WEw","MOOSPMv3Parser",1682127001,1.12,1.12,1.27,1.79,1.79,1.32,1.32,1.94,1.94,1.32,361.91,97.84,2382.2,14.69,9.9,1.23,9.93,9.93,8.5,42.2,9.94,0.42,5.5,7,56.5,49.4,31.069,208.3,1,40.594204,-105.075951,1476.047974,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 01:29:59,2023-04-22 01:29:59,2023-04-22 01:29:59,2023-04-22
"10","Tkmbeywgpx","MOOSPMv3Parser",1682127601,2.05,2.05,1.84,3.06,3.06,1.93,1.93,3.39,3.39,1.93,545.65,141.63,2394.63,22.76,14.44,1.4,14.48,14.49,7.5,46.8,14.49,0.43,4,5.9,64.8,55.3,29.552,203.5,1,40.594139,-105.075775,1506.901978,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-22 01:39:59,2023-04-22 01:39:59,2023-04-22 01:39:59,2023-04-22
