"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"1","h9ZboeamiB","MOOSPMv3Parser",1747180800,4,4,2,6,5,2,2,6,6,2,985,250,19696,32,15,1,15,15,22,24,15,0,24,23,28,31,511.321,90,5,36.138824,-120.368378,175.362,6,599,58,3,"e00fce6835b6173deb1a1f49",2025-05-14 00:00:01,2025-05-14 00:00:01,2025-05-14 00:00:01,2025-05-14
"2","nEGn9tpzIq","MOOSPMv3Parser",1747180800,0,0,0,0,0,1,1,0,0,1,158,42,112,4,4,1,4,4,25,17,4,1,25,28,27,26,512.992,6,3277,36.138882,-120.368416,172.507996,7,600,58,3,"e00fce68e28dcbc9a589be10",2025-05-14 00:00:02,2025-05-14 00:00:02,2025-05-14 00:00:02,2025-05-14
"3","lR2GfgBPFK","MOOSPMv3Parser",1747180801,0,0,0,0,0,1,1,0,0,1,161,38,99,4,4,0,4,4,24,17,4,1,25,27,27,28,0.086,12,2,36.138992,-120.368301,183.151993,8,600,58,3,"e00fce6808784ceaf209f949",2025-05-14 00:00:02,2025-05-14 00:00:02,2025-05-14 00:00:02,2025-05-14
"4","8T2ZEsEmAZ","MOOSPMv3Parser",1747180801,1,1,1,2,2,1,2,2,2,2,311,93,138,13,9,2,10,10,0,0,10,1,23,24,32,32,116.304,29,2,36.138992,-120.368385,203.149994,7,600,58,3,"e00fce6876826e255108c6bd",2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14
"5","kx2dRhmH1h","MOOSPMv3Parser",1747180801,0,0,1,0,0,1,1,0,0,1,168,39,91,4,4,0,4,4,25,17,4,1,25,28,28,26,37.479,21,1,36.13895,-120.368347,188.397995,6,600,58,3,"e00fce68e88237db75a60608",2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14
"6","cM7S5Cfzwk","MOOSPMv3Parser",1747180800,0,0,0,0,0,1,1,0,0,1,197,44,120,7,3,1,3,3,24,15,3,1,25,27,28,27,514.941,4,2,36.138973,-120.368378,190.360992,6,600,58,3,"e00fce68e739ecbcf9e91965",2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14
"7","JKfdJVVJSc","MOOSPMv3Parser",1747180800,0.05,0.05,0.35,0.11,0.11,0.52,0.65,0.2,0.2,0.72,269.97,48.75,18895.41,3.58,2.55,0.33,2.72,2.75,24.8,17.1,2.76,0.74,25.9,27.3,26.5,27.1,20.127,47.8,1,36.139046,-120.36834,176.932007,7,600,58,1,"e00fce68e77e43df92405fdb",2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14
"8","oyXZ8HiERd","MOOSPMv3Parser",1747180801,0,0,0,0,0,1,1,0,0,1,170,45,63,4,3,0,3,3,25,18,3,1,26,28,27,25,41.181,35,1,36.138977,-120.368385,174.440002,6,600,58,3,"e00fce68f12da1a0c5de6248",2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14
"9","GA0QZtKFMt","MOOSPMv3Parser",1747180801,0,0,6553.5,0.03,0.03,6553.5,6553.5,0.05,0.05,6553.5,114.59,32.5,207936.77,2.88,6553.5,0.28,6553.5,6553.5,22.9,22.3,6553.5,65.54,0,327.7,0,655.3,44.073,6553.5,6553.5,0,0,0,0,590,58,1,"e00fce682bbf742cd0b6768a",2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14 00:00:03,2025-05-14
"10","6SQlGCfX8J","MOOSPMv3Parser",1747181401,1,1,1,1,1,1,1,1,1,1,324,91,142006,8,6,1,6,6,23,24,6,1,23,25,32,31,510.168,62,1,36.785271,-119.773048,102.500999,5,600,58,3,"e00fce6856818e5885f65487",2025-05-14 00:09:57,2025-05-14 00:09:57,2025-05-14 00:09:57,2025-05-14
