"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","3fnkb9hpiz","MOOSPMv3Parser",1682727000,0.75,0.75,1.39,1.45,1.45,1.96,2.36,1.7,1.7,2.55,315.92,85.61,4425.43,13.59,10.42,1.34,10.94,11.03,17,20.9,11.06,0.68,15.9,17.7,22.4,19.7,35.956,101.1,1,40.5942,-105.075882,1510.432983,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 00:09:57,2023-04-29 00:09:57,2023-04-29 00:09:57,2023-04-29
"2","Cc7S85z9Hf","MOOSPMv3Parser",1682727600,0.62,0.62,1.33,1.16,1.16,1.84,2.2,1.68,1.68,2.37,291.8,79.03,4433.44,11.93,10,1.63,10.46,10.54,16.6,21.2,10.57,0.66,15.6,17.3,22.7,19.9,34.912,104.7,1,40.594131,-105.075806,1519.324951,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 00:19:57,2023-04-29 00:19:57,2023-04-29 00:19:57,2023-04-29
"3","7LTgR6889K","MOOSPMv3Parser",1682728201,0.71,0.71,1.37,1.3,1.3,1.88,2.24,1.86,1.86,2.41,327.62,85.71,4441.75,13.65,10.33,1.3,10.79,10.88,16.2,21.6,10.9,0.65,15.2,16.8,23.3,20.6,34.877,109.7,1,40.594067,-105.075768,1502.524048,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 00:29:57,2023-04-29 00:29:57,2023-04-29 00:29:57,2023-04-29
"4","OLj1OkMaD2","MOOSPMv3Parser",1682728801,0.65,0.65,1.36,1.09,1.09,1.8,2.1,1.27,1.27,2.25,329.03,83.29,4450.14,10.59,10.33,0.9,10.72,10.79,16.1,22.2,10.81,0.63,15.4,16.6,23.7,21.4,34.579,97.5,1,40.594067,-105.075768,1502.522949,0,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 00:39:57,2023-04-29 00:39:57,2023-04-29 00:39:57,2023-04-29
"5","B0uDn3BIj3","MOOSPMv3Parser",1682729401,0.53,0.53,1.26,1.12,1.12,1.6,1.83,1.29,1.29,1.94,288.78,76.96,4458,12.41,9.57,0.94,9.88,9.93,16,22.7,9.95,0.6,15.4,16.5,24,22,34.165,129,1,40.594177,-105.075844,1503.045044,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 00:49:57,2023-04-29 00:49:58,2023-04-29 00:49:58,2023-04-29
"6","jpkSzfpme2","MOOSPMv3Parser",1682730001,0.62,0.62,1.23,1.29,1.29,1.54,1.75,1.53,1.53,1.84,304.01,82.06,4465.73,12.49,9.37,1,9.65,9.69,15.8,22.9,9.71,0.58,15.3,16.4,24.1,22.1,33.944,114.6,1,40.594219,-105.075905,1528.012939,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 00:59:57,2023-04-29 00:59:57,2023-04-29 00:59:57,2023-04-29
"7","uOApCW0X9k","MOOSPMv3Parser",1682730601,0.32,0.32,1.2,0.99,0.99,1.49,1.67,1.46,1.46,1.76,269.38,72.39,4473.36,10.88,9.21,1.73,9.46,9.51,15.8,23.1,9.52,0.58,15.4,16.3,24.4,22.2,33.649,121.2,1,40.594196,-105.075859,1472.344971,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 01:09:57,2023-04-29 01:09:57,2023-04-29 01:09:57,2023-04-29
"8","FpnVeHn77g","MOOSPMv3Parser",1682731201,0.42,0.42,1.22,0.81,0.81,1.53,1.73,0.99,0.99,1.83,280.69,73.5,4481.03,10.34,9.29,0.56,9.57,9.62,15.8,23.7,9.63,0.58,15.2,16.3,25.5,23.3,32.578,140.2,1,40.594193,-105.075813,1528.753052,9,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 01:19:57,2023-04-29 01:19:57,2023-04-29 01:19:57,2023-04-29
"9","f5v5w4Nala","MOOSPMv3Parser",1682731801,0.69,0.69,1.16,1.17,1.17,1.42,1.59,1.67,1.67,1.67,313.31,83.16,4488.41,11.93,8.89,1.4,9.11,9.16,15.5,25.3,9.17,0.56,14.8,16,27.5,25.1,33.622,127.4,1,40.593945,-105.075668,1499.037964,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 01:29:57,2023-04-29 01:29:57,2023-04-29 01:29:57,2023-04-29
"10","z18Yi14tw5","MOOSPMv3Parser",1682732401,0.57,0.57,1.1,1.08,1.08,1.36,1.53,1.26,1.26,1.6,304.04,79.19,4495.44,10.39,8.47,1.34,8.7,8.74,15.2,26.1,8.75,0.58,14.2,15.8,29.2,26.1,33.51,115.7,1,40.594135,-105.075867,1509.588013,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 01:39:57,2023-04-29 01:39:58,2023-04-29 01:39:58,2023-04-29
