"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","RCPfSyAGEH","MOOSPMv3Parser",1681513201,4.82,4.82,4.85,8.17,8.17,5.09,5.09,9.72,9.72,5.09,909.5,256.81,256.04,54.63,38,4.7,38.13,38.14,5.5,62.9,38.15,0.37,1.2,3.5,94,77.3,25.313,55.7,1,40.594124,-105.076012,1523.313965,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-14 23:00:03,2023-04-14 23:00:03,2023-04-14 23:00:03,2023-04-15
"2","ZGFP8M6P0s","MOOSPMv3Parser",1681513801,5.85,5.85,6.33,9.17,9.17,6.64,6.64,10.39,10.39,6.64,1058.58,293.39,298.77,57.56,49.59,3.87,49.76,49.77,5.5,63.8,49.79,0.38,1.4,3.5,94.5,78.5,24.192,54.8,1,40.594097,-105.075851,1514.321045,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-14 23:10:03,2023-04-14 23:10:03,2023-04-14 23:10:03,2023-04-15
"3","9Exlg4WDwh","MOOSPMv3Parser",1681514401,9,8.92,14.52,16.78,16.32,15.57,15.84,20.24,19.85,15.97,1523.21,428.85,395.99,109.55,113.38,13.04,114.09,114.19,5.7,64.1,114.22,0.46,1.7,3.5,93.7,79,23.293,55.7,1,40.594097,-105.075851,1514.322021,0,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-14 23:20:03,2023-04-14 23:20:03,2023-04-14 23:20:03,2023-04-15
"4","nSElDaiXFS","MOOSPMv3Parser",1681515001,4.16,4.16,5.34,7.3,7.3,5.69,5.77,8.55,8.55,5.82,839.49,233.31,431.74,49.75,41.66,3.58,41.9,41.93,5.5,64.2,41.94,0.46,1.7,3.4,92.6,78.3,25.244,58.7,1,40.594131,-105.075928,1529.52002,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-14 23:30:03,2023-04-14 23:30:03,2023-04-14 23:30:03,2023-04-15
"5","uUVxtyACfP","MOOSPMv3Parser",1681515601,3,3,4.64,5.27,5.27,4.87,4.87,6.25,6.25,4.87,669.79,184.34,463,36.58,36.29,3.27,36.42,36.43,5.5,65,36.44,0.42,1.9,3.4,92.7,79.3,25.319,51.4,1,40.594131,-105.075859,1517.121948,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-14 23:40:03,2023-04-14 23:40:03,2023-04-14 23:40:03,2023-04-15
"6","PAXVvvoyV9","MOOSPMv3Parser",1681516201,2.41,2.41,2.82,4.15,4.15,2.95,2.95,4.86,4.86,2.95,581.67,161.16,481.99,30.75,22.04,2.21,22.12,22.12,5.4,65.8,22.13,0.42,2,3.3,92.6,80.2,26.59,48.7,1,40.594048,-105.075729,1521.545044,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-14 23:50:03,2023-04-14 23:50:03,2023-04-14 23:50:03,2023-04-15
"7","RYd2STaQjK","MOOSPMv3Parser",1681516801,2.66,2.66,2.46,4.12,4.12,2.58,2.58,4.58,4.58,2.58,611.23,167.75,498.59,26.9,19.26,1.68,19.33,19.34,5.5,66.2,19.34,0.39,2.2,3.4,92.4,81.2,26.761,47.2,1,40.594227,-105.075806,1530.026001,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-15 00:00:03,2023-04-15 00:00:03,2023-04-15 00:00:03,2023-04-15
"8","Snt3m7Wsh5","MOOSPMv3Parser",1681517401,2.47,2.47,1.96,3.56,3.56,2.05,2.05,4.08,4.08,2.05,577.92,160,511.79,25.6,15.33,1.52,15.38,15.38,5.5,65.8,15.38,0.37,2.3,3.4,91.8,80.7,25.422,51,1,40.594208,-105.075684,1551.105957,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-15 00:10:03,2023-04-15 00:10:03,2023-04-15 00:10:03,2023-04-15
"9","BsHk7gyMyq","MOOSPMv3Parser",1681518001,35,1.78,1.64,2.96,2.91,1.72,1.72,3.22,3.22,1.72,491.87,134.28,522.83,19.38,12.81,2.15,12.86,12.86,5.7,65,12.86,0.39,2.4,3.6,89.8,78.5,26.101,53.1,1,40.594147,-105.075874,1528.25,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-15 00:20:03,2023-04-15 00:20:03,2023-04-15 00:20:03,2023-04-15
"10","PwbLwpTkeS","MOOSPMv3Parser",1681518601,1.33,1.33,1.4,2.09,2.09,1.47,1.47,2.22,2.22,1.47,396.29,109.11,532.29,17.11,10.98,0.98,11.02,11.03,5.9,64.2,11.03,0.39,2.6,3.9,89.4,78.1,27.326,48.2,1,40.594082,-105.075806,1543.287964,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-15 00:30:03,2023-04-15 00:30:03,2023-04-15 00:30:03,2023-04-15
