"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"1","5SOzJTbAHd","MOOSPMv3Parser",1734048000,18.43,18.34,18.85,31.51,30.55,19.76,19.76,35.15,35.15,19.76,3578.64,975.24,397264.16,217.87,147.43,21.99,148.01,148.03,14.2,57.8,148.04,0.41,12.8,14.3,65.9,60.5,27.723,92.8,5,36.139,-120.368317,161.998001,0,600,58,1,"e00fce68e77e43df92405fdb",2024-12-13 00:00:02,2024-12-13 00:00:02,2024-12-13 00:00:02,2024-12-13
"2","L0jNv2SXXi","MOOSPMv3Parser",1734048000,19,19,18,33,31,21,22,36,36,23,3317,970,326250,238,139,23,141,141,15,50,141,1,13,15,67,58,45.928,104,3277,36.139042,-120.368393,179.751007,9,600,58,3,"e00fce68e28dcbc9a589be10",2024-12-13 00:00:02,2024-12-13 00:00:03,2024-12-13 00:00:03,2024-12-13
"3","musq8eOPKH","MOOSPMv3Parser",1734048001,5,5,8,10,10,9,9,12,12,9,945,294,1635948,70,62,11,63,63,0,0,63,1,15,15,62,62,50.703,6,19,36.433601,-119.923508,21.802999,5,599,58,3,"e00fce6876826e255108c6bd",2024-12-13 00:00:03,2024-12-13 00:00:03,2024-12-13 00:00:03,2024-12-13
"4","4hIuaBhLn8","MOOSPMv3Parser",1734048001,18,18,22,31,30,23,24,36,36,24,3417,950,418530,220,173,20,174,174,14,49,174,0,12,14,67,61,517.17,104,10,36.139004,-120.368401,175.979004,8,599,58,3,"e00fce68e739ecbcf9e91965",2024-12-13 00:00:03,2024-12-13 00:00:04,2024-12-13 00:00:04,2024-12-13
"5","ctA8zLwUU6","MOOSPMv3Parser",1734048600,7,7,8,11,11,8,8,12,12,8,1375,414,69628,75,60,4,60,60,14,66,60,0,14,15,59,57,508.701,15,10,36.785427,-119.773148,65.924004,8,600,58,3,"e00fce6856818e5885f65487",2024-12-13 00:09:59,2024-12-13 00:09:59,2024-12-13 00:09:59,2024-12-13
"6","SUGLbGhPMu","MOOSPMv3Parser",1734048600,19,19,18,32,31,21,22,35,35,23,3234,956,326367,231,138,21,140,140,14,52,140,1,12,14,66,58,43.932,128,3277,36.139,-120.36834,164.266998,8,600,58,3,"e00fce68e28dcbc9a589be10",2024-12-13 00:10:02,2024-12-13 00:10:03,2024-12-13 00:10:03,2024-12-13
"7","Zgn4PZur0A","MOOSPMv3Parser",1734048601,5,5,8,10,10,9,9,13,13,9,1035,320,1633286,72,63,9,63,63,0,0,63,1,15,15,62,64,34.266,6,17,36.433601,-119.923378,27.417,8,600,58,3,"e00fce6876826e255108c6bd",2024-12-13 00:10:03,2024-12-13 00:10:03,2024-12-13 00:10:03,2024-12-13
"8","L7h12WfTsz","MOOSPMv3Parser",1734048600,18.35,18.23,19.11,32.22,31,20.03,20.03,36.37,36.37,20.03,3578.44,977.91,397394.81,225.64,149.49,24.27,150.08,150.1,13.9,58.5,150.11,0.41,12.7,13.9,64.9,60.5,27.698,107.2,5,36.139053,-120.368408,158.854004,11,600,58,1,"e00fce68e77e43df92405fdb",2024-12-13 00:10:03,2024-12-13 00:10:03,2024-12-13 00:10:03,2024-12-13
"9","SYjzBBMAZa","MOOSPMv3Parser",1734048601,18,18,22,32,31,24,24,37,37,24,3460,972,418681,220,174,22,175,175,14,50,175,0,12,14,66,60,517.32,118,10,36.139004,-120.368378,168.151001,6,599,58,3,"e00fce68e739ecbcf9e91965",2024-12-13 00:10:03,2024-12-13 00:10:03,2024-12-13 00:10:03,2024-12-13
"10","e2hN2CcWCN","MOOSPMv3Parser",1734049200,8,8,8,12,12,8,8,13,13,8,1457,435,69799,82,63,4,63,63,14,68,63,0,14,15,63,60,508.543,54,11,36.785355,-119.773071,61.032001,7,599,58,3,"e00fce6856818e5885f65487",2024-12-13 00:19:59,2024-12-13 00:19:59,2024-12-13 00:19:59,2024-12-13
"11","zRFRACLJ3K","MOOSPMv3Parser",1734049200,17.87,17.86,18.22,30.49,29.81,19.1,19.1,34.57,34.57,19.1,3493.12,954.6,397519.62,212.47,142.55,22.33,143.11,143.13,13.6,59.8,143.14,0.41,12.3,13.6,66.1,61.8,27.961,118,5,36.139053,-120.368317,161.753998,7,600,58,1,"e00fce68e77e43df92405fdb",2024-12-13 00:20:02,2024-12-13 00:20:02,2024-12-13 00:20:02,2024-12-13
"12","UzlTLokBKQ","MOOSPMv3Parser",1734049200,17,17,18,31,31,20,22,34,34,22,3083,900,326480,225,135,22,138,138,14,54,138,1,12,14,67,61,44.342,126,3277,36.138947,-120.368401,160.332001,10,600,58,3,"e00fce68e28dcbc9a589be10",2024-12-13 00:20:02,2024-12-13 00:20:02,2024-12-13 00:20:02,2024-12-13
