"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","oakQEhXfIc","MOOSPMv3Parser",1681776000,1.58,1.58,1.92,2.57,2.57,2.08,2.14,2.82,2.82,2.17,529.64,135.34,17103.83,20.16,14.94,1.48,15.06,15.08,22.9,12.9,15.09,0.47,22.8,25.1,11.2,9.7,39.852,120,1,40.594078,-105.075752,1522.562988,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 00:00:01,2023-04-18 00:00:01,2023-04-18 00:00:01,2023-04-18
"2","vBay8KFvDF","MOOSPMv3Parser",1681776600,1.5,1.5,1.7,2.5,2.5,1.83,1.87,2.78,2.78,1.89,487.1,126.83,17115.18,17.87,13.25,1.4,13.35,13.36,22.9,12.2,13.37,0.46,23,25.1,10.3,8.9,39.848,98.7,1,40.594296,-105.075943,1490.892944,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 00:10:01,2023-04-18 00:10:01,2023-04-18 00:10:01,2023-04-18
"3","k0DG20V2U8","MOOSPMv3Parser",1681777200,1.17,1.17,1.59,1.96,1.96,1.7,1.73,2.41,2.41,1.75,414.45,108.55,17125.81,17.08,12.39,1.18,12.47,12.48,22.4,12.4,12.48,0.46,22.6,24.6,10.3,9.1,40.37,94.9,1,40.594269,-105.075951,1505.272949,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 00:20:01,2023-04-18 00:20:01,2023-04-18 00:20:01,2023-04-18
"4","0SS40Aj7if","MOOSPMv3Parser",1681777800,1.15,1.15,1.54,1.99,1.99,1.63,1.65,2.24,2.24,1.66,392.22,105.14,17136.13,15.59,12.02,1.31,12.08,12.09,21.9,12.4,12.09,0.45,21.9,24,10.6,9.3,41.295,79.2,1,40.594234,-105.075859,1504.750977,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 00:30:01,2023-04-18 00:30:01,2023-04-18 00:30:01,2023-04-18
"5","Ye6qIGzhEP","MOOSPMv3Parser",1681778400,1.39,1.39,1.64,2.15,2.15,1.76,1.79,2.47,2.47,1.81,455.9,116.53,17147.13,16.66,12.81,1.36,12.89,12.9,21.4,12.6,12.91,0.46,21.5,23.6,11.2,9.7,40.111,80.8,1,40.594246,-105.075783,1507.942017,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 00:40:02,2023-04-18 00:40:02,2023-04-18 00:40:02,2023-04-18
"6","Xhk5Em0hYj","MOOSPMv3Parser",1681779000,1.9,1.9,1.77,2.74,2.74,1.9,1.94,3.08,3.08,1.96,646.8,148.14,17158.97,18.96,13.83,1.07,13.92,13.93,21.1,14.1,13.93,0.46,21,23.1,13.1,11.8,40.372,77,1,40.594208,-105.07576,1529.682983,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 00:50:01,2023-04-18 00:50:01,2023-04-18 00:50:01,2023-04-18
"7","MN1dpFNkzj","MOOSPMv3Parser",1681779600,1.32,1.32,1.79,2.17,2.17,1.95,2.01,2.54,2.54,2.04,448.53,119.94,17170.9,18.19,13.96,1.77,14.08,14.1,20.7,14.6,14.1,0.5,20.5,22.6,14.5,12.9,38.426,89,1,40.594074,-105.07589,1521.213989,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 01:00:01,2023-04-18 01:00:01,2023-04-18 01:00:01,2023-04-18
"8","8gZxFtCGyY","MOOSPMv3Parser",1681780200,1.43,1.43,1.85,2.39,2.39,2.04,2.11,2.7,2.7,2.15,464.29,122.11,17183.21,19.27,14.41,1.99,14.55,14.57,20.4,15.7,14.58,0.52,20.1,22.2,14.4,13.2,36.612,85.6,1,40.594173,-105.075897,1528.828979,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 01:10:01,2023-04-18 01:10:01,2023-04-18 01:10:01,2023-04-18
"9","Ehg4nppsSC","MOOSPMv3Parser",1681780800,1.71,1.71,1.85,2.65,2.65,2.01,2.07,2.82,2.82,2.1,492.63,128.43,17195.53,19.25,14.4,1.44,14.52,14.53,20.2,14.8,14.54,0.49,20.6,21.9,13.6,12.5,38.062,78.6,1,40.594078,-105.075775,1498.504028,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 01:20:01,2023-04-18 01:20:01,2023-04-18 01:20:01,2023-04-18
"10","FlkSnO2UeA","MOOSPMv3Parser",1681781400,1.72,1.72,2.01,2.69,2.69,2.19,2.25,3.03,3.03,2.29,509.12,132.82,17208.85,21.41,15.61,1.47,15.75,15.77,20,14.4,15.78,0.48,20.5,21.7,12.8,11.9,38.06,69.2,1,40.594254,-105.075859,1541.68103,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-18 01:30:02,2023-04-18 01:30:02,2023-04-18 01:30:02,2023-04-18
