"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","K3m9LWzS3Y","MOOSPMv3Parser",1682809201,0.51,0.51,1.2,1.08,1.08,1.35,1.43,1.3,1.3,1.46,285.71,74.32,6320.08,10.31,9.29,1.12,9.42,9.43,24,20.3,9.44,0.48,23.8,26.5,20.6,18.4,31.15,129.9,1,40.594296,-105.076164,1523.025024,0,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 23:00:02,2023-04-29 23:00:02,2023-04-29 23:00:02,2023-04-30
"2","kq7tSkRDC1","MOOSPMv3Parser",1682809801,0.45,0.45,1.22,0.97,0.97,1.36,1.42,1.12,1.12,1.46,282.91,72.99,6328.11,10.91,9.45,1.07,9.56,9.58,24,19.8,9.59,0.49,23.5,26.5,20,17,31.89,121.2,1,40.594177,-105.075897,1504.061035,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 23:10:02,2023-04-29 23:10:02,2023-04-29 23:10:02,2023-04-30
"3","zTVOvp0iiN","MOOSPMv3Parser",1682810401,0.47,0.47,1.2,0.83,0.83,1.33,1.4,1.07,1.07,1.43,261.27,68.93,6336.02,10.74,9.3,0.95,9.4,9.42,23.7,19.8,9.43,0.5,23.3,26.2,20.5,17.4,31.247,117.1,1,40.594151,-105.075851,1496.930054,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 23:20:02,2023-04-29 23:20:02,2023-04-29 23:20:02,2023-04-30
"4","PinjjxN2Ud","MOOSPMv3Parser",1682811001,0.51,0.51,1.18,0.98,0.98,1.3,1.35,1.1,1.1,1.37,264.99,69.94,6343.82,10.42,9.15,0.71,9.25,9.26,23.4,19.9,9.27,0.48,22.8,25.8,21,17.4,30.95,117,1,40.59409,-105.075768,1515.545044,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 23:30:02,2023-04-29 23:30:02,2023-04-29 23:30:02,2023-04-30
"5","AU8MGzoJco","MOOSPMv3Parser",1682811601,0.69,0.69,1.24,1.16,1.16,1.38,1.43,1.28,1.28,1.46,301.99,79.18,6352.04,12.49,9.65,0.77,9.75,9.77,23.2,20.7,9.77,0.49,23,25.6,21.5,18.4,30.457,128.9,1,40.594154,-105.075676,1491.918945,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 23:40:02,2023-04-29 23:40:02,2023-04-29 23:40:02,2023-04-30
"6","4GW36hKt7m","MOOSPMv3Parser",1682812201,0.49,0.49,1.13,1.02,1.02,1.25,1.31,1.43,1.43,1.34,305.73,80.2,6359.5,13.1,8.78,1.33,8.88,8.89,23.1,20.9,8.9,0.49,22.9,25.4,20.8,18.5,30.651,111.5,1,40.594093,-105.075798,1523.51001,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-29 23:50:02,2023-04-29 23:50:02,2023-04-29 23:50:02,2023-04-30
"7","TYuHTj9siW","MOOSPMv3Parser",1682812801,0.34,0.34,1.12,1.05,1.05,1.26,1.33,1.24,1.24,1.35,274.51,73.4,6366.9,11.1,8.71,1.48,8.82,8.83,22.8,21,8.84,0.5,22.9,25.2,21.9,18.9,30.497,106.1,1,40.594234,-105.07576,1507.88501,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-30 00:00:02,2023-04-30 00:00:03,2023-04-30 00:00:03,2023-04-30
"8","nptWvZstNY","MOOSPMv3Parser",1682813401,0.49,0.49,1.18,0.84,0.84,1.34,1.41,0.96,0.96,1.45,277.75,71.49,6374.65,9,9.15,0.48,9.28,9.3,23,20.3,9.3,0.52,23.2,25.3,20.8,18.1,30.873,102.2,1,40.594154,-105.075935,1527.562988,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-30 00:10:02,2023-04-30 00:10:02,2023-04-30 00:10:02,2023-04-30
"9","qqjUjv1Yx6","MOOSPMv3Parser",1682814001,0.24,0.24,1.16,0.74,0.74,1.3,1.38,0.93,0.93,1.41,243.89,62.22,6382.26,9.52,8.98,0.81,9.09,9.11,22.7,21.5,9.12,0.52,22.5,24.9,21.8,19.6,30.965,96.1,1,40.594063,-105.07589,1524.776978,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-30 00:20:02,2023-04-30 00:20:02,2023-04-30 00:20:02,2023-04-30
"10","bqUYyrCLFv","MOOSPMv3Parser",1682814601,0.3,0.3,1.18,0.86,0.86,1.34,1.43,1.16,1.16,1.47,274.54,69.24,6390,9.15,9.14,1.03,9.28,9.3,22,22.9,9.31,0.54,21.4,24.2,25.2,21.5,30.265,96.7,1,40.594067,-105.075859,1503.245972,4,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-30 00:30:02,2023-04-30 00:30:02,2023-04-30 00:30:02,2023-04-30
