"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"17","iKAD1GxuSw","MOOSPMv3Parser",1761093000,4,4,3,6,6,3,3,6,6,3,528,392,382,53,20,3,21,21,29,32,21,0,28,32,38,32,32.483,260,1,36.139019,-120.368355,165.242996,6,600,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 00:30:02,2025-10-22 00:30:02,2025-10-22 00:30:02,2025-10-22
"18","OcSrLTSbSS","MOOSPMv3Parser",1761093000,11,11,5,14,14,5,5,15,15,5,2065,574,568,82,41,3,41,41,28,28,41,0,28,32,36,32,0,221,1,36.139118,-120.368301,195.300003,6,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 00:30:02,2025-10-22 00:30:02,2025-10-22 00:30:02,2025-10-22
"19","GZiDMJYOkE","MOOSPMv3Parser",1761093000,11,11,6,15,15,6,6,15,15,6,2465,642,1974,89,43,3,44,44,28,26,44,0,28,32,37,33,47.289,47,3277,36.139088,-120.368347,174.537994,5,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 00:30:02,2025-10-22 00:30:02,2025-10-22 00:30:02,2025-10-22
"20","GcKAwDmVDD","MOOSPMv3Parser",1761093000,11,11,6,14,14,6,6,15,15,6,1987,560,54136,88,47,3,47,47,27,30,47,0,28,30,37,35,80.381,114,3277,36.139072,-120.368439,167.554993,8,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 00:30:08,2025-10-22 00:30:09,2025-10-22 00:30:09,2025-10-22
"21","BctG0EKlMp","MOOSPMv3Parser",1761093600,5,5,6,8,8,6,6,9,9,6,581,453,2191,71,47,4,47,47,28,31,47,0,27,31,39,34,52.355,125,2,36.139015,-120.368393,163.264008,7,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 00:40:02,2025-10-22 00:40:02,2025-10-22 00:40:02,2025-10-22
"22","jKwxsEs9k6","MOOSPMv3Parser",1761093600,11,11,6,14,14,6,6,14,14,6,2592,628,2013,77,45,2,45,45,28,27,45,0,27,31,38,34,45.251,47,3277,36.139103,-120.368233,216.934006,5,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 00:40:02,2025-10-22 00:40:02,2025-10-22 00:40:02,2025-10-22
"23","mfpYWJgAGv","MOOSPMv3Parser",1761093600,10,10,6,14,14,6,6,14,14,6,1941,549,54178,80,48,3,48,48,26,31,48,0,27,29,38,36,76.814,90,3277,36.138988,-120.368362,181.766998,7,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 00:40:03,2025-10-22 00:40:03,2025-10-22 00:40:03,2025-10-22
"24","ivUye5qPIB","MOOSPMv3Parser",1761093600,4,4,3,6,6,3,3,7,7,3,545,406,399,55,21,3,21,21,28,32,21,0,27,32,39,33,28.783,210,1,36.138973,-120.368332,169.112,7,600,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 00:40:03,2025-10-22 00:40:03,2025-10-22 00:40:03,2025-10-22
"25","2LsF0m0m8Q","MOOSPMv3Parser",1761093600,12,12,5,16,16,5,5,16,16,5,2638,639,603,85,41,3,41,41,27,30,41,0,28,31,37,34,0,188,1,36.139118,-120.368301,195.294998,0,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 00:40:07,2025-10-22 00:40:07,2025-10-22 00:40:07,2025-10-22
"26","YnxNKObTlk","MOOSPMv3Parser",1761094200,4,4,3,6,6,3,3,6,6,3,535,398,417,55,21,2,21,21,28,33,21,0,26,31,41,34,24.591,483,1,36.139038,-120.36834,172.473007,7,600,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 00:50:03,2025-10-22 00:50:03,2025-10-22 00:50:03,2025-10-22
"27","Im1shdlXVP","MOOSPMv3Parser",1761094200,11,11,6,15,15,6,6,16,16,6,2488,652,2052,93,45,3,45,45,27,28,45,0,27,30,39,35,42.146,183,3277,36.139061,-120.368469,164.917999,6,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 00:50:05,2025-10-22 00:50:05,2025-10-22 00:50:05,2025-10-22
"28","PFNhzx4SDn","MOOSPMv3Parser",1761094200,5,5,6,8,8,6,6,9,9,6,579,454,2230,69,46,4,47,47,27,32,47,0,27,30,41,35,46.526,311,1,36.138973,-120.368362,180.098007,10,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 00:50:05,2025-10-22 00:50:06,2025-10-22 00:50:06,2025-10-22
"29","GL4iVQ6G3F","MOOSPMv3Parser",1761094200,11,11,6,15,15,6,6,15,15,6,2067,586,642,84,45,3,45,45,27,31,45,0,27,30,38,35,0,460,1,36.139133,-120.368294,207.847,7,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 00:50:07,2025-10-22 00:50:07,2025-10-22 00:50:07,2025-10-22
"30","B6JsptD4im","MOOSPMv3Parser",1761094200,10,10,6,14,14,6,6,14,14,6,1940,546,54219,79,48,3,48,48,26,32,48,0,27,29,40,37,70.748,236,3277,36.139038,-120.368263,182.492996,6,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 00:50:08,2025-10-22 00:50:08,2025-10-22 00:50:08,2025-10-22
"31","WAu4poSIXL","MOOSPMv3Parser",1761094800,12,12,7,16,16,7,7,16,16,7,2580,678,2097,98,52,3,52,52,26,31,52,0,26,29,42,38,43.714,220,3277,36.13905,-120.368355,180.097,7,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 01:00:02,2025-10-22 01:00:02,2025-10-22 01:00:02,2025-10-22
"32","7pkfi7iDAf","MOOSPMv3Parser",1761094800,12,12,7,16,16,7,7,17,17,7,2185,620,54266,94,55,4,55,55,26,35,55,0,26,28,42,40,71.026,270,3277,36.139011,-120.368393,156.830002,6,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 01:00:02,2025-10-22 01:00:03,2025-10-22 01:00:03,2025-10-22
"33","JbPNInyaMZ","MOOSPMv3Parser",1761094800,6,6,7,11,11,7,7,13,13,7,643,511,2274,79,52,5,52,52,27,34,52,0,26,29,44,38,48.809,368,1,36.138973,-120.368362,180.097,0,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 01:00:03,2025-10-22 01:00:03,2025-10-22 01:00:03,2025-10-22
"34","GXvbC4Tdsq","MOOSPMv3Parser",1761094800,5,5,3,8,8,3,3,8,8,3,594,452,436,64,23,3,23,23,27,35,23,0,26,30,43,37,23.133,497,1,36.139038,-120.36834,172.475006,0,600,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 01:00:03,2025-10-22 01:00:03,2025-10-22 01:00:03,2025-10-22
"35","lTNRGHheML","MOOSPMv3Parser",1761094800,13,13,6,17,17,7,7,17,17,7,2326,656,686,91,50,3,50,50,26,34,50,0,27,29,41,38,0,494,1,36.139042,-120.368172,184.936996,6,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 01:00:08,2025-10-22 01:00:08,2025-10-22 01:00:08,2025-10-22
"36","AyF8QNaeIc","MOOSPMv3Parser",1761095400,6,6,7,12,12,8,8,13,13,8,654,522,2321,85,56,5,56,56,26,35,56,0,26,29,45,39,45.904,236,1,36.139072,-120.368324,175.751007,9,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22
"37","sInfC8yDFx","MOOSPMv3Parser",1761095400,13,13,7,17,17,7,7,17,17,7,2664,700,2145,94,56,2,56,56,26,32,56,0,25,29,44,40,41.276,131,3277,36.139046,-120.368172,211.604996,7,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22
"38","tkWDkw2PfE","MOOSPMv3Parser",1761095400,5,5,3,8,8,3,3,9,9,3,620,472,458,65,25,3,25,25,26,36,25,0,25,29,45,38,26.17,473,1,36.139027,-120.368332,177.662994,11,599,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22
"39","v5O8f1jdrJ","MOOSPMv3Parser",1761095400,13,13,7,17,17,7,7,17,17,7,2368,665,730,95,51,2,51,51,25,36,51,0,26,28,43,39,0,421,1,36.139034,-120.368294,163.572006,5,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22 01:10:02,2025-10-22
"40","4e280iyPNi","MOOSPMv3Parser",1761095400,13,13,7,16,16,8,8,17,17,8,2242,637,54315,93,57,4,57,57,25,38,57,0,26,27,44,42,67.334,197,3277,36.139034,-120.368362,157.199005,7,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 01:10:03,2025-10-22 01:10:03,2025-10-22 01:10:03,2025-10-22
"41","aXqANbFdam","MOOSPMv3Parser",1761096000,21,18,11,28,24,11,11,28,25,11,4170,1081,2219,154,85,5,86,86,25,34,86,0,25,28,46,41,39.987,93,3277,36.139137,-120.368172,214.412994,7,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 01:20:02,2025-10-22 01:20:02,2025-10-22 01:20:02,2025-10-22
"42","rbcpw0UoYE","MOOSPMv3Parser",1761096000,13,11,5,19,16,6,6,19,18,6,965,770,493,112,43,5,43,43,26,37,43,0,25,28,47,39,25.847,431,1,36.139065,-120.368332,167.804993,8,600,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 01:20:03,2025-10-22 01:20:03,2025-10-22 01:20:03,2025-10-22
"43","feUQAya1G2","MOOSPMv3Parser",1761096000,19,17,11,26,23,11,11,26,24,11,3323,944,54388,153,85,6,85,85,24,39,85,0,25,27,46,43,64.507,164,3277,36.139057,-120.368408,173.628998,5,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 01:20:03,2025-10-22 01:20:03,2025-10-22 01:20:03,2025-10-22
"44","cOh6fBHwnN","MOOSPMv3Parser",1761096000,12,11,11,20,18,12,12,21,20,12,925,764,2394,126,87,7,87,87,25,36,87,0,25,28,47,41,43.796,185,1,36.138973,-120.368385,161.729996,9,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 01:20:06,2025-10-22 01:20:07,2025-10-22 01:20:07,2025-10-22
