"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"1","DYBwbAclGD","MOOSPMv3Parser",1728777600,0.45,0.45,6553.5,0.72,0.72,6553.5,6553.5,0.79,0.79,6553.5,219.15,64.62,232718.59,7.08,6553.5,0.27,6553.5,6553.5,28.8,22.8,6553.5,65.54,0,327.7,0,655.3,35.95,6553.5,6553.5,0,0,0,0,590,58,1,"e00fce682bbf742cd0b6768a",2024-10-13 00:00:02,2024-10-13 00:00:02,2024-10-13 00:00:02,2024-10-13
"2","A8YKblZzKS","MOOSPMv3Parser",1728777600,0.57,0.57,0.85,0.89,0.89,1.1,1.29,1.14,1.14,1.37,375.46,78.03,71.25,9.91,6.4,0.91,6.64,6.68,28.6,17.9,6.69,0.62,29.5,32,26.7,26,0.001,20.6,1,36.139191,-120.368179,202.076004,0,600,58,1,"e00fce68e77e43df92405fdb",2024-10-13 00:00:02,2024-10-13 00:00:02,2024-10-13 00:00:02,2024-10-13
"3","7unU4UAmmQ","MOOSPMv3Parser",1728777600,1,1,2,2,2,3,3,3,3,4,358,111,255142,24,14,4,15,15,1,1,15,1,29,31,33,32,0.003,17,7,36.433529,-119.923401,22.282,7,600,58,3,"e00fce6876826e255108c6bd",2024-10-13 00:00:02,2024-10-13 00:00:03,2024-10-13 00:00:03,2024-10-13
"4","kz7FdeCL0c","MOOSPMv3Parser",1728777601,1,1,1,2,2,1,1,2,2,1,413,97,200085,14,9,1,9,9,27,18,9,0,29,30,28,28,511.148,19,1,36.010536,-120.140343,210.528,5,600,58,3,"e00fce6850cac69f647dc199",2024-10-13 00:00:03,2024-10-13 00:00:03,2024-10-13 00:00:03,2024-10-13
"5","3QjQEPZoKY","MOOSPMv3Parser",1728777601,1,1,1,1,1,1,1,1,1,1,276,76,5339,9,8,0,8,8,29,18,8,1,30,34,27,24,33.071,29,2,36.138927,-120.368301,176.895004,9,600,58,3,"e00fce68f12da1a0c5de6248",2024-10-13 00:00:03,2024-10-13 00:00:03,2024-10-13 00:00:03,2024-10-13
"6","f1V4dTyDWz","MOOSPMv3Parser",1728777601,1,1,1,1,1,1,1,1,1,1,310,78,6116,11,7,1,8,8,30,15,8,1,30,35,26,22,33.246,41,1,36.138885,-120.368347,170.445007,7,600,58,3,"e00fce68e88237db75a60608",2024-10-13 00:00:03,2024-10-13 00:00:04,2024-10-13 00:00:04,2024-10-13
"7","3NeAxmUlxd","MOOSPMv3Parser",1728777601,0,0,1,0,0,1,1,1,1,1,311,79,3607,14,8,1,8,8,28,16,8,1,29,33,27,25,514.222,22,2,36.138969,-120.368324,174.289001,7,600,58,3,"e00fce68e739ecbcf9e91965",2024-10-13 00:00:04,2024-10-13 00:00:05,2024-10-13 00:00:05,2024-10-13
"8","HrP1hApGvR","MOOSPMv3Parser",1728778201,2,2,2,3,3,3,3,3,3,4,433,125,279686,19,18,1,19,19,28,23,19,1,29,31,32,31,510.863,15,1,36.785305,-119.773094,71.107002,5,600,58,3,"e00fce6856818e5885f65487",2024-10-13 00:09:58,2024-10-13 00:09:58,2024-10-13 00:09:58,2024-10-13
"9","vZh7gow6OD","MOOSPMv3Parser",1728778200,0.33,0.33,6553.5,0.83,0.83,6553.5,6553.5,0.9,0.9,6553.5,224.15,66.44,239278.59,7.81,6553.5,0.77,6553.5,6553.5,28.2,23.5,6553.5,65.54,0,327.7,0,655.3,34.953,6553.5,6553.5,0,0,0,0,590,58,1,"e00fce682bbf742cd0b6768a",2024-10-13 00:10:02,2024-10-13 00:10:02,2024-10-13 00:10:02,2024-10-13
"10","7U9FgGDIKZ","MOOSPMv3Parser",1728778200,0.43,0.43,0.9,0.89,0.89,1.21,1.43,1.02,1.02,1.54,352.89,73.3,76.74,9.52,6.74,0.69,7.04,7.09,28.1,18.3,7.11,0.64,29,31.5,27.5,26.7,0.001,11.2,1,36.138885,-120.368332,163.953995,7,600,58,1,"e00fce68e77e43df92405fdb",2024-10-13 00:10:02,2024-10-13 00:10:02,2024-10-13 00:10:02,2024-10-13
