"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","UCUNEEwwoT","MOOSPMv3Parser",1681690201,4.12,4.12,3.27,6.08,6.08,3.43,3.44,6.51,6.51,3.45,952.25,257.14,13099.2,40.62,25.57,2.7,25.66,25.67,18.6,18.3,25.68,0.44,17.3,19.9,19.1,16.4,38.641,104.5,1,40.594227,-105.075943,1531.82605,5,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 00:09:58,2023-04-17 00:09:58,2023-04-17 00:09:58,2023-04-17
"2","cOPEHmL0v9","MOOSPMv3Parser",1681690801,4.33,4.33,3.59,6.57,6.57,3.76,3.76,7.12,7.12,3.76,1012.9,266.42,13123.38,42.69,28.06,2.87,28.15,28.16,18.4,18.3,28.17,0.43,17.4,19.7,18.8,16.5,38.406,101.8,1,40.594166,-105.075905,1515.641968,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 00:19:58,2023-04-17 00:19:58,2023-04-17 00:19:58,2023-04-17
"3","Bid6EkfV8R","MOOSPMv3Parser",1681691401,4.04,4.04,3.43,5.95,5.95,3.62,3.64,6.59,6.59,3.65,911.91,244.73,13146.45,39.14,26.81,2.97,26.93,26.94,18.2,18.5,26.95,0.45,17.4,19.5,18.9,16.7,38.438,99.4,1,40.594059,-105.075821,1510.621948,6,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 00:29:58,2023-04-17 00:29:58,2023-04-17 00:29:58,2023-04-17
"4","IAxVab7QGo","MOOSPMv3Parser",1681692001,4.12,4.12,3.66,6.17,6.17,3.9,3.96,6.99,6.99,3.99,928.69,248.23,13170.95,41.32,28.56,3.28,28.73,28.75,18,18.7,28.76,0.46,17.2,19.2,19,16.9,37.424,99.4,1,40.594131,-105.075798,1526.489014,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 00:39:58,2023-04-17 00:39:58,2023-04-17 00:39:58,2023-04-17
"5","pBLCoLTKR2","MOOSPMv3Parser",1681692601,3.77,3.77,3.12,5.59,5.59,3.3,3.32,6.13,6.13,3.33,892.6,237.45,13191.94,36.16,24.42,2.61,24.53,24.54,17.7,19.1,24.54,0.44,16.7,18.9,20.3,17.8,38.285,89.8,1,40.594044,-105.075836,1503.713989,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 00:49:58,2023-04-17 00:49:58,2023-04-17 00:49:58,2023-04-17
"6","sRJtNh6LOd","MOOSPMv3Parser",1681693201,3.66,3.66,3.28,5.2,5.2,3.45,3.45,5.42,5.42,3.45,863.03,232.07,13214.06,33.95,25.67,1.58,25.77,25.77,17.4,19.1,25.78,0.44,16.5,18.5,19.9,17.5,37.861,89.2,1,40.594143,-105.075897,1554.232056,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 00:59:58,2023-04-17 00:59:58,2023-04-17 00:59:58,2023-04-17
"7","jj23Dj95As","MOOSPMv3Parser",1681693801,3.75,3.75,3.19,5.45,5.45,3.35,3.36,5.83,5.83,3.36,858.3,231.59,13235.57,34.66,24.99,2.42,25.08,25.08,17.3,19.5,25.09,0.44,16.4,18.4,20.6,18.2,37.555,88.3,1,40.594078,-105.075829,1534.197021,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 01:09:58,2023-04-17 01:09:58,2023-04-17 01:09:58,2023-04-17
"8","YGCH0OAUOx","MOOSPMv3Parser",1681694401,3.6,3.6,3.19,5.26,5.26,3.35,3.35,5.78,5.78,3.35,826.55,225.36,13257.08,35.07,24.96,2.54,25.05,25.06,17.1,19.6,25.06,0.44,16.1,18.1,20.3,18.1,37.13,88.7,1,40.594078,-105.075829,1534.196045,0,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 01:19:58,2023-04-17 01:19:58,2023-04-17 01:19:58,2023-04-17
"9","gDbYrEqq93","MOOSPMv3Parser",1681695001,3.85,3.85,3.29,5.73,5.73,3.45,3.46,6,6,3.46,851.02,234.02,13279.23,38.14,25.72,2.69,25.81,25.82,16.7,19.9,25.82,0.44,15.5,17.7,21.4,18.6,36.552,88.5,1,40.594078,-105.075752,1500.005005,8,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 01:29:58,2023-04-17 01:29:58,2023-04-17 01:29:58,2023-04-17
"10","mGeUeyTrK7","MOOSPMv3Parser",1681695601,3.63,3.63,3.24,5.14,5.14,3.42,3.43,5.63,5.63,3.43,796.69,219.66,13301.09,33.91,25.4,2.69,25.5,25.51,16.3,20.3,25.52,0.44,15,17.2,22,19.2,35.737,91.9,1,40.594158,-105.075836,1516.592041,7,58,600,1,"e00fce6835b6173deb1a1f49",2023-04-17 01:39:58,2023-04-17 01:39:58,2023-04-17 01:39:58,2023-04-17
