"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"1","SzZYxsnizD","MOOSPMv3Parser",1687996801,6.05,6.05,1.68,8.1,8.1,1.76,1.76,8.62,8.62,1.76,1341.65,345.47,17945.92,45.84,13.18,2.43,13.22,13.22,29.6,30.4,13.23,0.39,33.1,34.1,29.9,28.4,45.276,127.3,1,36.634304,-120.382301,35.285999,6,600,58,1,"e00fce6835b6173deb1a1f49",2023-06-29 00:00:00,2023-06-29 00:00:00,2023-06-29 00:00:00,2023-06-29
"2","CpQfM0DUiZ","MOOSPMv3Parser",1687996800,6.27,6.27,2.59,8.49,8.49,2.72,2.72,8.85,8.85,2.72,1317.41,352.65,44569.43,49.78,20.29,2.52,20.37,20.37,32.6,24.7,20.37,0.34,33.2,37.6,27.6,23.7,28.295,63.4,1,36.785427,-119.773056,69.273003,6,600,58,1,"e00fce68e77e43df92405fdb",2023-06-29 00:00:02,2023-06-29 00:00:02,2023-06-29 00:00:02,2023-06-29
"3","lmfcX0adZM","MOOSPMv3Parser",1687996800,5.51,5.51,3.67,7.79,7.79,3.85,3.85,7.93,7.93,3.85,1334.04,348.92,326.66,50.89,28.74,1.55,28.82,28.83,32.4,25.9,28.83,0.42,33.2,36.8,27.7,24.6,54.992,5.6,3276.7,36.785454,-119.773071,62.486,8,600,58,1,"e00fce6858b443fd80f27170",2023-06-29 00:00:02,2023-06-29 00:00:02,2023-06-29 00:00:02,2023-06-29
"4","TopyjDzXRV","MOOSPMv3Parser",1687996800,7.35,7.35,4.15,10.3,10.3,4.35,4.35,10.66,10.66,4.35,1450.6,402.18,15548.47,64.71,32.48,2.7,32.6,32.6,32.9,18.7,32.61,0.35,33.9,37.6,23.2,20,0.073,68.6,1,35.613243,-119.689575,54.091999,0,600,58,1,"e00fce68e88237db75a60608",2023-06-29 00:00:02,2023-06-29 00:00:02,2023-06-29 00:00:02,2023-06-29
"5","huYvCUiN3Q","MOOSPMv3Parser",1687996801,4.4,4.4,3.39,6.34,6.34,3.55,3.55,6.67,6.67,3.55,1021.2,268.44,504.33,43.06,26.49,2.14,26.59,26.59,31.9,26,26.6,0.39,33.1,37.7,27.8,22.9,58.433,162.8,1,36.785381,-119.773056,78.838997,7,600,58,1,"e00fce6850cac69f647dc199",2023-06-29 00:00:02,2023-06-29 00:00:03,2023-06-29 00:00:03,2023-06-29
"6","ICAH0FeH75","MOOSPMv3Parser",1687996801,6.16,6.16,46.57,8.48,8.48,48.84,48.84,8.72,8.72,48.84,1241.05,350.23,48970.09,51.16,364.53,2.16,365.82,365.88,31.8,27.3,365.92,0.34,32.8,36.7,30.7,24,51.161,74.6,1,36.785431,-119.773148,80.405998,6,600,58,1,"e00fce68f12da1a0c5de6248",2023-06-29 00:00:03,2023-06-29 00:00:03,2023-06-29 00:00:03,2023-06-29
"7","9D6iCXKkUn","MOOSPMv3Parser",1687996801,5.18,5.18,2.94,7.33,7.33,3.08,3.08,7.53,7.53,3.08,1088.78,301.4,38838.81,47.16,22.97,2.32,23.06,23.07,31.7,24.2,23.07,0.35,33.5,36.5,27.2,24.4,56.364,82.3,1,36.785374,-119.773109,62.181999,0,600,58,1,"e00fce6808784ceaf209f949",2023-06-29 00:00:04,2023-06-29 00:00:04,2023-06-29 00:00:04,2023-06-29
"8","nOY65g0zl9","MOOSPMv3Parser",1687996801,5.39,5.39,3.83,8.13,8.13,4.01,4.01,8.51,8.51,4.01,1180.77,322.37,24153.15,54.67,29.95,3.11,30.06,30.07,31.9,22.3,30.07,0.35,32.8,36.2,28.1,25.5,44.37,30.9,1,36.785408,-119.773148,73.394997,10,600,58,1,"e00fce68e739ecbcf9e91965",2023-06-29 00:00:04,2023-06-29 00:00:04,2023-06-29 00:00:04,2023-06-29
"9","85E6W9WRq7","MOOSPMv3Parser",1687997401,4.46,4.46,3.59,6.39,6.39,3.76,3.76,6.64,6.64,3.76,1027.44,299.03,69264.27,44.98,28.08,1.41,28.19,28.19,31.8,26.8,28.19,0.36,32.9,36.6,28.4,24.5,46.09,66.1,1,36.785404,-119.773155,72.853996,4,600,58,1,"e00fce6856818e5885f65487",2023-06-29 00:09:58,2023-06-29 00:09:58,2023-06-29 00:09:58,2023-06-29
"10","TLgIkGiI3t","MOOSPMv3Parser",1687997401,6.82,6.82,1.89,9.12,9.12,1.98,1.98,9.71,9.71,1.98,1488.93,379.63,17958.65,50.78,14.77,3.23,14.82,14.83,29.5,31,14.83,0.38,33.1,33.9,30.5,29,44.143,127.6,1,36.634312,-120.382454,39.169998,7,600,58,1,"e00fce6835b6173deb1a1f49",2023-06-29 00:10:00,2023-06-29 00:10:00,2023-06-29 00:10:00,2023-06-29
