"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","QU9kLhvkod","MOOSPMPSParser",1688774760,4.91,4.91,4.4,7.46,7.46,4.65,4.65,7.94,7.94,4.65,1273.38,335.74,9669.28,55.66,35.02,3.4,35.11,35.12,0.57,0.22,35.13,0.45,33.5,35,57.815,42,"e00fce68f8f5a1da595c7249",2023-07-08 00:06:02,2023-07-08 00:06:02,2023-07-08 00:06:02,2023-07-08
"2","bxtrobgGeN","MOOSPMPSParser",1688775360,5.41,5.41,4.52,8.29,8.29,4.78,4.78,9.12,9.12,4.78,1402.22,366.88,9972.92,58.79,36.01,4.05,36.1,36.11,1.28,0.44,36.12,0.44,33.4,34.2,58.705,42,"e00fce68f8f5a1da595c7249",2023-07-08 00:16:02,2023-07-08 00:16:02,2023-07-08 00:16:02,2023-07-08
"3","rJrGMU2EnQ","MOOSPMPSParser",1688775960,5.87,5.87,4.94,8.81,8.81,5.22,5.22,9.48,9.48,5.22,1454.86,386.39,10309.26,65.24,39.33,3.77,39.43,39.44,1,0.29,39.45,0.47,33.2,36.7,60.335,42,"e00fce68f8f5a1da595c7249",2023-07-08 00:26:02,2023-07-08 00:26:02,2023-07-08 00:26:02,2023-07-08
"4","Km2rsytIjl","MOOSPMPSParser",1688776560,5.66,5.66,4.33,8.55,8.55,4.58,4.58,9.26,9.26,4.58,1452.24,381.21,10640.2,62.83,34.51,3.59,34.6,34.6,1,0.38,34.61,0.46,33,37.3,54.774,42,"e00fce68f8f5a1da595c7249",2023-07-08 00:36:02,2023-07-08 00:36:02,2023-07-08 00:36:02,2023-07-08
"5","9iOU3rHnxu","MOOSPMPSParser",1688777160,5.83,5.83,5.22,8.79,8.79,5.52,5.52,9.23,9.23,5.52,1468.37,387.43,10979.96,62.68,41.56,3.39,41.67,41.68,0.55,0.26,41.69,0.44,32.9,36.7,60.725,42,"e00fce68f8f5a1da595c7249",2023-07-08 00:46:02,2023-07-08 00:46:02,2023-07-08 00:46:02,2023-07-08
"6","UM19ob1nm8","MOOSPMPSParser",1688777760,5.63,5.63,4.47,8.48,8.48,4.73,4.73,9.05,9.05,4.73,1442.58,378.37,11306.98,61.27,35.61,3.24,35.7,35.71,0.67,0.29,35.72,0.45,33,35.6,59.425,42,"e00fce68f8f5a1da595c7249",2023-07-08 00:56:02,2023-07-08 00:56:02,2023-07-08 00:56:02,2023-07-08
"7","g6Q5ITDW9a","MOOSPMPSParser",1688778360,5.94,5.94,5.17,8.98,8.98,5.47,5.47,9.55,9.55,5.47,1478.58,391.98,11657.92,66.15,41.17,3.12,41.28,41.29,0.71,0.42,41.3,0.47,32.9,37.4,58.417,42,"e00fce68f8f5a1da595c7249",2023-07-08 01:06:02,2023-07-08 01:06:02,2023-07-08 01:06:02,2023-07-08
"8","3DgkNOxzPS","MOOSPMPSParser",1688778960,5.85,5.85,5.24,8.75,8.75,5.54,5.54,9.75,9.75,5.54,1473.38,392.13,12016.02,64.2,41.73,4.14,41.84,41.85,1.33,0.73,41.86,0.48,32.7,38.5,57.735,42,"e00fce68f8f5a1da595c7249",2023-07-08 01:16:10,2023-07-08 01:16:10,2023-07-08 01:16:10,2023-07-08
"9","QHQGcMsZBK","MOOSPMPSParser",1688779560,5.99,5.99,5.63,9.31,9.31,5.96,5.96,9.98,9.98,5.96,1517.14,400.45,12380.7,69.67,44.85,4.33,44.96,44.97,0.7,0.37,44.98,0.45,32.3,37.1,57.531,42,"e00fce68f8f5a1da595c7249",2023-07-08 01:26:02,2023-07-08 01:26:02,2023-07-08 01:26:02,2023-07-08
"10","PtyXK8gCC6","MOOSPMPSParser",1688780160,6.17,6.17,5.14,9.4,9.4,5.43,5.43,10,10,5.43,1530.12,405.37,12736.47,68.46,40.88,4.89,40.99,41,0.72,0.39,41.01,0.47,32,37.3,58.229,42,"e00fce68f8f5a1da595c7249",2023-07-08 01:36:02,2023-07-08 01:36:02,2023-07-08 01:36:02,2023-07-08
