"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","1PC9X4mO03","MOOSPMPSParser",1684368360,2.82,2.82,2.52,3.92,3.92,2.95,3.2,4.73,4.73,3.32,918.06,236.2,7245.11,29.58,19.7,2.21,20.04,20.09,1.15,0.69,20.09,0.54,36.1,27.2,60.563,42,"e00fce68f8f5a1da595c7249",2023-05-18 00:06:02,2023-05-18 00:06:03,2023-05-18 00:06:03,2023-05-18
"2","tehZOAaUNK","MOOSPMPSParser",1684368420,2.95,2.95,2.44,3.88,3.88,2.88,3.13,4.54,4.54,3.25,788.74,211.31,772134.69,21.05,19.12,1.53,19.47,19.51,0.75,0.52,19.52,0.56,35.3,23.1,54.978,42,"e00fce68a145996ae3d821b8",2023-05-18 00:07:01,2023-05-18 00:07:01,2023-05-18 00:07:01,2023-05-18
"3","ilMcm7gpTl","MOOSPMPSParser",1684368960,2.24,2.24,2.14,3.54,3.54,2.47,2.65,4.3,4.3,2.73,851.29,218.88,7396.95,28.02,16.83,1.69,17.08,17.11,1,0.64,17.12,0.51,36.1,27.4,59.63,42,"e00fce68f8f5a1da595c7249",2023-05-18 00:16:02,2023-05-18 00:16:03,2023-05-18 00:16:03,2023-05-18
"4","9itbCFQ3Y3","MOOSPMPSParser",1684369020,3.17,3.17,2.33,3.91,3.91,2.71,2.91,4.45,4.45,3,752.02,212.91,772289.56,19.85,18.28,1.36,18.57,18.61,0.58,0.39,18.61,0.54,35.3,23,55.841,42,"e00fce68a145996ae3d821b8",2023-05-18 00:17:01,2023-05-18 00:17:01,2023-05-18 00:17:01,2023-05-18
"5","LG4CyLHUeA","MOOSPMPSParser",1684369560,2.75,2.75,3.89,4.12,4.12,4.67,5.12,4.65,4.65,5.34,899.7,233.86,7578.74,32.55,30.36,2.08,30.99,31.08,0.69,0.31,31.09,0.57,35.8,29.1,58.829,42,"e00fce68f8f5a1da595c7249",2023-05-18 00:26:02,2023-05-18 00:26:02,2023-05-18 00:26:02,2023-05-18
"6","CGSGhqTZcX","MOOSPMPSParser",1684369620,2.55,2.55,2.63,3.27,3.27,3.17,3.48,3.66,3.66,3.64,645.29,181.64,772437.62,16.78,20.53,1.25,20.96,21.02,0.33,0.13,21.03,0.54,35.1,22.7,55.797,42,"e00fce68a145996ae3d821b8",2023-05-18 00:27:01,2023-05-18 00:27:01,2023-05-18 00:27:01,2023-05-18
"7","rXKtDOnzLh","MOOSPMPSParser",1684370160,2.55,2.55,2.29,4.11,4.11,2.78,3.07,4.63,4.63,3.22,891.56,231.39,7758.52,32.75,17.85,2.37,18.24,18.3,0.75,0.28,18.31,0.59,35.7,25.7,56.677,42,"e00fce68f8f5a1da595c7249",2023-05-18 00:36:02,2023-05-18 00:36:03,2023-05-18 00:36:03,2023-05-18
"8","XeBKq0uAw9","MOOSPMPSParser",1684370220,2.69,2.69,2.42,3.42,3.42,3.12,3.59,3.95,3.95,3.82,700.03,193.94,772599.12,19.24,18.64,1.26,19.24,19.33,0.5,0.29,19.34,0.6,35.2,23.1,55.449,42,"e00fce68a145996ae3d821b8",2023-05-18 00:37:01,2023-05-18 00:37:01,2023-05-18 00:37:01,2023-05-18
"9","fTQhev2hMP","MOOSPMPSParser",1684370760,1.99,1.99,2.59,3.22,3.22,3.05,3.3,3.98,3.98,3.43,801.45,205.04,7914.71,27.45,20.23,1.93,20.59,20.64,1.05,0.63,20.65,0.52,35.2,26.6,59.337,42,"e00fce68f8f5a1da595c7249",2023-05-18 00:46:02,2023-05-18 00:46:03,2023-05-18 00:46:03,2023-05-18
"10","kmbgoWZcDN","MOOSPMPSParser",1684370820,2.9,2.9,2.51,3.84,3.84,3.29,3.82,4.65,4.65,4.09,807.89,203.24,772776.06,22.33,19.22,2.06,19.91,20.01,0.92,0.54,20.02,0.62,34.9,24.4,55.348,42,"e00fce68a145996ae3d821b8",2023-05-18 00:47:01,2023-05-18 00:47:01,2023-05-18 00:47:01,2023-05-18
"11","XCcjf29NKt","MOOSPMPSParser",1684371360,2.32,2.32,2.43,3.46,3.46,2.78,2.95,4.17,4.17,3.04,818.67,214.98,8060.31,27.19,19.12,2.32,19.37,19.41,1.05,0.45,19.42,0.52,34.9,26.7,57.102,42,"e00fce68f8f5a1da595c7249",2023-05-18 00:56:02,2023-05-18 00:56:03,2023-05-18 00:56:03,2023-05-18
"12","scCHpe1Xhb","MOOSPMPSParser",1684371421,2.97,105.06,3.03,6.17,16.73,3.89,4.46,59.96,4.64,4.75,762.96,207.83,772952,18.17,23.32,89.82,24.06,24.17,39.26,14.37,24.18,0.61,34.9,25.8,55.106,42,"e00fce68a145996ae3d821b8",2023-05-18 00:57:01,2023-05-18 00:57:01,2023-05-18 00:57:01,2023-05-18
"13","RPYeyTSvty","MOOSPMPSParser",1684371960,2.29,2.29,2.13,3.73,3.73,2.49,2.69,4.46,4.46,2.78,843.62,216.18,8218.77,30.08,16.7,2.72,16.98,17.02,0.99,0.59,17.02,0.53,34.6,27.9,58.002,42,"e00fce68f8f5a1da595c7249",2023-05-18 01:06:02,2023-05-18 01:06:03,2023-05-18 01:06:03,2023-05-18
"14","DJWLtAiFof","MOOSPMPSParser",1684372021,3.49,38.12,2.87,6.96,129.44,3.7,4.25,7.95,12.96,4.52,783.65,226.4,773130.88,21.6,22.12,1.58,22.83,22.94,89.47,38.99,22.95,0.6,34.5,26.6,55.937,42,"e00fce68a145996ae3d821b8",2023-05-18 01:07:00,2023-05-18 01:07:01,2023-05-18 01:07:01,2023-05-18
"15","fZr76kNGaf","MOOSPMPSParser",1684372560,2.77,2.77,2.79,4.01,4.01,3.03,3.09,4.55,4.55,3.13,907.7,233.01,8397.27,30.3,22.1,2.15,22.23,22.25,0.81,0.35,22.26,0.5,34.4,29.6,57.633,42,"e00fce68f8f5a1da595c7249",2023-05-18 01:16:02,2023-05-18 01:16:02,2023-05-18 01:16:02,2023-05-18
"16","j127AaOMUk","MOOSPMPSParser",1684372621,3.6,3.6,2.74,4.57,4.57,3.27,3.58,5.17,5.17,3.74,848.15,233.47,773310,24.29,21.34,1.51,21.77,21.84,0.62,0.37,21.84,0.57,34.3,27.9,53.175,42,"e00fce68a145996ae3d821b8",2023-05-18 01:17:01,2023-05-18 01:17:01,2023-05-18 01:17:01,2023-05-18
"17","SKPzfFjgZX","MOOSPMPSParser",1684373160,2.95,2.95,3.41,4.75,4.75,4.02,4.37,5.52,5.52,4.54,928.66,245.79,8595.83,36.62,26.7,3.5,27.18,27.25,0.95,0.42,27.26,0.57,34.3,30.4,56.397,42,"e00fce68f8f5a1da595c7249",2023-05-18 01:26:02,2023-05-18 01:26:03,2023-05-18 01:26:03,2023-05-18
"18","UPWeQZH2BW","MOOSPMPSParser",1684373221,3.57,3.57,2.83,4.5,4.5,3.41,3.75,5.15,5.15,3.91,862.94,236.58,773484.69,23.42,22.08,1.88,22.54,22.61,0.74,0.23,22.62,0.57,34.1,28.1,52.358,42,"e00fce68a145996ae3d821b8",2023-05-18 01:27:01,2023-05-18 01:27:01,2023-05-18 01:27:01,2023-05-18
"19","DCXrU8fdnu","MOOSPMPSParser",1684373760,2.9,2.9,2.25,4.25,4.25,2.53,2.66,4.97,4.97,2.72,957.43,247.92,8781.4,32.49,17.72,2.23,17.92,17.95,1.03,0.52,17.95,0.52,33.9,32.5,53.317,42,"e00fce68f8f5a1da595c7249",2023-05-18 01:36:02,2023-05-18 01:36:03,2023-05-18 01:36:03,2023-05-18
"20","pFjoMKexmb","MOOSPMPSParser",1684373821,3.65,3.65,3.31,4.64,4.64,4.03,4.47,5.29,5.29,4.69,988.27,250.89,773683.62,24.61,25.76,1.85,26.35,26.44,0.63,0.26,26.45,0.54,34,29.7,49.821,42,"e00fce68a145996ae3d821b8",2023-05-18 01:37:01,2023-05-18 01:37:01,2023-05-18 01:37:01,2023-05-18
