"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","GXXbuPUoAe","MOOSPMPSParser",1658621281,2.78,2.78,2.02,3.95,0.31,2.13,2.13,4.15,0.31,2.13,851.12,224.07,20605.09,27.38,16.06,1.29,16.1,16.1,0.3,0.09,16.11,0.42,22.5,36.8,29.411,42,"e00fce6835b6173deb1a1f49",2022-07-24 00:07:59,2022-07-24 00:07:59,2022-07-24 00:07:59,2022-07-24
"2","x8ZUNwoKCf","MOOSPMPSParser",1658621281,5.41,5.41,3.05,8.23,0.7,3.22,3.22,9.08,0.79,3.22,1118.52,310.19,17514.57,55.04,24.23,4.64,24.3,24.31,1.36,0.35,24.32,0.42,26.8,32.8,44.876,42,"e00fce68f8f5a1da595c7249",2022-07-24 00:08:02,2022-07-24 00:08:02,2022-07-24 00:08:02,2022-07-24
"3","Mz3Xgb3Lfu","MOOSPMPSParser",1658621881,1.8,1.8,1.98,2.69,0.22,2.09,2.09,2.82,0.24,2.09,682.76,178.3,20746.77,21.62,15.76,0.95,15.8,15.8,0.2,0.05,15.8,0.44,22,39,26.646,42,"e00fce6835b6173deb1a1f49",2022-07-24 00:17:59,2022-07-24 00:17:59,2022-07-24 00:17:59,2022-07-24
"4","IHVHyj7g3r","MOOSPMPSParser",1658621881,3.99,3.99,2.78,6.36,0.57,2.94,2.94,6.9,0.57,2.94,871,246.89,17729.69,42.64,22.13,3.9,22.19,22.2,0.83,0.26,22.21,0.44,25.2,34.9,47.896,42,"e00fce68f8f5a1da595c7249",2022-07-24 00:18:01,2022-07-24 00:18:02,2022-07-24 00:18:02,2022-07-24
"5","QRZzRCwAP5","MOOSPMPSParser",1658622481,1.01,1.01,1.85,1.67,0.12,1.96,1.96,1.74,0.12,1.96,531.93,139.96,20861.17,15.67,14.72,0.78,14.76,14.76,0.06,0.05,14.77,0.44,21.3,41.5,26.35,42,"e00fce6835b6173deb1a1f49",2022-07-24 00:27:59,2022-07-24 00:27:59,2022-07-24 00:27:59,2022-07-24
"6","a5Xa5cHdea","MOOSPMPSParser",1658622481,3.37,3.37,2.89,5.11,0.59,3.05,3.05,5.61,0.63,3.05,750.63,208.9,17913.16,34.22,22.96,2.8,23.03,23.04,0.83,0.26,23.04,0.42,24.7,35.8,47.499,42,"e00fce68f8f5a1da595c7249",2022-07-24 00:28:01,2022-07-24 00:28:01,2022-07-24 00:28:01,2022-07-24
"7","cxgoOzA0pe","MOOSPMPSParser",1658623081,2.05,2.05,2.22,2.99,0.34,2.34,2.34,3.31,0.38,2.34,747.61,199.66,20990.69,23.61,17.63,1.07,17.68,17.68,0.43,0.17,17.69,0.45,21.3,39.4,26.774,42,"e00fce6835b6173deb1a1f49",2022-07-24 00:37:59,2022-07-24 00:37:59,2022-07-24 00:37:59,2022-07-24
"8","iyBl9lwDuU","MOOSPMPSParser",1658623081,3.66,3.66,2.78,5.46,0.39,2.94,2.94,5.62,0.39,2.94,827.06,232.84,18108.5,36.53,22.09,1.93,22.16,22.17,0.29,0,22.17,0.43,24.3,36.6,46.542,42,"e00fce68f8f5a1da595c7249",2022-07-24 00:38:01,2022-07-24 00:38:01,2022-07-24 00:38:01,2022-07-24
"9","zOFArQnUYe","MOOSPMPSParser",1658623681,1.73,1.73,1.49,2.6,0.18,1.57,1.57,2.91,0.23,1.57,706.64,181.64,21123.94,20.31,11.84,1.28,11.87,11.87,0.5,0.22,11.87,0.42,20.9,41.3,27.458,42,"e00fce6835b6173deb1a1f49",2022-07-24 00:47:59,2022-07-24 00:47:59,2022-07-24 00:47:59,2022-07-24
"10","pfvqv7GTDc","MOOSPMPSParser",1658623740,3.57,3.57,3.14,5.77,1.03,3.32,3.32,5.93,1.07,3.32,818,228.72,9240.53,41.3,24.99,2.69,25.07,25.07,0.31,0,25.08,0.42,24.9,36.8,47.326,42,"e00fce68f8f5a1da595c7249",2022-07-24 00:49:00,2022-07-24 00:49:00,2022-07-24 00:49:00,2022-07-24
"11","fUTL8cOolM","MOOSPMPSParser",1658624281,0.44,0.44,1.49,0.83,0.07,1.58,1.58,0.95,0.08,1.58,442.93,110.42,21222.72,10.72,11.89,0.69,11.92,11.92,0.12,0.07,11.93,0.43,19.6,43.3,27.715,42,"e00fce6835b6173deb1a1f49",2022-07-24 00:57:59,2022-07-24 00:57:59,2022-07-24 00:57:59,2022-07-24
"12","Rbu5h8LhP1","MOOSPMPSParser",1658624340,3.56,3.56,2.65,5.42,0.5,2.8,2.8,5.83,0.57,2.8,786.41,221.99,18521.35,34.68,21.07,2.73,21.13,21.14,0.63,0.28,21.14,0.41,24.9,39.9,45.225,42,"e00fce68f8f5a1da595c7249",2022-07-24 00:59:00,2022-07-24 00:59:00,2022-07-24 00:59:00,2022-07-24
