"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","SAVY91Bvn9","MOOSPMPSParser",1662941040,6.36,6.36,5.31,9.56,0.96,5.61,5.61,9.77,0.97,5.61,1282.35,379.54,13667.1,54.02,42.24,3.99,42.35,42.36,0.27,0.17,42.37,0.42,26.5,26.8,64.506,43,"e00fce6856818e5885f65487",2022-09-12 00:04:01,2022-09-12 00:04:02,2022-09-12 00:04:02,2022-09-12
"2","MDDYpNJEJh","MOOSPMPSParser",1662941640,6.97,6.97,5.14,9.69,1.01,5.43,5.43,9.95,1.05,5.43,1327.32,388.86,14034.97,52.03,40.9,3.52,41,41.01,0.25,0,41.02,0.43,25.9,26.6,61.979,43,"e00fce6856818e5885f65487",2022-09-12 00:14:02,2022-09-12 00:14:02,2022-09-12 00:14:02,2022-09-12
"3","cvvbvbeXn0","MOOSPMPSParser",1662942240,6.82,6.82,5.49,9.49,0.92,5.81,5.81,10,0.92,5.81,1302.77,382.68,14389.9,50.95,43.72,3.57,43.83,43.84,0.63,0.35,43.85,0.45,25.6,29.2,64.464,43,"e00fce6856818e5885f65487",2022-09-12 00:24:02,2022-09-12 00:24:02,2022-09-12 00:24:02,2022-09-12
"4","cFzHvBKzyz","MOOSPMPSParser",1662942840,6.84,6.84,5.12,9.73,0.98,5.42,5.42,10.14,1.1,5.42,1332.44,387.57,14757.06,52.62,40.8,4.11,40.9,40.91,0.52,0.18,40.92,0.45,25.3,30.4,62.542,43,"e00fce6856818e5885f65487",2022-09-12 00:34:01,2022-09-12 00:34:02,2022-09-12 00:34:02,2022-09-12
"5","FUFQjBmV5K","MOOSPMPSParser",1662943440,7.08,7.08,5.63,10.35,1.09,5.95,5.95,10.77,1.14,5.95,1359.6,397.79,15124.94,58.24,44.81,4.62,44.93,44.94,0.48,0.09,44.95,0.44,24.7,32.4,60.609,43,"e00fce6856818e5885f65487",2022-09-12 00:44:02,2022-09-12 00:44:02,2022-09-12 00:44:02,2022-09-12
"6","VeJeGiU3Z6","MOOSPMPSParser",1662944040,7.18,7.18,5.57,9.95,1.07,5.89,5.89,10.28,1.11,5.89,1363.51,401.71,15502.8,53.78,44.36,4.19,44.47,44.49,0.44,0.18,44.5,0.43,24.1,30.5,59.479,43,"e00fce6856818e5885f65487",2022-09-12 00:54:02,2022-09-12 00:54:02,2022-09-12 00:54:02,2022-09-12
"7","CIPDc5rIEj","MOOSPMPSParser",1662944640,7.37,7.37,5.47,10.47,1.05,5.78,5.78,10.73,1.08,5.78,1407.61,413.94,15898.01,55.84,43.53,3.81,43.64,43.65,0.32,0.12,43.66,0.44,23.5,33.2,59.031,43,"e00fce6856818e5885f65487",2022-09-12 01:04:02,2022-09-12 01:04:02,2022-09-12 01:04:02,2022-09-12
"8","ybmvMQ7VQo","MOOSPMPSParser",1662945240,7.71,7.71,5.93,11.51,1.1,6.27,6.27,12.08,1.19,6.27,1489.6,437.81,16290.39,64.66,47.19,5.43,47.31,47.32,0.67,0.27,47.33,0.45,22.7,34,56.063,43,"e00fce6856818e5885f65487",2022-09-12 01:14:02,2022-09-12 01:14:02,2022-09-12 01:14:02,2022-09-12
"9","UlXfACcfqy","MOOSPMPSParser",1662945840,7.91,7.91,6.12,11.2,1.31,6.47,6.47,11.83,1.31,6.47,1521.77,441.52,16700.82,59.06,48.73,4.83,48.85,48.86,0.83,0.26,48.88,0.45,22,37.8,51.921,43,"e00fce6856818e5885f65487",2022-09-12 01:24:02,2022-09-12 01:24:02,2022-09-12 01:24:02,2022-09-12
"10","23OyCRRLix","MOOSPMPSParser",1662946440,7.96,7.96,6.22,11.4,1.19,6.58,6.58,11.95,1.24,6.58,1509.02,443.82,17140.61,60.36,49.5,4.99,49.63,49.64,0.78,0.34,49.65,0.47,21.3,39.3,53.911,43,"e00fce6856818e5885f65487",2022-09-12 01:34:02,2022-09-12 01:34:02,2022-09-12 01:34:02,2022-09-12
