"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","YInIx9F6oo","MOOSPMPSParser",1668016441,14.54,14.54,13.2,24.88,2.28,14.19,14.39,28.78,2.49,14.48,2144.22,626.59,1019.43,120.13,104.79,16.38,105.28,105.35,3.79,2.53,105.37,0.54,1.1,75.3,5.926,43,"e00fce6856818e5885f65487",2022-11-09 17:54:02,2022-11-09 17:54:02,2022-11-09 17:54:02,2022-11-09
"2","FRsFp7NZTo","MOOSPMPSParser",1668017041,15.68,15.68,13.15,27,2.69,14.1,14.27,31.17,3.2,14.35,2399.86,712.16,1951.45,134.09,104.46,17.25,104.92,104.97,4.33,2.51,105,0.54,1.7,72.5,8.484,43,"e00fce6856818e5885f65487",2022-11-09 18:04:02,2022-11-09 18:04:02,2022-11-09 18:04:02,2022-11-09
"3","KA3zwmTjQg","MOOSPMPSParser",1668017641,17.06,17.06,14.23,29,2.77,15.3,15.51,33.63,3.14,15.61,2621.25,781.49,2991.38,147.85,112.98,19.49,113.52,113.59,4.71,2.76,113.61,0.55,2.9,68.7,8.675,43,"e00fce6856818e5885f65487",2022-11-09 18:14:02,2022-11-09 18:14:02,2022-11-09 18:14:02,2022-11-09
"4","HnV56may6n","MOOSPMPSParser",1668018241,12.83,12.83,10.62,22.48,1.78,11.44,11.62,25.94,1.98,11.7,2098.59,619.84,3863.95,123.07,84.3,15.33,84.73,84.78,3.71,1.71,84.8,0.53,4.4,62.4,9.286,43,"e00fce6856818e5885f65487",2022-11-09 18:24:02,2022-11-09 18:24:02,2022-11-09 18:24:02,2022-11-09
"5","1KtNWmYgqP","MOOSPMPSParser",1668018841,10.47,10.47,10.13,18.14,1.84,10.76,10.81,20.49,2.03,10.83,1802.26,527.85,4573.39,99.4,80.58,12.67,80.83,80.86,2.78,1.52,80.88,0.51,5.7,56.4,9.974,43,"e00fce6856818e5885f65487",2022-11-09 18:34:02,2022-11-09 18:34:02,2022-11-09 18:34:02,2022-11-09
"6","Un77oS4KEU","MOOSPMPSParser",1668019441,11.22,11.22,9.74,18.12,1.62,10.35,10.39,21.1,1.92,10.41,1861.4,556.4,5288.23,96.16,77.51,14.16,77.75,77.78,3.49,1.96,77.8,0.49,6.6,52.3,10.955,43,"e00fce6856818e5885f65487",2022-11-09 18:44:02,2022-11-09 18:44:02,2022-11-09 18:44:02,2022-11-09
"7","HwJRjD9a0u","MOOSPMPSParser",1668020041,10.92,10.92,8.65,17.09,1.87,9.32,9.46,18.89,1.98,9.54,1902.42,563.21,5962.44,92.85,68.69,10,69.03,69.07,2.24,1.21,69.09,0.53,7.9,48.5,11.431,43,"e00fce6856818e5885f65487",2022-11-09 18:54:02,2022-11-09 18:54:02,2022-11-09 18:54:02,2022-11-09
"8","sbqkrLKSX7","MOOSPMPSParser",1668020641,9.83,9.83,7.84,16.15,1.55,8.34,8.39,17.76,1.7,8.41,1792.76,530.16,6542.88,91.02,62.34,9.16,62.55,62.57,2.17,1.2,62.59,0.49,8.4,47,11.906,43,"e00fce6856818e5885f65487",2022-11-09 19:04:02,2022-11-09 19:04:02,2022-11-09 19:04:02,2022-11-09
"9","OrVciRP4ZL","MOOSPMPSParser",1668021301,9.13,9.13,7.04,14.26,1.16,7.46,7.47,15.78,1.28,7.47,1675.04,493.88,7096.77,78.59,56.04,8.11,56.19,56.21,1.77,0.72,56.22,0.49,8.8,46,12.892,43,"e00fce6856818e5885f65487",2022-11-09 19:15:02,2022-11-09 19:15:02,2022-11-09 19:15:02,2022-11-09
"10","8rddxyJYR5","MOOSPMPSParser",1668021901,9.19,9.19,7.31,13.28,1.22,7.73,7.73,14.69,1.5,7.73,1683.46,494.55,7605.77,71.36,58.17,7.03,58.32,58.33,1.36,0.96,58.35,0.47,9,45.5,13.226,43,"e00fce6856818e5885f65487",2022-11-09 19:25:02,2022-11-09 19:25:02,2022-11-09 19:25:02,2022-11-09
"11","EQMgLqVoMh","MOOSPMPSParser",1668022501,9.53,9.53,6.88,14.02,1.1,7.27,7.27,14.96,1.15,7.27,1736.06,516.05,8091.11,78.16,54.76,6.58,54.9,54.91,1.21,0.54,54.92,0.46,10.1,43,12.82,43,"e00fce6856818e5885f65487",2022-11-09 19:35:02,2022-11-09 19:35:02,2022-11-09 19:35:02,2022-11-09
"12","BjI8gOp5uv","MOOSPMPSParser",1668028800,9.47,9.47,7.29,14.21,1.47,7.71,7.71,16.01,1.59,7.71,1770.68,517.68,561.4,79.28,58.02,9.28,58.16,58.18,2.02,1.2,58.19,0.45,13.5,35.6,10.416,43,"e00fce6856818e5885f65487",2022-11-09 21:20:02,2022-11-09 21:20:02,2022-11-09 21:20:02,2022-11-09
"13","CZbldVv6NT","MOOSPMPSParser",1668029400,9.81,9.81,7.85,15.12,1.34,8.33,8.34,15.9,1.42,8.35,1848.8,541.78,1092.53,81.68,62.48,8.98,62.66,62.68,1.01,0.6,62.7,0.49,13.6,35.2,12.75,43,"e00fce6856818e5885f65487",2022-11-09 21:30:02,2022-11-09 21:30:02,2022-11-09 21:30:02,2022-11-09
"14","jIls8E4yYT","MOOSPMPSParser",1668030000,10.13,10.13,7.7,15.08,1.4,8.14,8.14,16.06,1.48,8.14,1893.55,553.5,1626.95,83.55,61.32,6.86,61.47,61.49,1.17,0.47,61.5,0.47,13.7,35.2,12.309,43,"e00fce6856818e5885f65487",2022-11-09 21:40:02,2022-11-09 21:40:03,2022-11-09 21:40:03,2022-11-09
"15","DH4Y96gMn4","MOOSPMPSParser",1668030600,9.92,9.92,7.67,14.58,1.35,8.11,8.11,15.34,1.48,8.11,1851.4,542.24,2151.93,79.13,61.06,6.87,61.22,61.23,0.8,0.38,61.25,0.47,13.4,35.7,11.702,43,"e00fce6856818e5885f65487",2022-11-09 21:50:02,2022-11-09 21:50:03,2022-11-09 21:50:03,2022-11-09
"16","XjLphX2ZfQ","MOOSPMPSParser",1668031200,9.84,9.84,7.46,14.51,1.46,7.89,7.89,15.92,1.55,7.89,1820.44,535.85,2660.59,81.35,59.41,8.4,59.56,59.57,1.75,0.93,59.59,0.46,13.4,35.9,12.503,43,"e00fce6856818e5885f65487",2022-11-09 22:00:02,2022-11-09 22:00:03,2022-11-09 22:00:03,2022-11-09
"17","o4WQelmV9T","MOOSPMPSParser",1668031800,9.72,9.72,7.48,14.66,1.58,7.91,7.91,16.28,1.73,7.91,1809.34,533.33,3179.7,81.52,59.53,8.95,59.68,59.7,2.02,1.16,59.71,0.46,13.8,35.3,14.128,43,"e00fce6856818e5885f65487",2022-11-09 22:10:02,2022-11-09 22:10:03,2022-11-09 22:10:03,2022-11-09
"18","8k9Crkgp7x","MOOSPMPSParser",1668032400,9.87,9.87,7.79,13.95,1.39,8.24,8.24,15.16,1.55,8.24,1798.92,531.1,3700.98,73.39,62.05,6.74,62.21,62.22,1.39,0.52,62.24,0.46,13.4,36,13.342,43,"e00fce6856818e5885f65487",2022-11-09 22:20:02,2022-11-09 22:20:03,2022-11-09 22:20:03,2022-11-09
"19","s0qioRs4eZ","MOOSPMPSParser",1668033000,9.89,9.89,7.55,14.64,1.57,8,8.01,16.09,1.64,8.02,1828.46,538.6,4225.95,82.19,60.09,8.54,60.25,60.27,1.79,0.74,60.28,0.48,14.1,34.6,12.826,43,"e00fce6856818e5885f65487",2022-11-09 22:30:02,2022-11-09 22:30:03,2022-11-09 22:30:03,2022-11-09
"20","LCytTDAbKw","MOOSPMPSParser",1668033600,9.84,9.84,7.44,14.65,1.43,7.95,8.02,15.76,1.5,8.06,1833.46,537.01,4742.87,82.65,59.09,7.77,59.33,59.36,1.4,0.86,59.37,0.49,13.9,34.7,13.373,43,"e00fce6856818e5885f65487",2022-11-09 22:40:02,2022-11-09 22:40:03,2022-11-09 22:40:03,2022-11-09
"21","bFvZcZmVsA","MOOSPMPSParser",1668034200,9.66,9.66,7.2,14.11,1.27,7.61,7.61,15.28,1.33,7.61,1811.66,529.78,5274.48,75.11,57.28,6.76,57.42,57.44,1.38,0.94,57.45,0.46,13.8,35.1,12.566,43,"e00fce6856818e5885f65487",2022-11-09 22:50:02,2022-11-09 22:50:03,2022-11-09 22:50:03,2022-11-09
"22","o7Y4Qe5ymE","MOOSPMPSParser",1668034800,9.98,9.98,7.9,15.21,1.54,8.35,8.35,16.4,1.59,8.35,1867.43,551.24,5808.07,81.87,62.86,8.37,63.02,63.04,1.33,0.51,63.05,0.45,13,37.2,12.369,43,"e00fce6856818e5885f65487",2022-11-09 23:00:02,2022-11-09 23:00:03,2022-11-09 23:00:03,2022-11-09
"23","BChXY9Vcxn","MOOSPMPSParser",1668035400,9.83,9.83,7.46,15.15,1.37,7.91,7.93,16.69,1.58,7.94,1850.72,540.55,6351.5,83.06,59.34,7.93,59.51,59.53,1.71,1.07,59.54,0.49,12.6,37.5,11.763,43,"e00fce6856818e5885f65487",2022-11-09 23:10:02,2022-11-09 23:10:03,2022-11-09 23:10:03,2022-11-09
"24","AF3CmguVGO","MOOSPMPSParser",1668036000,9.87,9.87,7.51,15.26,1.37,8.11,8.25,16.56,1.44,8.31,1829.06,539.25,6881.08,81.12,59.61,7.28,59.93,59.97,1.39,0.53,59.99,0.51,11.1,41.2,10.662,43,"e00fce6856818e5885f65487",2022-11-09 23:20:02,2022-11-09 23:20:03,2022-11-09 23:20:03,2022-11-09
"25","MDo0KTYWR4","MOOSPMPSParser",1668036600,10.74,10.74,8.08,16.71,1.69,8.54,8.54,18.15,1.88,8.54,1976.85,577.32,7466.75,90.04,64.31,8.32,64.47,64.49,1.74,0.83,64.51,0.47,8.7,47.6,10.025,43,"e00fce6856818e5885f65487",2022-11-09 23:30:02,2022-11-09 23:30:03,2022-11-09 23:30:03,2022-11-09
